 	la	pirogue	a	chaviré	dans	la	partie	peu	profonde	du	fleuve	</S>
b	0.402544	0.565093	0.016427	0.000377996	0.00583865	0.00396748	0.000798455	0.00339188	0.000197747	0.00132118	2.25096e-05	2.01998e-05
v	0.047044	0.937377	0.0130457	0.000348519	0.000689557	0.000384361	0.000208078	0.000265693	6.49677e-05	0.000448866	7.33214e-05	4.94988e-05
á	0.161946	0.753476	0.0200048	0.0173989	0.00571797	0.0118579	0.0105496	0.00238777	0.00696462	0.00279114	0.00586047	0.00104537
r	0.0967737	0.437252	0.0620966	0.0234632	0.00380452	0.00494162	0.00428756	0.00880616	0.00339237	0.00615469	0.00867559	0.340352
e	0.565042	0.0298939	0.0753013	0.00325852	0.0207816	0.027656	0.0156555	0.0164255	0.00190472	0.0126492	0.0231582	0.208274
ó	0.166866	0.0180547	0.606703	0.0267177	0.0683366	0.0289397	0.0228649	0.0242261	0.00234676	0.0164449	0.00144157	0.0170584
p	0.00295263	0.000943947	0.278835	0.640856	0.0156506	0.0166521	0.0137743	0.00601495	0.0107975	0.00432181	0.0034106	0.00579103
f	0.000746113	0.000203389	0.0398973	0.803292	0.0253866	0.0349687	0.0249084	0.0285071	0.0315138	0.00252691	0.00171779	0.00633172
u	0.00146137	9.14239e-05	0.0216607	0.879813	0.0158415	0.0225749	0.0131283	0.0166132	0.0239717	0.000998427	0.000491649	0.00335343
u	0.0158822	0.00463514	0.0175031	0.296788	0.182899	0.177162	0.0802685	0.161928	0.0197019	0.0125082	0.00355782	0.0271654
s	0.00404184	0.00161573	0.0291939	0.00763139	0.326381	0.374362	0.142226	0.076308	0.00308694	0.0189941	0.00439433	0.0117643
é	0.0116752	0.000294512	0.00831035	0.0191063	0.134533	0.316432	0.28992	0.058115	0.0435963	0.0557642	0.0313881	0.0308656
s	0.00848759	0.00753106	0.0138797	0.00405161	0.152714	0.332618	0.283802	0.11173	0.011154	0.0506733	0.0149292	0.00843041
ε	0.00320696	0.000123346	0.00131023	0.00609527	0.0622989	0.228669	0.454063	0.0238068	0.0676387	0.0404804	0.0820116	0.030295
n	0.00165692	0.000172326	0.00172756	0.00542744	0.056835	0.181158	0.363162	0.0666553	0.121431	0.0935329	0.0728694	0.0353715
g	0.000920737	0.00019038	0.00266748	0.00400255	0.0337164	0.146461	0.295159	0.150996	0.214061	0.129157	0.0137185	0.00894905
ε	0.0105669	0.000261703	0.00126253	0.000484101	0.021392	0.125203	0.309308	0.126531	0.135544	0.179531	0.0528717	0.0370435
</S>	0.00277313	8.83146e-05	0.00518288	0.000577979	0.0536569	0.103828	0.11188	0.185488	0.0585885	0.410432	0.0409135	0.0265907
