 	nous	n'	avons	pas	peur	</S>
b	0.465669	0.443975	0.0474238	0.0238597	0.0117843	0.00728868
í	0.348953	0.200937	0.0577396	0.0171228	0.365139	0.0101088
s	0.431137	0.0944514	0.0607791	0.0108446	0.373251	0.0295366
í	0.736542	0.0962979	0.0327177	0.02139	0.0796089	0.0334438
l	0.0587106	0.391528	0.117443	0.0764331	0.0223409	0.333545
e	0.0494723	0.0397067	0.100027	0.0747461	0.0197176	0.716331
d	0.0618836	0.359313	0.151059	0.224853	0.00459797	0.198293
í	0.0668393	0.0974796	0.269824	0.284273	0.00480813	0.276776
o	0.039218	0.0614346	0.348036	0.337776	0.0342944	0.179242
d	0.00848723	0.0242202	0.181875	0.686664	0.0271037	0.0716501
z	0.0101062	0.0289158	0.0900581	0.567123	0.0116457	0.292151
á	0.0358011	0.0462545	0.0865733	0.493758	0.00600024	0.331613
l	0.00854761	0.0172979	0.187235	0.267409	0.0307431	0.488767
a	0.0097914	0.0138912	0.200929	0.33335	0.0545337	0.387505
b	0.00917516	0.00602283	0.0504482	0.143865	0.532834	0.257655
ω	0.0471811	0.00813046	0.118452	0.134651	0.659394	0.0321916
m	0.0020887	0.00125731	0.0216647	0.0536378	0.866023	0.0553288
ω	0.0185407	0.00761534	0.0775915	0.248626	0.504903	0.142723
k	0.00186701	0.00259076	0.0329072	0.24504	0.0233775	0.694218
a	0.0575854	0.036951	0.0901853	0.399052	0.0576763	0.35855
á	0.00734347	0.00164933	0.0155762	0.0264634	0.089033	0.859935
</S>	0.0220797	0.0104104	0.0531246	0.0636299	0.0218162	0.828939
