 	on	a	déjà	engrossé	cette	fille-là	</S>
á	0.847112	0.144232	0.00375436	0.00013429	0.00423618	0.000442509	8.88862e-05
m	0.0630713	0.173475	0.605988	0.152184	0.00429238	0.000474739	0.000514819
i	0.00705402	0.0358089	0.676415	0.17704	0.00491586	0.0484748	0.0502918
s	0.011231	0.0339191	0.763232	0.153613	0.000614217	0.00118227	0.0362081
á	0.00298496	0.0239795	0.651344	0.30207	0.000383521	0.00166999	0.0175687
á	0.0207509	0.043666	0.218329	0.18499	0.0195627	0.0105579	0.502144
o	0.125269	0.305056	0.0659339	0.0866763	0.355186	0.0532022	0.00867716
y	0.00193321	0.00693525	0.135366	0.826706	0.010257	0.0141723	0.00463064
é	0.000332645	0.00488195	0.0249579	0.944329	0.00531423	0.00219411	0.0179901
m	0.00109629	0.00719185	0.0713286	0.843326	0.0160661	0.00202628	0.0589647
í	0.00545608	0.0106835	0.0695245	0.435536	0.354985	0.0403615	0.0834532
s	0.0587254	0.183666	0.0357799	0.115517	0.237605	0.0400682	0.328638
á	0.019359	0.0193229	0.0136156	0.125733	0.577226	0.0375604	0.207184
m	0.00633022	0.00713321	0.00116058	0.00515872	0.916709	0.0548384	0.00867023
w	0.000479676	0.000939856	0.000122123	0.00030858	0.0115899	0.936006	0.050554
á	5.07294e-05	1.86255e-05	5.50716e-06	3.51364e-05	9.74908e-05	0.999637	0.000155327
n	0.000482115	0.000175127	8.46765e-05	0.000133922	0.0690602	0.92618	0.00388424
a	0.0162246	0.0143025	0.00603676	0.00382409	0.123162	0.739666	0.0967845
o	0.0116381	0.0217255	0.00651547	0.0162709	0.774588	0.0177439	0.151518
y	0.00134688	0.00490395	0.0661064	0.324341	0.181689	0.0164679	0.405144
ú	0.000304365	0.00222051	0.0231419	0.264298	0.501813	0.0542179	0.154003
r	0.00333498	0.00577668	0.0144333	0.0818847	0.786191	0.0401801	0.0681995
u	0.00237447	0.00271338	0.00515682	0.0181953	0.388112	0.340775	0.242673
w	0.00126631	0.00381781	0.00158807	0.00566937	0.114403	0.00723027	0.866025
ó	0.0168683	0.0162344	0.00375101	0.00573266	0.441806	0.018021	0.497587
</S>	0.000834552	0.000921366	0.000468563	0.00249687	0.0386066	0.00355056	0.953121
