 	cet	agrume	est	encore	immature	celui-là	est	déjà	mûr	</S>
i	0.872704	0.0404888	0.0322043	0.0102996	0.0203103	0.00753058	0.0116924	0.00359671	0.000996672	0.000176657
l	0.0356967	0.93666	0.0103098	0.00280523	0.0093093	0.000606914	0.00080479	0.00131505	0.00175899	0.000733053
á	0.0205352	0.866921	0.0306828	0.00481336	0.0547556	0.00530691	0.00519356	0.00113734	0.00259686	0.00805712
l	0.0173599	0.841024	0.0337467	0.0179186	0.0123984	0.00953031	0.00465218	0.00815495	0.00204354	0.0531718
a	0.231186	0.428084	0.0578031	0.0218966	0.115145	0.018712	0.0139766	0.010647	0.0413679	0.0611814
d	0.496275	0.127154	0.149856	0.0477263	0.0118015	0.0279022	0.0353985	0.0308885	0.00256345	0.0704351
í	0.136832	0.0257266	0.101023	0.0434776	0.0157631	0.15014	0.0218902	0.00756884	0.00211118	0.495467
í	0.144289	0.274126	0.319761	0.0813747	0.0174722	0.0305479	0.0424142	0.0194662	0.00221063	0.0683383
s	0.0380894	0.0232863	0.448474	0.208024	0.0318882	0.0274701	0.0453805	0.0954375	0.00336083	0.0785896
á	0.00739759	0.0356349	0.403676	0.372469	0.0242128	0.0488509	0.0225941	0.031977	0.000670729	0.052517
a	0.0147128	0.0426426	0.424366	0.249985	0.0703386	0.0394126	0.0310524	0.0173578	0.00435626	0.105776
e	0.0135654	0.00598367	0.239125	0.390063	0.160259	0.10247	0.0327019	0.018193	0.00597341	0.031666
b	0.00581643	0.0243024	0.13012	0.137956	0.544858	0.0418189	0.0336379	0.0178203	0.0328566	0.0308136
v	0.001799	0.0128519	0.0224707	0.0135282	0.860994	0.00259148	0.00786307	0.00136543	0.0594615	0.0170741
u	0.00299128	0.00778743	0.0332308	0.0259396	0.865398	0.00417412	0.0134818	0.0078068	0.0251206	0.0140696
l	0.0269789	0.0152557	0.128553	0.0630534	0.670287	0.0282356	0.0209321	0.00249553	0.00768846	0.0365198
u	0.0156039	0.00590306	0.248125	0.154237	0.29388	0.0776591	0.090156	0.0138194	0.0115206	0.0890966
d	0.00388713	0.00232732	0.246132	0.253349	0.187867	0.0927352	0.112603	0.0414824	0.00985245	0.0497653
í	0.0148395	0.00517486	0.207678	0.230044	0.166031	0.184667	0.056376	0.0145673	0.00147385	0.119148
i	0.00225744	0.00202602	0.166525	0.173699	0.0962752	0.076791	0.314796	0.11787	0.00707201	0.0426875
í	0.00175643	0.00615214	0.0479505	0.0555754	0.290962	0.0756013	0.212928	0.112359	0.128847	0.0678694
m	0.00234594	0.00965756	0.0817806	0.0773496	0.0666705	0.0209421	0.102762	0.391841	0.189828	0.0568223
i	0.00102864	0.00257919	0.0304654	0.082818	0.0663383	0.0291603	0.126801	0.46645	0.118198	0.0761613
s	0.000630199	0.00114178	0.0331144	0.0483675	0.120588	0.0401519	0.127012	0.267551	0.139832	0.221611
á	0.00185426	0.0023324	0.0135502	0.0223445	0.302434	0.0750764	0.0810753	0.0242058	0.158259	0.318868
á	0.00190914	0.00126835	0.0318254	0.0429136	0.0151114	0.103681	0.282169	0.302325	0.0659189	0.152878
o	0.00522489	0.0015007	0.0367071	0.0576327	0.0120344	0.0491325	0.0990621	0.481085	0.0898596	0.167761
b	0.00127791	0.0138605	0.036937	0.01558	0.0391213	0.0111504	0.0337184	0.186159	0.58336	0.0788356
ε	0.00108277	0.00669716	0.0221297	0.0126237	0.114683	0.00436862	0.0278142	0.0464489	0.744326	0.0198263
n	0.000328082	0.00129671	0.00436895	0.00279304	0.0979787	0.00522322	0.0401105	0.0200326	0.684556	0.143313
g	0.0129601	0.00350094	0.0199217	0.0240591	0.157192	0.0827682	0.122111	0.0294796	0.455172	0.0928349
ε	0.015284	0.00220719	0.0177258	0.0229733	0.155273	0.149194	0.0519537	0.00996709	0.445789	0.129633
</S>	0.00864575	0.000470395	0.0129299	0.00702674	0.0230504	0.110497	0.0776791	0.0712208	0.229823	0.458657
