 	les	chasseurs	ont	tué	cinq	antilopes	hier	</S>
a	0.927715	0.0671766	0.00333122	0.000136663	0.00128287	0.000191814	0.000124288	4.20854e-05
b	0.175659	0.797834	0.0155794	0.00270434	0.00274111	0.00265096	0.00189626	0.000934311
e	0.234185	0.761195	0.00109739	0.0024639	0.000341896	0.000389916	0.000277417	4.90039e-05
n	0.0800044	0.9028	0.00501761	0.00409699	0.00148554	0.000821411	0.000245484	0.00552857
g	0.75035	0.172808	0.050747	0.000916236	0.00952714	0.00505167	0.000110771	0.010489
i	0.372295	0.554123	0.0472369	0.00634405	0.00642371	0.00442179	0.000691187	0.00846364
á	0.0896007	0.00798987	0.848987	0.00796193	0.0064869	0.00282252	0.00180529	0.0343461
b	0.00200054	0.00261947	0.433279	0.392629	0.0680819	0.00719547	0.0132853	0.08091
o	0.000607167	0.00605248	0.0479415	0.860608	0.0596289	0.00577228	0.00450511	0.0148843
m	0.00415892	0.00462547	0.140376	0.616595	0.180441	0.00686626	0.00992621	0.0370116
i	0.0250282	0.00265331	0.146503	0.274326	0.479546	0.0340248	0.010938	0.0269801
a	0.0300527	0.00582509	0.0946443	0.0827784	0.617844	0.116918	0.0148868	0.0370509
n	0.00348715	0.00245724	0.0080728	0.077962	0.637112	0.193406	0.030976	0.0465262
g	0.0338597	0.00699606	0.0143204	0.0134915	0.462525	0.422936	0.00185048	0.0440203
o	0.00441501	0.00241178	0.0166043	0.0461217	0.804019	0.106465	0.0055353	0.0144278
n	0.00139017	0.0010542	0.0452173	0.0300177	0.596377	0.213952	0.0102908	0.101701
g	0.00183667	0.00109483	0.00503207	0.0147329	0.725374	0.100263	0.0132392	0.138427
ó	0.00537355	0.00622317	0.013589	0.0287276	0.766784	0.12568	0.00542381	0.0481987
á	0.00060936	9.43983e-05	0.0360621	0.00222493	0.453359	0.39513	0.0304684	0.0820516
t	0.00112385	0.000419477	0.0107837	0.0148958	0.0818463	0.278	0.390921	0.222011
á	4.3843e-05	3.53544e-05	0.00144481	0.0019203	0.0863985	0.0386682	0.703073	0.168416
á	0.000308309	2.13237e-05	0.00333302	0.00074003	0.0376071	0.0823722	0.611219	0.264399
n	0.00291559	0.000332873	0.00522577	0.00231576	0.0173007	0.55249	0.142249	0.27717
i	0.00297461	0.000164948	0.000804924	0.000221594	0.00727183	0.902502	0.0111999	0.0748601
l	0.00026618	1.25907e-05	0.00261017	0.000203293	0.0255776	0.128296	0.0559391	0.787095
a	0.000250254	5.01153e-05	0.00167252	0.000956025	0.0107296	0.0463367	0.61066	0.329345
a	0.000208956	6.83806e-05	0.00191373	0.000367638	0.0165402	0.116198	0.468139	0.396564
p	4.43694e-05	5.25821e-05	0.00120969	0.000936045	0.011016	0.0271307	0.417175	0.542435
ó	2.78371e-05	0.000141958	0.000722155	0.000209441	0.00612078	0.00245899	0.892772	0.097547
a	8.90551e-05	6.03621e-05	0.000242638	0.000377215	0.00940085	0.00792781	0.816043	0.165859
</S>	0.000449905	7.72543e-05	0.00399237	0.00112196	0.0322938	0.330837	0.170472	0.460756
