 	je	descends	de	la	colline	</S>
n	0.905958	0.0375571	0.0401615	0.0133627	0.000350844	0.00261013
g	0.998122	0.000231972	0.000853302	0.000438166	9.74467e-05	0.000257485
á	0.976515	0.0170426	0.00220237	0.00131771	0.00195763	0.000964471
l	0.268043	0.184575	0.14235	0.12074	0.00858427	0.275708
í	0.442369	0.0798485	0.019682	0.0141057	0.037786	0.406209
i	0.139536	0.24654	0.104655	0.0576065	0.0796749	0.371988
s	0.0111701	0.90001	0.0130112	0.00334287	0.00413941	0.0683267
u	0.000732027	0.988887	0.00143543	0.00031548	0.00550872	0.0031212
n	0.187489	0.739443	0.0213382	0.00325596	0.0302829	0.0181909
d	0.023953	0.587595	0.0808579	0.0612486	0.0197679	0.226577
á	0.013313	0.421883	0.115411	0.0663788	0.0218632	0.361152
o	0.0170745	0.0258715	0.42873	0.492165	0.0164998	0.0196599
n	0.000658525	0.0333681	0.0229276	0.0286113	0.898829	0.0156055
g	0.00578618	0.00990106	0.0177299	0.0291362	0.868111	0.0693359
í	0.00156329	0.00270677	0.0262644	0.0309595	0.838132	0.100375
a	0.000566358	0.0109327	0.074436	0.299333	0.252653	0.362079
</S>	0.00106164	0.00316399	0.0361109	0.273106	0.0740431	0.612514
