 	j'	ai	des	nausées	</S>
n	0.675395	0.217491	0.101438	0.00355337	0.00212282
g	0.984975	0.0120868	0.00289929	2.66512e-05	1.20972e-05
á	0.970977	0.024286	0.00380659	0.000920635	1.0161e-05
m	0.0355008	0.153277	0.419107	0.306164	0.0859503
w	0.00402622	0.361347	0.0330305	0.569017	0.0325803
ε	0.0533084	0.266732	0.0913216	0.576106	0.0125326
m	0.00191622	0.161055	0.106063	0.658789	0.072177
ó	0.0114929	0.145635	0.161922	0.241789	0.439161
o	0.0462495	0.115904	0.263994	0.122005	0.451847
y	0.00135714	0.24458	0.115732	0.194533	0.443798
ε	0.00417078	0.132905	0.0955181	0.384588	0.382818
l	0.00249924	0.0814499	0.101064	0.0852199	0.729766
ε	0.0788166	0.109856	0.630648	0.0255397	0.15514
</S>	0.00299182	0.0386089	0.164042	0.037841	0.756516
