 	ce	singe	que	vend	ikoo	est	un	cercopithèque	nuido	</S>
k	0.299841	0.633804	0.0377402	0.00834829	0.017066	0.00167364	0.00104647	0.00011741	0.000250524	0.000112453
y	0.0273956	0.954706	0.00647809	0.00315526	0.00303277	0.000360455	0.000343602	0.000210373	0.00395467	0.000362811
é	0.0302308	0.906317	0.0112479	0.0137308	0.0196848	0.00414937	0.00394227	0.00119417	0.00785741	0.00164556
m	0.0733931	0.786654	0.0292305	0.0354853	0.0282061	0.0047449	0.003267	0.00231628	0.0082348	0.0284685
a	0.465441	0.248978	0.249649	0.00477375	0.00565797	0.0037855	0.00419613	0.000763685	0.00128458	0.0154709
y	0.292281	0.107596	0.51843	0.0283279	0.00571829	0.00992058	0.0105537	0.00565663	0.000933964	0.020581
e	0.603759	0.105492	0.234234	0.00982098	0.00242252	0.0068625	0.011855	0.00446202	0.00344409	0.0176471
é	0.628496	0.0912665	0.229474	0.0109179	0.0108175	0.00652435	0.00709201	0.00151013	0.00188285	0.0120186
k	0.119268	0.0136313	0.132982	0.281752	0.339835	0.0356605	0.0235594	0.0347646	0.00428722	0.0142595
i	0.00510066	0.00162236	0.0156566	0.341679	0.583397	0.0370577	0.00764501	0.00299396	0.00083213	0.00401519
r	0.0103656	0.00527592	0.040669	0.378984	0.497264	0.0376481	0.0129924	0.00718634	0.00241455	0.00719951
á	0.168647	0.0348526	0.197581	0.217663	0.169446	0.068826	0.0241868	0.00594782	0.0130159	0.0998337
i	0.0493679	0.0136474	0.150472	0.113812	0.481203	0.119542	0.0456129	0.0103105	0.00369246	0.0123394
k	0.00717392	0.00534708	0.0196099	0.362579	0.330722	0.114086	0.0667892	0.0244015	0.0435469	0.0257453
ó	0.000508374	0.000343658	0.00190665	0.108344	0.787829	0.0660264	0.0111543	0.00366528	0.0147411	0.00548128
ó	0.000951028	0.001068	0.00781066	0.100615	0.742942	0.110459	0.0193239	0.00459044	0.00530127	0.00693778
w	0.0146788	0.00154615	0.0251222	0.0221361	0.0542008	0.442573	0.333289	0.0705157	0.00975518	0.0261824
ó	0.00929967	0.0132489	0.0495378	0.0319308	0.0742838	0.285617	0.257122	0.0363376	0.0677353	0.174887
a	0.00371989	0.000773604	0.0106017	0.0199567	0.012108	0.229065	0.306328	0.16353	0.0554454	0.198471
d	0.00343016	0.000393746	0.00793902	0.0199221	0.0129926	0.0958868	0.198435	0.498508	0.0610449	0.101448
í	0.00746953	9.57414e-05	0.00390482	0.00394889	0.000758025	0.0425533	0.190028	0.387678	0.0408091	0.322754
s	0.00348324	3.90682e-05	0.00203766	0.00231213	0.00285101	0.0520197	0.126625	0.615501	0.0799945	0.115137
ω	0.0134519	0.000445109	0.00395668	0.00173884	0.00049524	0.0346332	0.176623	0.312566	0.263736	0.192353
n	0.000938526	5.90883e-05	0.000825946	0.000925822	0.00112218	0.0233786	0.052109	0.106626	0.73552	0.078494
d	0.00155162	0.000338891	0.000885876	0.00110025	0.000273679	0.00387314	0.0451576	0.022059	0.6919	0.23286
ω	0.000434438	0.000701961	0.000740752	0.000658947	0.000252904	0.00272817	0.0182538	0.00406768	0.615324	0.356837
</S>	0.000172639	0.000401714	0.000644615	0.000821536	0.000299253	0.00596377	0.034931	0.00480953	0.619124	0.332832
