 	o	m	ω	n	g	ω	m	á	b	í	s	í	á	d	z	w	á	o	t	s	a	á	á	d	z	a	i	b	a	a	m	i	l	ó	y	a	a	</S>
notre	0.00403229	0.00392166	0.00480041	0.00709587	0.00414853	0.00694196	0.017047	0.023094	0.0329407	0.0773155	0.0602546	0.109578	0.144795	0.0673896	0.0545757	0.0307337	0.0169189	0.0182583	0.00930804	0.00638833	0.00808295	0.00704675	0.00477375	0.00635058	0.01118	0.00512973	0.00946948	0.00608125	0.00900015	0.0193461	0.0175843	0.0166417	0.025753	0.0332397	0.0267583	0.0329757	0.0279268	0.0331214
vie	0.0775141	0.173145	0.249148	0.122812	0.0537746	0.0664169	0.036678	0.021936	0.0111297	0.0239443	0.0148776	0.0305033	0.0362225	0.0117721	0.0102002	0.00363767	0.00710602	0.00475581	0.00213005	0.00121804	0.00250179	0.00205513	0.00347125	0.00280718	0.00323809	0.00075826	0.0017134	0.00128639	0.00119726	0.00239672	0.00588289	0.00194021	0.00442217	0.00210983	0.00164295	0.00174292	0.00124094	0.000670222
a	0.0679725	0.0939345	0.0914168	0.0497497	0.0530047	0.06877	0.0638556	0.0590893	0.0483349	0.0512366	0.0236714	0.0112085	0.0153156	0.0255994	0.0302088	0.00675344	0.00775147	0.00805155	0.00728756	0.00478184	0.00551174	0.00632327	0.00561374	0.00752023	0.00670465	0.00767794	0.0128098	0.00860852	0.00863753	0.00596711	0.0140005	0.00843813	0.0172153	0.0193368	0.0231341	0.0183164	0.0239561	0.0122338
été	0.0417217	0.0635634	0.0592958	0.05513	0.0694484	0.0581813	0.038235	0.0430894	0.033268	0.0409603	0.0262107	0.011411	0.0117086	0.0153582	0.0162587	0.014259	0.0179094	0.0154201	0.0294097	0.035579	0.0237082	0.033822	0.0311874	0.0300338	0.0186592	0.0192339	0.0155322	0.0076751	0.00626369	0.00693894	0.00860892	0.00730961	0.00777854	0.0106661	0.00856918	0.011967	0.0152192	0.0404093
bouleversée	0.017904	0.0223524	0.0212134	0.02039	0.0234215	0.0336056	0.0297797	0.0260638	0.0139384	0.0216436	0.0124815	0.0191362	0.0314658	0.0561078	0.0781335	0.061049	0.0603658	0.0537376	0.0280128	0.023039	0.0217702	0.0232966	0.0339524	0.0232029	0.014987	0.00937279	0.0104065	0.0115051	0.00941394	0.0110464	0.0283596	0.02305	0.0177308	0.0183998	0.0224207	0.0172665	0.0266538	0.023324
par	0.00451345	0.00770133	0.00630217	0.00856427	0.00722418	0.0109387	0.016195	0.00981955	0.0166633	0.0112314	0.0144864	0.00901595	0.0145156	0.0251332	0.0308129	0.0364586	0.0341779	0.0350193	0.0632961	0.0529028	0.0628482	0.0649659	0.0542453	0.0572575	0.0544917	0.0411527	0.0445541	0.0285825	0.0270904	0.0219294	0.010172	0.0213022	0.0141781	0.0133916	0.0173176	0.0130491	0.0192937	0.0192058
l'	0.0198221	0.0222716	0.0223621	0.0163251	0.0155888	0.0234346	0.043057	0.0223922	0.0339337	0.0152237	0.0227118	0.019716	0.0207501	0.0152922	0.0207734	0.00873375	0.012469	0.0203391	0.0250912	0.0619258	0.0598742	0.051487	0.0461364	0.043968	0.0509686	0.024508	0.0375098	0.0514209	0.0209296	0.0203137	0.0115921	0.0120582	0.0112079	0.00903671	0.0137012	0.00961865	0.0196127	0.043843
arrivée	0.0968615	0.101793	0.0888404	0.0602876	0.0594642	0.0261761	0.0218306	0.0143382	0.0117777	0.0130851	0.0159701	0.018324	0.0124079	0.0190854	0.0287338	0.0240081	0.0272897	0.0285683	0.0142821	0.0250778	0.0176137	0.0194352	0.0225033	0.0113937	0.0126565	0.00784044	0.00616029	0.00818931	0.00397937	0.00894255	0.00922323	0.0159	0.00877355	0.0111709	0.010411	0.0149405	0.0169292	0.0857357
des	0.0730939	0.0717184	0.0630417	0.050795	0.0508939	0.0236453	0.0177936	0.017002	0.0108635	0.00745616	0.00816329	0.0092014	0.0136522	0.0130936	0.0221998	0.0166992	0.0162413	0.0280146	0.0256146	0.0670871	0.0480569	0.0585749	0.041808	0.0331124	0.0266072	0.0182674	0.0202564	0.0165212	0.00860281	0.00554679	0.00470477	0.00434397	0.00429817	0.00502788	0.00490822	0.00697329	0.00935826	0.0767609
blancs	0.0985706	0.0847603	0.0721615	0.0635622	0.0601786	0.03853	0.0230715	0.0165812	0.0102427	0.0113158	0.0112092	0.00750398	0.00604738	0.0102038	0.0137628	0.014346	0.0128016	0.0159963	0.0188329	0.0247854	0.0227743	0.0241756	0.0186223	0.0161403	0.0203785	0.0114102	0.0116631	0.0134081	0.009519	0.0100475	0.0111159	0.0150294	0.020529	0.0216605	0.0277808	0.0316171	0.0317066	0.0679581
</S>	0.0456991	0.0386165	0.0279756	0.0208429	0.0184698	0.0174575	0.0152643	0.0166468	0.0109153	0.00697502	0.00456737	0.00297707	0.00400917	0.0068003	0.00828176	0.0140144	0.012354	0.0171989	0.0324725	0.0485457	0.0386179	0.0402505	0.0349157	0.0408387	0.0621036	0.0627014	0.0590756	0.0413641	0.0338321	0.0206385	0.02005	0.0194466	0.0134792	0.0166554	0.015774	0.0229915	0.0300037	0.0571773
