 	n	g	á	í	t	ú	s	u	m	b	á	n	g	é	y	o	y	a	a	n	d	í	</S>
j'	0.208128	0.235359	0.107156	0.140283	0.0419967	0.0199817	0.00709931	0.00508679	0.0053277	0.00921757	0.00997854	0.0149324	0.0198553	0.0132023	0.0163711	0.0166893	0.0222421	0.0206861	0.0151674	0.0167906	0.0186579	0.0174548	0.0183373
ai	0.161686	0.0578897	0.0971735	0.105664	0.0533274	0.064648	0.0509929	0.0621178	0.0531633	0.0409823	0.0452121	0.0285178	0.029873	0.0283482	0.0197441	0.00985441	0.0143344	0.0109874	0.0131316	0.00514349	0.00741425	0.0108004	0.0289939
cueilli	0.0407372	0.0191375	0.0284819	0.0312794	0.0390601	0.0269202	0.0192965	0.0383087	0.0359082	0.0469994	0.0526311	0.0468402	0.0534759	0.0743234	0.0592466	0.0659621	0.0443506	0.0255185	0.0325795	0.0748239	0.0376853	0.0579428	0.048491
une	0.0805071	0.0428554	0.0330773	0.0370025	0.0302715	0.0209839	0.0230895	0.0139832	0.013017	0.0147782	0.0346226	0.0439662	0.0439217	0.0610181	0.0442087	0.0631747	0.028879	0.0404679	0.0281968	0.0422532	0.0753619	0.0980089	0.0863547
mangue	0.0159034	0.0101631	0.0104298	0.0138281	0.0140318	0.0434669	0.0348729	0.0302158	0.0408235	0.044679	0.0448706	0.0834268	0.0798435	0.0725066	0.056098	0.0596621	0.0328081	0.0407217	0.0392398	0.0402001	0.0500093	0.0556403	0.0865586
qui	0.00707169	0.00714258	0.0107544	0.0135285	0.00989765	0.0319939	0.0256828	0.0242374	0.0297277	0.0355722	0.0306355	0.0391829	0.0455214	0.0621808	0.0605939	0.0706411	0.0611439	0.0670634	0.0703373	0.0748705	0.0705154	0.0728436	0.0788615
commence	0.0274607	0.00742278	0.00659514	0.0129561	0.0162375	0.0225488	0.0226152	0.0263515	0.0329053	0.035996	0.0398033	0.050506	0.0473687	0.0663075	0.0647937	0.0629982	0.0532047	0.053374	0.0676744	0.0644633	0.0655747	0.0663903	0.0864524
à	0.0333534	0.0321957	0.0324163	0.0353957	0.0228792	0.0291071	0.0178901	0.0087679	0.0136133	0.0174199	0.0126377	0.0229289	0.0241471	0.0323669	0.0307138	0.0538609	0.0339091	0.0444049	0.0537286	0.0618707	0.109116	0.118516	0.15876
mûrir	0.0255836	0.0246126	0.0239806	0.0260112	0.0197277	0.0208443	0.0157603	0.0122972	0.0134418	0.0139198	0.012701	0.0251852	0.0284157	0.045754	0.0495712	0.0718415	0.0542964	0.056161	0.07461	0.0792831	0.0965017	0.101067	0.108433
</S>	0.0411239	0.0284905	0.0280194	0.0340781	0.0163961	0.0139934	0.0069301	0.0086941	0.00968858	0.00965032	0.0104172	0.0203215	0.0223943	0.0393908	0.0478449	0.0636626	0.0528634	0.0405824	0.0521997	0.104121	0.108482	0.113156	0.1275
