 	m	w	á	n	a	l	á	a	f	ú	r	á	o	k	ω	r	ω	l	a	t	á	á	t	s	í	n	a	á	m	i	d	i	á	o	t	ω	m	b	í	l	i	m	á	p	á	r	á	a	d	í	</S>
l'	0.00611493	0.0130102	0.0116712	0.00845264	0.0115009	0.00550566	0.0104128	0.0040408	0.00690468	0.0240157	0.0248322	0.0398847	0.0431229	0.0474488	0.0568444	0.0677287	0.0743988	0.0858588	0.0683959	0.0411174	0.0260853	0.0212857	0.0228155	0.015792	0.0138288	0.0157839	0.0110425	0.00629442	0.00768638	0.00771749	0.00898879	0.00929084	0.00816986	0.00719144	0.00658405	0.00642307	0.00549294	0.00663718	0.00746487	0.00567449	0.00745634	0.00852616	0.00772335	0.0105379	0.00915752	0.012996	0.0146078	0.0141707	0.0148897	0.0135638	0.014859
enfant	0.0597093	0.0860635	0.135054	0.167559	0.143813	0.147631	0.0391519	0.0677094	0.0325299	0.0119508	0.0239643	0.0187764	0.00350676	0.00303854	0.00125197	0.000916757	0.00101489	0.00115805	0.00204395	0.00120836	0.000610446	0.000360309	0.000255032	0.000980462	0.000855486	0.000596701	0.000543523	0.00388878	0.00300466	0.00241211	0.00160553	0.00219261	0.00174372	0.000377481	0.000806444	0.00149747	0.000588013	0.00100833	0.00103058	0.00119493	0.00453123	0.00190781	0.00366788	0.0034395	0.00160689	0.00177836	0.00611692	0.000895827	0.00132947	0.000616263	0.000505289
se	0.0177586	0.0301721	0.0549912	0.0252492	0.0238136	0.0213379	0.017884	0.0258568	0.0129958	0.0151224	0.0222669	0.0217492	0.0248911	0.0348397	0.0547767	0.0446577	0.0630827	0.0448224	0.0548989	0.0302864	0.0236083	0.0212357	0.0155325	0.0221535	0.0104123	0.00661171	0.00606801	0.00554347	0.00602878	0.00606387	0.00618258	0.00522965	0.00508041	0.00460126	0.00631699	0.00942441	0.00818642	0.0106863	0.0100963	0.0153845	0.0157375	0.020393	0.0158377	0.020707	0.0200514	0.0151877	0.0134688	0.00863151	0.00533544	0.0109815	0.00776784
vante	0.0111084	0.00640792	0.00866278	0.00642996	0.00881636	0.00409946	0.007911	0.0149887	0.00857145	0.0196735	0.0195584	0.0305863	0.028388	0.0286047	0.0324617	0.0340377	0.0363268	0.0238072	0.0250921	0.0260846	0.0277329	0.0365907	0.0262685	0.0893313	0.0292041	0.0267288	0.0177344	0.0244626	0.0243049	0.0167004	0.01332	0.013551	0.0134436	0.00723743	0.00787301	0.0130354	0.00969016	0.00880538	0.0104461	0.0148227	0.0188716	0.0177713	0.0191237	0.0203691	0.0170507	0.0200543	0.0186011	0.0150811	0.00977333	0.0168489	0.0135546
devant	0.00888138	0.00611434	0.00637008	0.00615701	0.00609982	0.00394969	0.00500967	0.00634072	0.00504533	0.00729569	0.0069821	0.0101556	0.00954213	0.0105107	0.00935842	0.00887024	0.0102366	0.00860378	0.0102842	0.00945227	0.0105612	0.0140134	0.0118353	0.0270756	0.0221854	0.0165892	0.0253853	0.0487185	0.0430077	0.0406482	0.0418537	0.0318524	0.028313	0.0317552	0.0325288	0.0283022	0.0413666	0.0311074	0.0310974	0.030472	0.0269422	0.0295162	0.0261936	0.0232831	0.018979	0.0232228	0.0242848	0.0199233	0.0207882	0.0180009	0.0249374
son	0.0148928	0.00890197	0.0114186	0.00729917	0.0082945	0.00543594	0.00748972	0.00769073	0.00655153	0.00859319	0.00820317	0.0115667	0.00677873	0.0100655	0.00904606	0.00655991	0.007159	0.00548573	0.00634359	0.00543987	0.00701426	0.0101231	0.0089391	0.0170651	0.0223717	0.0165729	0.0295406	0.0500823	0.0390357	0.0428442	0.0415814	0.0390687	0.0359956	0.0467635	0.044945	0.0352207	0.0559441	0.0372714	0.0346436	0.0269962	0.0218274	0.0238168	0.0181092	0.0113659	0.010557	0.0126868	0.0161319	0.0142576	0.0193329	0.0184826	0.0281962
père	0.0152705	0.0185825	0.0149392	0.0140516	0.0142637	0.00943109	0.0125295	0.010668	0.00886122	0.0148749	0.013725	0.0165007	0.0279648	0.026126	0.0241282	0.0327642	0.0366514	0.0428412	0.0512944	0.0457743	0.0416997	0.0417762	0.033599	0.0282409	0.0236761	0.018974	0.00970309	0.01979	0.0117089	0.0151177	0.0162277	0.0189563	0.0258428	0.0112266	0.00923792	0.0143993	0.00846238	0.00546745	0.0031677	0.00460971	0.00484989	0.00626067	0.0110588	0.0125006	0.0147542	0.0113395	0.0198005	0.0180276	0.0270094	0.0240572	0.037216
parce	0.0184357	0.0128644	0.0159614	0.0136548	0.00920077	0.00452192	0.00342327	0.00621868	0.00322371	0.00452795	0.00307303	0.00473502	0.00569006	0.0091588	0.00776906	0.0055468	0.00583238	0.00646649	0.00707013	0.0110094	0.011215	0.0118512	0.0089952	0.0196337	0.0201608	0.0147904	0.0218608	0.0335165	0.0328728	0.0314971	0.0322365	0.0252454	0.0233281	0.0304657	0.0367089	0.0287491	0.0341031	0.0411897	0.0487104	0.0480676	0.0613201	0.0390277	0.0295177	0.0206023	0.0215612	0.0123778	0.0112559	0.00916098	0.0105782	0.0152062	0.0558102
qu'	0.0144067	0.00954404	0.011881	0.0105839	0.0139284	0.0161095	0.0143621	0.0219573	0.0208344	0.0202511	0.015194	0.0139808	0.0135614	0.0174943	0.0149579	0.0207734	0.0146123	0.0138281	0.0165554	0.0238388	0.0421833	0.0316314	0.0329961	0.0360825	0.0334898	0.0210393	0.0142927	0.00985782	0.0107725	0.0101349	0.00627051	0.00817585	0.00703723	0.00798534	0.00724258	0.0067173	0.00925609	0.0148066	0.0133078	0.0147649	0.0211313	0.0184734	0.0225116	0.0190105	0.0248877	0.0235345	0.0260927	0.0325748	0.0353461	0.0484488	0.0712893
il	0.0181346	0.0124867	0.0127548	0.00840001	0.0125777	0.0124227	0.0115329	0.0110643	0.00945751	0.010815	0.0114896	0.00692519	0.0113339	0.0148236	0.0145836	0.016716	0.015006	0.0149508	0.016247	0.0204947	0.0258182	0.0218457	0.019921	0.0255987	0.0251105	0.0145578	0.0161225	0.014406	0.0151596	0.0140871	0.0113987	0.0137183	0.0112233	0.0116196	0.0150846	0.012665	0.0151724	0.0236922	0.0194302	0.0206676	0.0286124	0.0298018	0.03073	0.0322568	0.0371503	0.0277504	0.0311875	0.0272116	0.030507	0.0329463	0.0823303
