 	b	v	a	é	b	v	ú	ó	m	i	y	í	n	á	m	í	m	b	ώ	n	d	ώ	</S>
cette	0.024514	0.0122617	0.0132062	0.0118291	0.0166915	0.0179373	0.0190225	0.0316083	0.030198	0.0553407	0.104072	0.0927069	0.0898203	0.0635803	0.0817647	0.0719451	0.0531616	0.0483405	0.0361602	0.0349173	0.0371576	0.029232	0.0245325
femme	0.0115523	0.0210194	0.0441044	0.0670221	0.0850289	0.155058	0.217348	0.147449	0.127434	0.0384237	0.0140569	0.00650248	0.00232422	0.00767016	0.0111681	0.00526675	0.00892597	0.00964247	0.00808129	0.007974	0.00202759	0.00140265	0.000517388
qui	0.0394606	0.0361468	0.0144604	0.012541	0.0164325	0.0198405	0.019807	0.039085	0.0431717	0.0186691	0.0408432	0.0531214	0.0433632	0.0862971	0.116748	0.109499	0.103458	0.0742781	0.0485336	0.0223397	0.0111543	0.0213873	0.00936311
allaite	0.0135595	0.0198344	0.027383	0.0409536	0.0382705	0.0434119	0.0446703	0.0660825	0.0619479	0.0410356	0.0228707	0.0351906	0.0327134	0.0428121	0.0642122	0.0748167	0.0644254	0.0429534	0.0442725	0.0319844	0.0345854	0.0502174	0.0617966
son	0.0498307	0.0467524	0.0263671	0.0217591	0.0190899	0.0183335	0.0166605	0.0223913	0.0214566	0.0221053	0.0299963	0.0342571	0.0307867	0.0387116	0.0409765	0.0562513	0.0790652	0.0475483	0.0535446	0.0540207	0.0675301	0.0798419	0.122723
bébé	0.0384622	0.0335903	0.0347774	0.0303444	0.0284418	0.0338999	0.0271832	0.0236389	0.022127	0.015639	0.0175784	0.013046	0.0155012	0.0256017	0.0354038	0.0335059	0.0470033	0.0496607	0.0917807	0.0995037	0.0973898	0.0816576	0.104263
a	0.0452565	0.0544326	0.0382833	0.0352639	0.0319781	0.0276247	0.0256201	0.021361	0.0193718	0.020158	0.0307782	0.0282665	0.0355365	0.0429294	0.0397604	0.0404646	0.0333682	0.0381497	0.0477702	0.0618818	0.0798085	0.0943438	0.107592
des	0.0550404	0.0627508	0.0594139	0.0573235	0.0528574	0.0310061	0.0218357	0.0155139	0.00926487	0.00849525	0.00819175	0.00774428	0.0134101	0.0147742	0.0176043	0.0277737	0.0409372	0.0395545	0.0429833	0.0629236	0.0898987	0.0865192	0.174184
pieds	0.0974453	0.0796295	0.0591197	0.0538248	0.0383076	0.0246073	0.0171954	0.0156918	0.0132651	0.0191153	0.0271368	0.0277255	0.020933	0.024495	0.0267011	0.0300662	0.026938	0.0293937	0.0256652	0.0465557	0.0606072	0.103151	0.13243
enflés	0.0493726	0.0625524	0.0457547	0.0403997	0.0251994	0.0213506	0.0163511	0.0152947	0.00973784	0.0078313	0.00767944	0.0100039	0.0155518	0.0232123	0.0423008	0.0516304	0.0320252	0.0333503	0.0365941	0.0672434	0.0857869	0.109886	0.190891
</S>	0.0797228	0.0819289	0.0457495	0.0337088	0.019574	0.0234133	0.020904	0.0200081	0.0129691	0.0118703	0.0103077	0.0121165	0.0119118	0.0155499	0.0253011	0.0292553	0.0365173	0.0378875	0.0471985	0.0585628	0.0761089	0.100769	0.188665
