 	e	b	a	a	y	á	n	g	o	ó	é	d	í	l	i	b	ó	n	g	o	</S>
il	0.0173919	0.0306076	0.0565007	0.113123	0.0560743	0.0353252	0.029413	0.0251866	0.0310169	0.035668	0.0395381	0.0478501	0.0555329	0.0650067	0.0526277	0.0535253	0.0616077	0.0519927	0.0497523	0.046072	0.0461872
y	0.102276	0.137497	0.106226	0.110621	0.0802769	0.0848023	0.0511872	0.0361701	0.0247818	0.0193193	0.0218366	0.0197642	0.0197346	0.0293953	0.0310293	0.0223761	0.0226243	0.0216077	0.0176525	0.0135086	0.0273128
a	0.127101	0.0674671	0.0326151	0.0275663	0.0428389	0.0339646	0.0318233	0.0263253	0.0223549	0.0183184	0.0367284	0.048906	0.0477809	0.0621736	0.0702486	0.0668224	0.0628279	0.0550209	0.039016	0.0361268	0.0439731
un	0.0552549	0.0425889	0.0373333	0.0283134	0.0286433	0.0138496	0.0211182	0.0300017	0.0351245	0.0369548	0.0624496	0.0729702	0.0625304	0.0872092	0.0932062	0.065818	0.0625467	0.0624307	0.0421534	0.0293074	0.0301956
pont	0.0281341	0.0468253	0.0286584	0.0361926	0.0510129	0.0609271	0.0460767	0.0650999	0.0521632	0.0593589	0.0421792	0.051506	0.0530084	0.0627374	0.0544427	0.0336909	0.0416458	0.0379547	0.0432481	0.0439283	0.0612093
traditionnel	0.0699351	0.0630622	0.0620837	0.0481467	0.0544009	0.0434716	0.0446875	0.0499974	0.0403994	0.0486977	0.0309061	0.0288759	0.0315827	0.032925	0.0363182	0.0342272	0.0454288	0.0424902	0.0416459	0.0428855	0.107832
sur	0.137399	0.0737207	0.0560288	0.0314606	0.0314338	0.0188322	0.0254131	0.0224818	0.014709	0.0171136	0.0239034	0.0244381	0.0211674	0.0258409	0.0293454	0.0255999	0.0347699	0.0499214	0.0785932	0.0789154	0.178913
la	0.0393999	0.0320992	0.0329085	0.0272836	0.0224492	0.0178109	0.0271984	0.0185609	0.014244	0.0119916	0.02071	0.0241603	0.0195196	0.0218389	0.0313711	0.0350844	0.0489875	0.0795206	0.117701	0.11293	0.24423
rivière	0.107799	0.0711294	0.0523083	0.0467196	0.0364133	0.0298741	0.0170238	0.00954108	0.00779483	0.0077505	0.0138082	0.0132222	0.0164728	0.0204814	0.0240179	0.0319181	0.0418448	0.072012	0.10557	0.1254	0.148898
ngoko	0.199463	0.104692	0.0578167	0.0349557	0.0290209	0.020254	0.0128628	0.00922549	0.00663837	0.00570594	0.00864304	0.00998639	0.00802764	0.0119436	0.02042	0.0227627	0.0489118	0.0662227	0.0790714	0.0962199	0.147156
</S>	0.0970821	0.0709733	0.060785	0.0499052	0.0363319	0.0298583	0.0176585	0.0119898	0.00680423	0.00446669	0.0119294	0.0126418	0.00840732	0.0136808	0.0155959	0.0189352	0.0427488	0.0595212	0.10697	0.164158	0.159557
