 	l	é	b	v	ú	r	a	m	b	ó	a	n	g	y	ε	l	έ	w	á	r	é	p	á	s	i	</S>
repartons	0.0185651	0.0114666	0.0100722	0.0101076	0.0105101	0.0249948	0.0613353	0.0799736	0.0595986	0.0603902	0.0633608	0.0683082	0.0694453	0.068351	0.0680243	0.0512641	0.0277949	0.0194892	0.0319137	0.0244141	0.0331579	0.0273891	0.0336924	0.0251311	0.0213618	0.0198881
en	0.0288124	0.0692985	0.107518	0.106079	0.0550556	0.0496998	0.0465372	0.0320216	0.0411567	0.042418	0.0507386	0.0826988	0.0557559	0.0798981	0.0571961	0.0195851	0.0195238	0.0103297	0.0100629	0.00814056	0.0079709	0.00453909	0.00351396	0.00443169	0.00431451	0.00270284
campagne	0.035058	0.0499274	0.0386531	0.0335951	0.0222128	0.0321785	0.048431	0.0661528	0.0750474	0.0603946	0.0890049	0.0669709	0.0821072	0.0426252	0.0421969	0.0392541	0.0119399	0.00336541	0.0136194	0.0140469	0.027053	0.0253739	0.0277628	0.0190286	0.019695	0.0143052
il	0.056088	0.0630333	0.0673355	0.0666884	0.0565435	0.0555099	0.0487264	0.0519633	0.0448968	0.0392111	0.0392478	0.031124	0.02593	0.0194895	0.0315875	0.0380943	0.0293128	0.00503852	0.0240812	0.0198628	0.0253468	0.0189563	0.0251391	0.0220929	0.0228883	0.0718121
ya	0.0829205	0.0656803	0.0598406	0.0567752	0.0591846	0.0507101	0.037124	0.0296407	0.0271358	0.0238215	0.0256416	0.0215445	0.0286707	0.0218164	0.0320471	0.0286814	0.0319581	0.0149393	0.0258951	0.0265754	0.0276052	0.0239847	0.0245594	0.0269582	0.0485767	0.097713
trop	0.04097	0.0410899	0.0393397	0.0449752	0.0502193	0.0376676	0.0289018	0.026715	0.0254531	0.0197564	0.0188358	0.0102258	0.0121752	0.0135272	0.022754	0.0436813	0.0598616	0.0120444	0.0411273	0.0362862	0.0512494	0.0390728	0.0464135	0.0472232	0.0893422	0.101092
de	0.0272026	0.0262546	0.0236635	0.0305361	0.0228669	0.0295255	0.0327328	0.0507333	0.0547462	0.0428909	0.0417528	0.0329726	0.040941	0.0325923	0.0549945	0.0633808	0.0674869	0.0155241	0.047201	0.0362602	0.0437173	0.0250721	0.0272154	0.0421561	0.0428974	0.044683
souffrance	0.039713	0.0286226	0.0268267	0.0267632	0.0279537	0.0272818	0.0253453	0.0243683	0.0184346	0.017587	0.0123404	0.0123892	0.00781077	0.00593163	0.022499	0.0462506	0.0366945	0.0109519	0.0462715	0.0660773	0.0815233	0.0681176	0.0800258	0.075607	0.0662506	0.0983626
à	0.0637462	0.0374263	0.0330155	0.0272083	0.0296547	0.0218592	0.01254	0.0106707	0.00583044	0.00681543	0.00373169	0.00380559	0.00391459	0.00499995	0.0162465	0.0382257	0.0727312	0.0294555	0.0666712	0.0490659	0.0896777	0.0529427	0.063035	0.0692951	0.0859399	0.101495
brazaville	0.0827009	0.0471087	0.0398977	0.0320267	0.021786	0.0117434	0.00748881	0.00644087	0.00503471	0.00563259	0.00350163	0.00362142	0.00296581	0.00427908	0.0123114	0.0248784	0.0395422	0.011556	0.0415665	0.0485787	0.0887034	0.0703979	0.090762	0.0833455	0.0808638	0.133266
</S>	0.101183	0.0481168	0.0331675	0.0266032	0.0137555	0.00766065	0.00509946	0.00397182	0.00292426	0.00377141	0.00263569	0.00316423	0.0030561	0.00515456	0.0140837	0.0228843	0.0251323	0.00740927	0.0319351	0.0278159	0.0876621	0.0610561	0.0893462	0.0839225	0.124061	0.164426
