 	e	t	o	n	g	o	y	á	m	b	í	a	y	é	e	m	í	b	ε	n	g	ε	</S>
ce	0.0230586	0.0315584	0.0261837	0.024188	0.0243194	0.021977	0.0243633	0.0497852	0.0448772	0.0568112	0.0450877	0.0328581	0.0431886	0.0543581	0.0450817	0.0674821	0.0745039	0.0418759	0.0397976	0.0485095	0.050511	0.0515448	0.0780789
régime	0.0240639	0.127122	0.0932657	0.0524577	0.0232181	0.0438599	0.0608903	0.108025	0.0580515	0.0241478	0.0244595	0.0409311	0.0164577	0.0272876	0.0674789	0.0426149	0.0787565	0.0352111	0.0217032	0.016037	0.00569383	0.00306143	0.00520493
de	0.0490395	0.0304246	0.0279847	0.032454	0.0373526	0.0388031	0.0249605	0.0244356	0.0129187	0.0291572	0.0397119	0.0372455	0.0335624	0.0409437	0.0401629	0.0821228	0.121492	0.0801238	0.0911926	0.0555031	0.0360898	0.0251272	0.00919198
noix	0.0294672	0.0381963	0.0547061	0.0566509	0.0516591	0.0255057	0.0183872	0.0104585	0.0482664	0.0425073	0.0820974	0.0777261	0.0858311	0.103205	0.0528861	0.034947	0.0233507	0.0154106	0.0221362	0.0213551	0.0247306	0.027412	0.0531074
de	0.0500985	0.0779957	0.0763607	0.0806803	0.0706515	0.0258351	0.0169573	0.0154739	0.0106401	0.0142941	0.00873814	0.0186015	0.00968669	0.011786	0.0249163	0.0358755	0.0300242	0.0334986	0.041041	0.0515534	0.0581029	0.0602814	0.176907
palme	0.0348148	0.0391993	0.0410606	0.0338463	0.0319433	0.0251473	0.0260006	0.0317349	0.0390406	0.0411187	0.0411596	0.0447261	0.0424487	0.0350067	0.0216339	0.0257192	0.0331695	0.0377673	0.0560065	0.0909937	0.0849218	0.0658805	0.07666
est	0.0549687	0.0608021	0.0518825	0.0435671	0.0380822	0.0202226	0.0163266	0.0161225	0.0169178	0.0185979	0.0167181	0.0185976	0.0225437	0.0275237	0.0239048	0.0422816	0.0446994	0.0510417	0.0674976	0.0749061	0.07617	0.0679858	0.12864
mûr	0.11545	0.0698567	0.0323941	0.0167164	0.0135357	0.00687252	0.00461703	0.0028631	0.00191502	0.00167758	0.0012783	0.00177672	0.00247532	0.00294369	0.00333944	0.0119311	0.0255968	0.043275	0.0873553	0.0955115	0.111887	0.121015	0.225716
</S>	0.0484057	0.0556659	0.0438693	0.0321563	0.0259027	0.0130336	0.009219	0.00988696	0.0138758	0.0177651	0.0171214	0.0224852	0.0185701	0.0188982	0.0280767	0.0304736	0.0231612	0.0391737	0.0525575	0.0521395	0.0939019	0.0817053	0.251956
