 	o	l	ó	m	i	y	á	n	g	á	á	m	i	s	ó	m	b	á	o	k	y	ε	n	g	ε	l	i	</S>
mon	0.00905769	0.0124835	0.0125986	0.0130506	0.0124226	0.0124004	0.0186643	0.0212294	0.0241964	0.0483634	0.0705928	0.0729828	0.0498021	0.039439	0.0330783	0.0197331	0.0218549	0.0361953	0.0324662	0.0434502	0.0517706	0.0544589	0.066741	0.0494573	0.0631098	0.0374112	0.0331077	0.0398818
mari	0.0116798	0.0308953	0.0193812	0.0131607	0.0153229	0.0117587	0.0158729	0.0255242	0.0282009	0.0993472	0.182648	0.118736	0.119895	0.0425064	0.0250709	0.011963	0.0246993	0.0314183	0.0298549	0.0259308	0.0206243	0.017708	0.0287015	0.0261265	0.0120273	0.00577448	0.00332108	0.00185034
vient	0.0366908	0.0145976	0.0148691	0.0147701	0.0303398	0.0258384	0.0855858	0.131924	0.123438	0.0503692	0.0374635	0.0228617	0.0216522	0.0231939	0.0332448	0.0447837	0.0497415	0.0433597	0.0257751	0.017033	0.0151093	0.0178059	0.0192221	0.0341532	0.0250584	0.0154578	0.0195577	0.00610316
d'	0.0378412	0.0334952	0.0415863	0.0458717	0.0368854	0.027828	0.048082	0.048547	0.0631493	0.0403382	0.0266383	0.0297734	0.0183169	0.0293805	0.0353632	0.0250052	0.0181937	0.00842481	0.00815505	0.0097121	0.0111622	0.0151312	0.0245441	0.04407	0.0743586	0.0519091	0.059504	0.0867335
acheter	0.0227756	0.0285311	0.03544	0.0359653	0.0546389	0.0536142	0.0544831	0.0539343	0.0504433	0.0445156	0.0244965	0.0295017	0.0338695	0.0346817	0.0372734	0.0366349	0.0546349	0.0398923	0.0382986	0.0336484	0.0323933	0.0314673	0.0174431	0.0134309	0.0180472	0.0153649	0.0227693	0.0518106
un	0.0234623	0.03543	0.0384638	0.0386206	0.0351997	0.0292777	0.0222051	0.0215802	0.0231837	0.0203202	0.0186557	0.0154595	0.0161774	0.0267052	0.0334669	0.0413601	0.0557303	0.035201	0.0273132	0.0173968	0.0235438	0.0477917	0.0490251	0.0372736	0.0358535	0.0461021	0.0825937	0.102607
rasoir	0.0547009	0.0480767	0.0420023	0.0367014	0.038317	0.0358171	0.0319868	0.0294653	0.0171115	0.0129047	0.0110204	0.00697288	0.00697368	0.00605246	0.00960146	0.016581	0.0248083	0.0339193	0.0414251	0.0434091	0.0505309	0.0525404	0.0527485	0.0503697	0.0586676	0.0585713	0.0524864	0.0762381
</S>	0.0362997	0.0345373	0.0329705	0.0337091	0.0435506	0.0376598	0.0311125	0.0231113	0.0146583	0.0115481	0.00926136	0.008051	0.0075764	0.00922209	0.0156989	0.0300117	0.0278507	0.0284523	0.0366734	0.0296857	0.0309986	0.0563525	0.0646022	0.0311659	0.072513	0.0586673	0.0841731	0.0998866
