 	w	a	á	k	ú	l	u	a	k	a	á	b	o	m	á	a	m	έ	n	έ	ó	e	b	é	e	y	é	é	k	i	r	á	w	a	</S>
il	0.0803206	0.232023	0.25285	0.241235	0.107603	0.0191425	0.00802632	0.00468995	0.00380075	0.00127677	0.00371891	0.00222834	0.00316578	0.00276975	0.00276017	0.00310099	0.00220223	0.00301565	0.00367449	0.0027322	0.00157078	0.00145762	0.000624884	0.000498128	0.000624643	0.000737274	0.000781788	0.000675976	0.00115421	0.00271581	0.00240408	0.00172727	0.00152327	0.00208117	0.00108707
a	0.0149989	0.00472474	0.0127649	0.00908919	0.0087619	0.010507	0.022616	0.0405511	0.0706037	0.099281	0.0826692	0.0506635	0.0521961	0.0369623	0.0446945	0.0307408	0.0361526	0.0538445	0.0260144	0.0262214	0.031224	0.0386691	0.026509	0.016242	0.00926319	0.0181682	0.0107487	0.0107155	0.00979329	0.00493558	0.0105346	0.0170838	0.0285384	0.0146251	0.0188917
abandonné	0.00304476	0.00454592	0.00438566	0.00357386	0.00418063	0.00315232	0.00258569	0.00390657	0.00458669	0.00568418	0.00609038	0.015222	0.0322696	0.0365811	0.0395655	0.0831034	0.0760982	0.107286	0.117525	0.0972079	0.0629913	0.0435565	0.0502288	0.0294487	0.0418756	0.033092	0.0278842	0.0130809	0.0080336	0.00627871	0.0058584	0.0055956	0.00544077	0.00955641	0.00648352
le	0.00544013	0.00457695	0.0052111	0.00606012	0.00640907	0.0072114	0.00521871	0.00894154	0.00764811	0.0122028	0.0142561	0.0149761	0.0189494	0.0213382	0.0149018	0.0145254	0.0207958	0.0299025	0.0335736	0.0437619	0.0406268	0.0410366	0.0772262	0.0852214	0.0880887	0.0854501	0.109593	0.0731947	0.0247209	0.00511567	0.00641301	0.00666191	0.00648341	0.018817	0.0354498
poisson	0.0073275	0.0106621	0.0091056	0.00870733	0.0058294	0.00503199	0.00462496	0.00964237	0.00920835	0.00759052	0.00770487	0.0095724	0.00952275	0.016669	0.0164018	0.021285	0.0281544	0.0344258	0.028522	0.0457632	0.04301	0.0488138	0.0716263	0.0746276	0.0775434	0.0746584	0.0971626	0.0821943	0.0304771	0.0140532	0.0253831	0.0169181	0.0140351	0.0112301	0.0225155
salé	0.00309787	0.0027827	0.00586072	0.00224571	0.0031834	0.00347399	0.00431306	0.0102277	0.00901758	0.00928028	0.0100058	0.00810291	0.00787391	0.0110916	0.0100384	0.0118959	0.0190384	0.0217815	0.0294627	0.0389088	0.0450802	0.0437581	0.0692584	0.0594968	0.0596013	0.0707574	0.082678	0.0815675	0.0587897	0.0324448	0.0419243	0.0358329	0.0266127	0.0308155	0.0396994
là	0.0136615	0.0248191	0.0210853	0.0153989	0.0147594	0.0166001	0.0152362	0.0166285	0.0238879	0.0199337	0.0163671	0.0107121	0.0131207	0.0139993	0.0127523	0.0140352	0.0264606	0.0385355	0.0440865	0.0456638	0.0332943	0.0251174	0.0422063	0.0500669	0.0607988	0.0499777	0.0661646	0.039114	0.0311385	0.0209035	0.0366772	0.0222028	0.025813	0.031997	0.0467843
où	0.0166373	0.0165226	0.026504	0.0149783	0.0178943	0.0182876	0.0172434	0.0199428	0.0223089	0.018854	0.0163174	0.0164421	0.0178413	0.0152195	0.0148199	0.0171701	0.018162	0.0206774	0.0175054	0.0186714	0.0185605	0.0201692	0.0339784	0.0407223	0.0428218	0.0338216	0.039427	0.0313791	0.0504921	0.0414392	0.0572483	0.0525136	0.0551717	0.0569311	0.0633246
il	0.01427	0.0121041	0.0206335	0.0138263	0.0232497	0.0244551	0.0228478	0.0260093	0.0235293	0.0168131	0.0113512	0.0125901	0.0139599	0.0119603	0.0109403	0.0135143	0.0144121	0.0175073	0.0171514	0.0197808	0.0201617	0.0153236	0.0220585	0.0218492	0.0230611	0.0214018	0.0261587	0.0242431	0.0529209	0.051355	0.0701548	0.0675755	0.0715885	0.0791242	0.0921175
vend	0.0102641	0.00904195	0.0170589	0.0110717	0.0238064	0.0235971	0.0209278	0.013594	0.0140538	0.0117618	0.0103318	0.0117269	0.0107725	0.0124662	0.0114275	0.0167891	0.0213811	0.0296432	0.043267	0.061139	0.0685792	0.0479389	0.0546461	0.0340171	0.0353562	0.0299464	0.0241511	0.0136376	0.0287089	0.0128883	0.0264762	0.0358262	0.0376878	0.0498545	0.116164
</S>	0.022684	0.0192597	0.025795	0.0190838	0.027862	0.0283414	0.0279884	0.0270327	0.0216185	0.0207188	0.0142467	0.0213832	0.0215918	0.0189606	0.0179187	0.0201274	0.0272064	0.0290379	0.0342356	0.0365848	0.0318757	0.0224164	0.0226561	0.0231634	0.0177407	0.0120092	0.0133927	0.0155135	0.0322614	0.0253128	0.0387765	0.0316574	0.0517294	0.0731323	0.106685
