 	b	í	s	í	b	ó	l	é	e	m	ω	ώ	ó	t	s	é	y	ó	m	b	á	n	g	é	</S>
nous	0.0313765	0.0310058	0.0196195	0.0901276	0.149807	0.0687392	0.0643717	0.0746864	0.0305392	0.0370666	0.0784675	0.0495055	0.0399659	0.0252999	0.0203287	0.0150919	0.0133257	0.015387	0.0155609	0.0176312	0.0157524	0.0180308	0.023827	0.0343912	0.0200949
sommes	0.0462267	0.0529301	0.0357466	0.0211919	0.0396854	0.0503407	0.0767708	0.0694639	0.0346305	0.0416899	0.0411929	0.0633129	0.0522282	0.0601862	0.032614	0.0373808	0.040187	0.0381776	0.0256976	0.0326957	0.0246095	0.021418	0.0219706	0.0182726	0.0213802
en	0.111859	0.104657	0.0574062	0.0413977	0.015344	0.0169917	0.0234982	0.032223	0.0266484	0.0313122	0.0473822	0.0483278	0.0520956	0.0356829	0.0246365	0.021694	0.0299976	0.0256776	0.0223663	0.0251017	0.0200999	0.0326146	0.0285464	0.0285549	0.0958851
train	0.010568	0.0112735	0.0126394	0.0180054	0.0246528	0.0318477	0.0376288	0.045148	0.0527271	0.0477507	0.0393587	0.0514742	0.0398795	0.0584027	0.0608005	0.0692807	0.0745143	0.0584234	0.0337607	0.0537034	0.0400422	0.0454213	0.0284505	0.0271834	0.0270632
de	0.153086	0.100284	0.0991785	0.0276178	0.0125157	0.0084315	0.00699343	0.0138041	0.00944731	0.0311582	0.026496	0.0405494	0.0321876	0.0248927	0.0145213	0.0145892	0.0114777	0.0164499	0.0236029	0.0248305	0.02959	0.0376392	0.0508916	0.0410562	0.14871
causer	0.0567688	0.0721168	0.0502109	0.0345195	0.0216278	0.0331383	0.0425538	0.0357316	0.037256	0.0464464	0.0362354	0.0666478	0.0661521	0.0678306	0.0406622	0.0349743	0.0328681	0.0328287	0.0358998	0.0283808	0.026321	0.0235873	0.0216845	0.0174397	0.0381177
sous	0.0815011	0.0435164	0.0278463	0.0129584	0.0137118	0.0132479	0.0127907	0.0111343	0.0159041	0.0249026	0.0231708	0.0249393	0.0279562	0.0351419	0.0368263	0.0424527	0.0364839	0.0461834	0.0546165	0.0492453	0.0509573	0.0562231	0.0774481	0.0585028	0.122339
le	0.0435864	0.0327431	0.0335327	0.0190267	0.0211668	0.0138963	0.013822	0.0165385	0.0131637	0.0213492	0.0242532	0.0253706	0.0256436	0.0242045	0.0290993	0.0284807	0.0293423	0.0416534	0.048128	0.0481776	0.0525087	0.0607728	0.0909431	0.0666801	0.175917
manguier	0.0284554	0.0300012	0.0325244	0.0160198	0.0112824	0.00644366	0.00613906	0.00745613	0.00737193	0.0093746	0.012983	0.0139118	0.015245	0.0318866	0.0290901	0.0447957	0.0492391	0.0562156	0.0719673	0.0556832	0.0702867	0.0846191	0.0972111	0.0742881	0.137509
</S>	0.0622325	0.0736378	0.0782077	0.0350069	0.0102966	0.0143769	0.00737577	0.0120591	0.00756141	0.0111141	0.0129063	0.0227918	0.042925	0.0390795	0.0279057	0.0241729	0.0353158	0.0424355	0.0437238	0.0451716	0.0447192	0.0597018	0.063586	0.0624034	0.121293
