 	p	á	n	d	e	y	ó	k	w	á	í	é	m	i	p	a	s	a	</S>
le	0.0490272	0.0635048	0.0279262	0.0317328	0.0261804	0.0420818	0.0577962	0.075834	0.125162	0.0495007	0.0356046	0.0418847	0.101046	0.087497	0.0516644	0.0390375	0.0317247	0.0421852	0.0206102
manche	0.0135297	0.00847178	0.0246637	0.074139	0.16918	0.115173	0.151445	0.227958	0.0770944	0.0628897	0.0482096	0.0119333	0.00521321	0.00378322	0.00275925	0.000476976	0.00118446	0.00152205	0.000373129
de	0.178601	0.0566389	0.0376186	0.0318597	0.039824	0.020325	0.0322785	0.0367339	0.138299	0.15071	0.0818199	0.0584957	0.035915	0.0294303	0.0140381	0.0115246	0.0193974	0.0131589	0.0133312
la	0.0198647	0.0272556	0.058226	0.104304	0.106006	0.0774764	0.0307826	0.0320742	0.0231984	0.0255251	0.0170649	0.0145722	0.0198162	0.0181678	0.0404123	0.0360144	0.100196	0.0783837	0.170659
machette	0.0332951	0.0405924	0.0344633	0.04485	0.0737595	0.0842386	0.071675	0.03658	0.0815858	0.0396432	0.0324118	0.0335746	0.0449733	0.0584099	0.0444804	0.0550409	0.0710494	0.0562439	0.0631328
s'	0.0927001	0.0402962	0.0393815	0.041469	0.0608083	0.09406	0.074493	0.0558111	0.0595778	0.0644852	0.0407211	0.0323983	0.0239525	0.0206233	0.0239901	0.0267621	0.0588354	0.0480451	0.10159
est	0.155172	0.0538806	0.0415215	0.0382868	0.0424564	0.049969	0.0416759	0.0377271	0.0360966	0.0367953	0.0269931	0.0421815	0.0370761	0.0278724	0.0305335	0.0304112	0.0637591	0.0712129	0.136378
cassé	0.0856944	0.0652393	0.0601321	0.0538043	0.0329559	0.0228484	0.022616	0.0315413	0.0189799	0.0237969	0.0131925	0.0252677	0.0413192	0.0156365	0.0202082	0.0152805	0.0950516	0.121522	0.234914
</S>	0.0728838	0.0534968	0.0412988	0.0365514	0.0285402	0.0382857	0.0293326	0.0606006	0.0379047	0.0154796	0.00433265	0.0042361	0.027234	0.0167173	0.055364	0.0218067	0.0662563	0.120806	0.268873
