 	a	y	a	a	m	á	á	t	u	t	á	w	a	á	s	á	a	o	b	h	ω	y	ω	k	a	á	</S>
les	0.216084	0.0699145	0.0351112	0.0245279	0.0137788	0.0227051	0.0210299	0.0349208	0.0396117	0.0368304	0.0415524	0.0438636	0.0469218	0.0417893	0.041428	0.0270959	0.0212021	0.0213972	0.017224	0.0255695	0.0383727	0.0260858	0.0282141	0.0216579	0.0173733	0.0132458	0.0124921
feuilles	0.0781144	0.0978	0.122951	0.0735133	0.0906285	0.0469043	0.0184659	0.0152584	0.0143877	0.0192281	0.0199881	0.0203615	0.00963501	0.0217279	0.020439	0.0368299	0.0251135	0.0389435	0.0242304	0.0328952	0.0353825	0.0246616	0.0342621	0.0358161	0.0207928	0.0148391	0.00683062
de	0.0286134	0.0322458	0.0470156	0.0231838	0.0248279	0.0329102	0.0431162	0.0416974	0.03437	0.0607252	0.0410512	0.0344477	0.027997	0.0677067	0.0292563	0.0364944	0.0545958	0.0482064	0.056552	0.0394986	0.0433804	0.0468477	0.0325832	0.0239425	0.0137078	0.017982	0.0170449
manioc	0.0237765	0.0208508	0.0232647	0.0309332	0.0347273	0.0389346	0.0445222	0.0388448	0.0375014	0.0433353	0.0435456	0.0403523	0.0246946	0.0122706	0.0117205	0.0109442	0.0342056	0.0663346	0.0449068	0.0459681	0.0485963	0.05719	0.0315641	0.042103	0.0356687	0.0581477	0.0550965
qu'	0.0259322	0.0345169	0.0315719	0.0334237	0.0403759	0.0427221	0.0422571	0.0417233	0.0401334	0.0427	0.0340861	0.039209	0.0377999	0.0436431	0.0384006	0.0381844	0.0249634	0.0367331	0.0199894	0.031582	0.0389258	0.0273664	0.0170501	0.0314288	0.0265421	0.0461787	0.0925606
elle	0.03541	0.0350571	0.0336043	0.0294116	0.0511717	0.0893071	0.0822282	0.0780378	0.0764584	0.0678358	0.0381582	0.0269637	0.0276884	0.0199225	0.0182454	0.0115584	0.0136876	0.0124627	0.0119063	0.0143781	0.0144679	0.0159463	0.0169142	0.0189122	0.0257918	0.037523	0.0969514
est	0.0327474	0.0229489	0.0318718	0.035658	0.043405	0.0768563	0.0659098	0.0638334	0.0643144	0.052538	0.0424621	0.0243915	0.0258005	0.0284134	0.0211748	0.0212369	0.0285016	0.0297548	0.0237303	0.0214775	0.0200714	0.0181724	0.0142137	0.0241839	0.0292472	0.0387751	0.0983099
en	0.0423601	0.0377581	0.0556783	0.0449232	0.0612104	0.055	0.0336543	0.0295565	0.031304	0.0286624	0.0167965	0.0161275	0.0186476	0.0222636	0.00908747	0.0160447	0.011305	0.0221619	0.0182467	0.0232336	0.0445855	0.0310729	0.0348061	0.0579842	0.0575421	0.0590027	0.120985
train	0.0358704	0.0343156	0.0415015	0.0353919	0.0369315	0.027451	0.0204026	0.0183374	0.0197353	0.018156	0.0133044	0.0157548	0.0188232	0.0266777	0.0184649	0.0215127	0.00847686	0.0328801	0.0170998	0.0302055	0.0606067	0.0399975	0.029646	0.0727304	0.0648925	0.0979908	0.142843
de	0.0172658	0.0189855	0.0203242	0.0377244	0.0395748	0.0587004	0.0648094	0.0952843	0.0704031	0.0820175	0.0760525	0.0323775	0.0188633	0.0227378	0.0145195	0.0149045	0.0138497	0.0686903	0.0122894	0.0173921	0.0192782	0.0111424	0.011939	0.014339	0.0172446	0.0282744	0.101016
piler	0.128482	0.128587	0.1304	0.103918	0.100275	0.0679965	0.0311598	0.0246579	0.0202587	0.0201549	0.0140961	0.00981443	0.0142665	0.0088188	0.00884066	0.00905543	0.00345898	0.0173873	0.00612855	0.00924395	0.00884711	0.0110626	0.0100257	0.0119573	0.0126369	0.0314585	0.057011
ne	0.111359	0.0887602	0.105223	0.0737485	0.0889388	0.0527784	0.0375133	0.0187755	0.0176459	0.0144082	0.00781081	0.00963204	0.0114986	0.0194801	0.027427	0.0250077	0.0140678	0.0239402	0.00859583	0.0111132	0.0158872	0.0156747	0.0140382	0.0191684	0.0183498	0.0379039	0.111254
sont	0.0620933	0.0544893	0.0613228	0.0438599	0.0454484	0.0413316	0.0329706	0.026674	0.024232	0.0220436	0.0184101	0.015225	0.0151103	0.0149308	0.0160354	0.0161066	0.0261972	0.0324942	0.0161795	0.0291095	0.0290199	0.0226524	0.0189035	0.0251794	0.0288062	0.0704435	0.190731
pas	0.084385	0.0661807	0.068215	0.0488629	0.0283895	0.0146522	0.0120144	0.00859851	0.0083432	0.0065708	0.00642446	0.0119644	0.0144618	0.0171751	0.0213208	0.0318311	0.0269901	0.0234614	0.0277934	0.0195287	0.0255382	0.0326066	0.0131204	0.0531609	0.0443266	0.105493	0.178591
encore	0.0263523	0.0272988	0.0207914	0.0244878	0.0200452	0.0165963	0.011316	0.00843059	0.00602114	0.00571171	0.00544783	0.0050154	0.00539734	0.00596029	0.00681698	0.00539169	0.00507186	0.0258524	0.0194546	0.0272135	0.0350955	0.0650497	0.0244898	0.109741	0.102729	0.162523	0.221698
assez	0.109439	0.0383798	0.0328966	0.0275017	0.0330198	0.0362206	0.0360688	0.0311117	0.0345063	0.0269684	0.0220579	0.0129841	0.0118512	0.0107902	0.0193359	0.0165308	0.0335709	0.0375466	0.0371583	0.0205317	0.0234019	0.0279161	0.0113426	0.0279111	0.0327158	0.0702772	0.177965
écrasées	0.102078	0.0600324	0.0837732	0.0405493	0.0537658	0.0532896	0.0489403	0.0427251	0.0509086	0.0399284	0.0382955	0.0217192	0.0175348	0.0101254	0.00878988	0.0103118	0.00719883	0.0143603	0.00714159	0.00875652	0.00628857	0.0141617	0.00578561	0.0132965	0.00919003	0.0529956	0.178057
</S>	0.238961	0.13135	0.0848772	0.0426173	0.0545968	0.0508743	0.0376153	0.027993	0.0229512	0.0201505	0.0156704	0.00695945	0.00577912	0.00404337	0.00529358	0.00866323	0.00371189	0.0137631	0.00907354	0.0106835	0.00755702	0.00993525	0.00409052	0.00996805	0.0106845	0.0400026	0.122135
