 	k	á	s	i	y	á	w	a	é	d	í	f	έ	e	f	έ	e	ó	m	é	s	á	</S>
ses	0.0716181	0.127455	0.0634772	0.0246433	0.0347246	0.0100754	0.0245915	0.039214	0.0405761	0.0408982	0.0466148	0.0458066	0.0570666	0.0738872	0.0631083	0.0467494	0.0437874	0.0389485	0.0409148	0.0238717	0.020377	0.0107729	0.0108218
documents	0.0373053	0.0085312	0.0210136	0.0432268	0.0468429	0.0841315	0.170073	0.153415	0.201534	0.0576854	0.0660902	0.0252645	0.0222593	0.0134513	0.0117282	0.00769254	0.00817821	0.0117973	0.00653501	0.00134521	0.000328567	0.000354496	0.00121668
sont	0.0338169	0.0386276	0.031594	0.022324	0.0177899	0.0146121	0.0108878	0.0276801	0.0285391	0.031541	0.034999	0.0352771	0.0312128	0.0713087	0.129819	0.152672	0.0550099	0.0641618	0.0725526	0.0471889	0.0276582	0.0127827	0.00794462
épars	0.0141441	0.0125599	0.0250943	0.0309937	0.0246329	0.0393973	0.0443125	0.0784078	0.108508	0.0909986	0.0725413	0.123785	0.10045	0.0617863	0.0237939	0.0213733	0.0175131	0.0158392	0.0256009	0.0142928	0.0165513	0.0086154	0.0288081
sur	0.0648908	0.0357512	0.0490224	0.0603439	0.0464088	0.0462948	0.0159749	0.0249929	0.0233272	0.0220797	0.0282562	0.0506497	0.0248933	0.0246107	0.0113316	0.0202549	0.0206118	0.020404	0.023627	0.0321105	0.0581506	0.0615685	0.234445
la	0.0380112	0.0275308	0.0293035	0.0318792	0.033547	0.0366108	0.0278758	0.0344051	0.0394697	0.0421808	0.0336656	0.0439502	0.03327	0.0356409	0.0271141	0.0427292	0.0452473	0.0395037	0.0475679	0.0647702	0.0620452	0.0754536	0.108228
table	0.0328527	0.0225431	0.023664	0.025609	0.0358635	0.0405474	0.0224774	0.0320332	0.0274644	0.0268504	0.0264224	0.0310161	0.035657	0.0386154	0.048246	0.0677237	0.0875215	0.0717355	0.0745656	0.038921	0.0489131	0.0250453	0.115712
</S>	0.0456471	0.048333	0.0525637	0.056151	0.0518339	0.0539966	0.0224235	0.0214553	0.0233998	0.0216321	0.0286008	0.0478465	0.0415006	0.0326356	0.0232634	0.023639	0.030715	0.0404931	0.0426871	0.029525	0.0478775	0.0657462	0.148034
