 	t	á	á	á	s	i	m	b	i	w	a	o	b	v	u	b	h	á	o	l	a	n	g	i	</S>
son	0.0135146	0.0645314	0.119874	0.133512	0.0824228	0.0576331	0.0277222	0.0145876	0.0128314	0.011495	0.0309003	0.0296017	0.0328429	0.0235175	0.0334896	0.0218217	0.0391267	0.0609945	0.0507178	0.042628	0.0277898	0.0184631	0.0164172	0.0198902	0.0136755
père	0.121626	0.268925	0.205427	0.0875262	0.0510424	0.0668535	0.0388262	0.032446	0.0197798	0.0117347	0.019056	0.0119903	0.0204406	0.0136739	0.00502056	0.00725595	0.0015416	0.0026471	0.00167756	0.00398037	0.00285214	0.00210294	0.00154853	0.000889275	0.00113648
lui	0.0271246	0.029	0.0467077	0.0337871	0.0363954	0.0467507	0.0698387	0.0778947	0.0905977	0.111963	0.116761	0.0403396	0.0304444	0.0508449	0.0152232	0.0234025	0.024053	0.0205243	0.0224904	0.0318622	0.0180002	0.0123588	0.0104647	0.00690473	0.00626657
a	0.0517273	0.0390778	0.0228002	0.0199386	0.0187333	0.0275188	0.0341953	0.0464585	0.047337	0.045433	0.0351021	0.0354592	0.0784819	0.123421	0.0817822	0.0870407	0.05618	0.0202496	0.0187204	0.0200606	0.0111189	0.0158348	0.014758	0.0219465	0.0266243
défendu	0.122127	0.0463909	0.0366404	0.0340145	0.0294571	0.0630257	0.0451855	0.0521727	0.0533826	0.0508713	0.0414592	0.0253761	0.025314	0.0331355	0.037865	0.0369794	0.0289943	0.024198	0.0267147	0.0280774	0.0280527	0.0276206	0.0313184	0.0294288	0.0421982
de	0.108747	0.0547073	0.0302117	0.0333048	0.0274361	0.057923	0.0260685	0.0335938	0.0289012	0.0248553	0.0308513	0.0282959	0.0502719	0.0367457	0.0219993	0.0208173	0.0261459	0.0169277	0.021138	0.0265314	0.0473726	0.0342367	0.0557099	0.0637895	0.0934178
boire	0.0810899	0.0385292	0.0335667	0.0326229	0.0284559	0.0546962	0.0344238	0.0425198	0.0332506	0.0221345	0.0166472	0.016648	0.027653	0.0439742	0.0430994	0.0232738	0.0312139	0.0387189	0.0366606	0.0373193	0.0384629	0.0354773	0.0515513	0.0546728	0.103338
directement	0.0725466	0.036298	0.020511	0.0155735	0.0135627	0.0239347	0.0241951	0.0267004	0.0211932	0.0142504	0.0113434	0.0111724	0.0136288	0.0272326	0.0342988	0.0370153	0.0518617	0.0637749	0.0622109	0.0587695	0.0469658	0.0521368	0.0837349	0.0648871	0.112201
de	0.102003	0.0408587	0.0199906	0.0187592	0.0203846	0.0315529	0.039554	0.0395542	0.030975	0.0182155	0.0105534	0.0134194	0.0205405	0.0533636	0.0427763	0.0305761	0.0332734	0.0349511	0.0326192	0.026672	0.0267856	0.033975	0.0507713	0.0458267	0.182048
la	0.0431133	0.0360313	0.0305198	0.0287965	0.0217601	0.0180741	0.0205382	0.0205273	0.0143113	0.0102799	0.00659635	0.00759372	0.00934876	0.022159	0.0364635	0.0327548	0.0292124	0.0320015	0.0397253	0.0362111	0.0277563	0.0713082	0.107911	0.113797	0.183209
bouteille	0.0287563	0.0247594	0.021765	0.0190383	0.020363	0.0166527	0.0190963	0.0208489	0.017404	0.0155816	0.0109699	0.0207319	0.0398252	0.0530826	0.068842	0.0458231	0.0381676	0.0481194	0.0441298	0.0360825	0.0329401	0.0687039	0.0648397	0.109142	0.114334
</S>	0.182835	0.0831465	0.0673759	0.0310711	0.0282756	0.0217382	0.0277578	0.022645	0.0126116	0.00586447	0.00373629	0.00637511	0.00780212	0.0196484	0.0322778	0.0465698	0.0434244	0.0395238	0.0419598	0.0399276	0.0326992	0.0337679	0.0504381	0.0336354	0.0848931
