 	b	e	a	b	í	a	m	έ	n	έ	í	m	i	s	á	á	o	b	ω	ω	</S>
la	0.0237949	0.016775	0.0169164	0.0197695	0.0365359	0.0311877	0.0461572	0.0625335	0.127761	0.15218	0.138919	0.0736357	0.0807717	0.0616884	0.0464038	0.0191972	0.0101367	0.00823783	0.00744072	0.0066784	0.0132793
nourriture	0.0504472	0.101957	0.101181	0.190925	0.281188	0.129312	0.0442163	0.0298378	0.0393905	0.0121608	0.00301464	0.00378981	0.00201323	0.0022455	0.00113348	0.000931155	0.00153169	0.00123669	0.00120697	0.000983509	0.00129803
en	0.0623036	0.0836408	0.10409	0.0673372	0.0708307	0.0592427	0.0383555	0.0413178	0.0244372	0.026026	0.0199865	0.0230784	0.0149296	0.0206147	0.0250967	0.035178	0.0589898	0.0503593	0.0709877	0.0810999	0.0220975
question	0.068463	0.176048	0.131947	0.0806249	0.0736944	0.0471991	0.0620567	0.0459096	0.0774046	0.0309787	0.0147995	0.0147393	0.0257395	0.0167491	0.0113894	0.00795055	0.0113463	0.00960868	0.0138888	0.00697733	0.0724855
est	0.0832328	0.098032	0.0868653	0.0766921	0.0723622	0.0397022	0.0283763	0.0277588	0.0288159	0.0197244	0.0186369	0.0157383	0.0228524	0.0207327	0.0176798	0.031436	0.0356559	0.0451782	0.0639138	0.0548788	0.111735
déjà	0.0504827	0.0441043	0.0407533	0.0341974	0.0376974	0.0184288	0.0229546	0.0239544	0.0340272	0.0195671	0.027198	0.033501	0.0331178	0.0358794	0.049222	0.0625462	0.0774627	0.0909715	0.118353	0.0562508	0.0893302
pourrie	0.034894	0.0338591	0.0425979	0.0373232	0.04074	0.0221407	0.0295937	0.0232329	0.0380247	0.0230002	0.0360282	0.0373074	0.0345976	0.0389843	0.055777	0.0636423	0.0643859	0.0498185	0.0949231	0.0871814	0.111948
</S>	0.043734	0.0338886	0.0321013	0.0322163	0.0317604	0.0356965	0.0393496	0.0306498	0.0337108	0.0212667	0.0218797	0.0112905	0.021105	0.0179865	0.0279885	0.0551152	0.0836772	0.0874338	0.101838	0.10813	0.129182
