 	o	y	ú	r	u	y	e	e	b	é	r	í	m	ú	a	m	í	k	ώ	ώ	á	k	a	n	i	l	ó	r	o	</S>
la	0.152513	0.0515281	0.071449	0.0333323	0.0150055	0.0124443	0.0128727	0.0252904	0.0260243	0.0332155	0.0333204	0.0393457	0.0499179	0.0434069	0.0357247	0.0480841	0.0338925	0.0274213	0.0208994	0.0203583	0.0171523	0.0200173	0.0168841	0.016722	0.0165876	0.0147311	0.0149749	0.0171634	0.0233456	0.0563755
femme	0.0768365	0.180417	0.0944494	0.180409	0.0688724	0.0260194	0.0191859	0.0339267	0.0216577	0.0195419	0.0228924	0.0216443	0.025897	0.0139788	0.0114805	0.0226865	0.0183139	0.0189108	0.0170178	0.0225143	0.0108053	0.0124267	0.0192879	0.0135074	0.008375	0.00557783	0.00809038	0.0041372	0.000736078	0.000403137
qui	0.0222042	0.0172565	0.0124723	0.00842202	0.0107165	0.0161242	0.0198168	0.0267938	0.0202956	0.0140472	0.0140795	0.0231322	0.0341076	0.0526727	0.092187	0.0560703	0.0571876	0.0689494	0.0663772	0.0535712	0.0501004	0.0360009	0.0378369	0.0398486	0.0254028	0.0236969	0.0199574	0.0217307	0.0337775	0.0251641
a	0.0177166	0.0218925	0.0412349	0.0347031	0.0321351	0.026846	0.0203603	0.019998	0.0162408	0.0140671	0.0218802	0.0257092	0.0254859	0.0429179	0.0578862	0.0679718	0.0743466	0.0606912	0.0399614	0.0242409	0.0210345	0.0175145	0.0169877	0.0108311	0.0138897	0.0214053	0.0329646	0.0519977	0.0557195	0.0713698
transporté	0.0250042	0.0334236	0.0264903	0.0245779	0.0246852	0.0297716	0.0344473	0.036118	0.0425053	0.022489	0.021703	0.0204742	0.0222664	0.0298195	0.039631	0.0407709	0.0414531	0.0369183	0.0280248	0.0269549	0.0230858	0.0213059	0.0202985	0.0187005	0.0222895	0.0260083	0.0364879	0.0504962	0.0479562	0.125842
le	0.0896766	0.0918444	0.0493904	0.0393202	0.0239745	0.0250484	0.0229867	0.0387193	0.0329554	0.0389564	0.0449667	0.0278114	0.0395697	0.0452239	0.044859	0.0386674	0.0299132	0.0246394	0.0130665	0.0121362	0.00932222	0.00914874	0.00917931	0.00503299	0.0172704	0.0164182	0.0194693	0.0238087	0.0441483	0.0724763
pannier	0.0400492	0.0421159	0.0329472	0.0274119	0.021985	0.0133071	0.0141756	0.01845	0.0160516	0.019838	0.021845	0.0203195	0.0192134	0.0280606	0.0394846	0.0361088	0.0377349	0.0386188	0.0380566	0.0405439	0.0546138	0.0411057	0.036619	0.0380269	0.0404623	0.028923	0.0302094	0.0343163	0.0532269	0.076179
de	0.177955	0.110117	0.0840107	0.0693145	0.0568153	0.0416457	0.024371	0.0278569	0.0204449	0.0161354	0.0149332	0.0157807	0.0184671	0.0340611	0.0411903	0.0243291	0.0208359	0.0179163	0.0136163	0.012616	0.0171949	0.0101482	0.00890737	0.00916644	0.0132386	0.0100609	0.00951322	0.0117683	0.0164764	0.0511124
manioc	0.169494	0.105784	0.0647851	0.0360524	0.0219298	0.0166458	0.0217507	0.039424	0.0272882	0.0262402	0.0265691	0.0149134	0.0132684	0.0205061	0.0231506	0.0219655	0.0149556	0.0137992	0.00811913	0.007414	0.00961176	0.00720603	0.00770401	0.00770965	0.0237539	0.015522	0.0248387	0.035627	0.0458122	0.128159
a	0.0914035	0.070705	0.0363693	0.0255648	0.0191495	0.0194281	0.028007	0.0479733	0.0436835	0.0274434	0.028508	0.0138908	0.0107742	0.0231748	0.0402439	0.036568	0.0270408	0.0237251	0.015599	0.013003	0.0122892	0.0114917	0.0147395	0.0152429	0.0330431	0.0216575	0.0263823	0.0305401	0.0472738	0.145085
mis	0.049326	0.04458	0.0287385	0.0201358	0.0165622	0.0115773	0.0150718	0.02482	0.0215695	0.0177232	0.0172498	0.0090334	0.00784667	0.0170426	0.0178664	0.0246446	0.02058	0.0236679	0.0268448	0.0175487	0.016763	0.0162959	0.0137522	0.0162549	0.0279685	0.0201314	0.0488402	0.0584356	0.100283	0.248846
la	0.138119	0.099216	0.098444	0.0337412	0.0151947	0.00935362	0.00833017	0.0135685	0.0140449	0.00952675	0.00819637	0.00514066	0.00465896	0.0109985	0.0128034	0.0165635	0.0140652	0.0151373	0.0151991	0.0119124	0.0128365	0.0123726	0.0116222	0.0139088	0.0262785	0.0176475	0.0336269	0.0502982	0.0972739	0.169921
gouttière	0.0622648	0.0631011	0.0427753	0.0290737	0.0234194	0.0105813	0.00887917	0.0115287	0.010262	0.0100302	0.0075207	0.00790976	0.0116879	0.0192485	0.0190307	0.0240231	0.018091	0.0197165	0.0219997	0.0161353	0.0186208	0.0315273	0.0253458	0.0363012	0.0356382	0.0343636	0.0624118	0.0734667	0.0890042	0.156042
</S>	0.0667333	0.0483843	0.05089	0.0372302	0.0389972	0.0367933	0.0290515	0.0323416	0.029756	0.0113169	0.00795751	0.00718168	0.00652789	0.00999006	0.0170373	0.0263634	0.0347155	0.0354845	0.0343268	0.0241282	0.0283298	0.0196082	0.0163468	0.0230465	0.0286788	0.0238768	0.0344204	0.0456997	0.0540867	0.140699
