 	o	y	ú	r	u	y	é	e	b	a	n	d	í	w	a	a	s	á	a	o	t	ú	m	b	á	</S>
la	0.00653266	0.00605639	0.00646954	0.00957188	0.0113848	0.0137036	0.00942648	0.0216882	0.0194616	0.0415048	0.0478515	0.0517206	0.0361811	0.0377653	0.0281065	0.0427907	0.0377114	0.0519171	0.128112	0.0728544	0.0514502	0.0746137	0.0637617	0.0602534	0.0425386	0.0265715
femme	0.131629	0.112225	0.10455	0.0908125	0.0563062	0.0180513	0.0280785	0.0293851	0.0226212	0.0114199	0.0152725	0.0107019	0.00320586	0.00742587	0.00780598	0.0324063	0.0261402	0.0961937	0.103602	0.0491942	0.0238532	0.0108952	0.0012989	0.00501621	0.00111868	0.000790396
qu'	0.0460423	0.0234072	0.0220091	0.0561592	0.0919064	0.0664208	0.0485494	0.0415884	0.0297391	0.0519273	0.0649369	0.0552767	0.0471001	0.0389713	0.0351184	0.0457448	0.0575457	0.0400312	0.0337302	0.021098	0.0214566	0.0156658	0.00876219	0.0108439	0.0192272	0.0067419
il	0.0291264	0.0510125	0.0470859	0.0556382	0.0490589	0.0282119	0.029402	0.0164317	0.0230255	0.0222891	0.0236427	0.042542	0.0426135	0.0238513	0.0211604	0.0601617	0.0710273	0.0631382	0.0277367	0.0491468	0.0491627	0.021026	0.0209851	0.0471725	0.0403418	0.0450088
a	0.0436874	0.0677351	0.105704	0.167095	0.150765	0.0799458	0.0502829	0.0277267	0.0200837	0.014792	0.0162899	0.0096946	0.0295122	0.0271177	0.0129052	0.0120952	0.0125507	0.00982919	0.00804719	0.00947232	0.00924618	0.00997044	0.0120888	0.0233358	0.0172181	0.0528088
épousée	0.0435456	0.0737833	0.0640796	0.0553026	0.0438156	0.0331639	0.0366073	0.0319832	0.0324088	0.0268724	0.021274	0.01481	0.0235199	0.0312971	0.0260777	0.0255611	0.0202205	0.0157036	0.0199927	0.0316659	0.0238636	0.0367881	0.0476387	0.0606384	0.0644811	0.0949053
n'	0.046806	0.105218	0.1142	0.0929942	0.053782	0.0598231	0.0601632	0.0481581	0.034981	0.0235525	0.0310814	0.00981885	0.00806256	0.00986765	0.00633699	0.00768432	0.00909653	0.00615971	0.00962078	0.0132435	0.00794545	0.0175206	0.0191156	0.0438925	0.0423874	0.118488
a	0.126538	0.11092	0.0925464	0.0753859	0.0674854	0.061343	0.0500654	0.0407958	0.0218548	0.017546	0.0242388	0.0101579	0.00659094	0.00384887	0.00312061	0.00433472	0.00556246	0.00424947	0.00713667	0.00947907	0.00802545	0.011815	0.0120838	0.0263119	0.0283367	0.170228
pas	0.110463	0.0676355	0.0424056	0.0562328	0.0491389	0.0382873	0.0468593	0.0391765	0.0340503	0.0280724	0.0359907	0.0222975	0.0282948	0.0246122	0.0115838	0.014093	0.0128112	0.0127916	0.0112472	0.0143496	0.0107675	0.0153148	0.014415	0.0414685	0.0737979	0.143843
encore	0.0931245	0.0574415	0.0445394	0.0330425	0.0254265	0.0208193	0.0222531	0.020089	0.011966	0.00805071	0.00911256	0.0048306	0.00802501	0.0147068	0.0108417	0.0160363	0.0252005	0.0203043	0.0254179	0.0436703	0.025426	0.0430607	0.0286776	0.0746595	0.143723	0.169555
mis	0.0749436	0.0612297	0.0560253	0.0456618	0.02482	0.0175665	0.0118502	0.0117968	0.00608065	0.00360691	0.00363933	0.0023205	0.00752035	0.0157531	0.0194016	0.0262681	0.0492395	0.0521962	0.040485	0.0563174	0.0463203	0.0412723	0.0383857	0.0626908	0.0950354	0.129573
au	0.0815306	0.0551435	0.0444097	0.0230432	0.012122	0.00856442	0.00697101	0.00732642	0.00316613	0.0017761	0.001576	0.00118613	0.00321866	0.00813096	0.0084048	0.0127509	0.0222145	0.0279341	0.0408563	0.0642146	0.0377291	0.0604285	0.0291401	0.0937431	0.164327	0.180092
monde	0.0521397	0.02665	0.0239684	0.0143264	0.0109679	0.00958499	0.00665414	0.00715698	0.00352285	0.00253471	0.00256958	0.00229808	0.0046497	0.00965761	0.0100082	0.025093	0.0342668	0.0419203	0.0365493	0.0631563	0.0326837	0.0601707	0.0326548	0.104836	0.195674	0.186306
</S>	0.0628648	0.0364508	0.0322571	0.0173684	0.0109965	0.00696781	0.00550789	0.00605979	0.00304832	0.00197515	0.00205027	0.00204406	0.00304176	0.00510692	0.0073129	0.0206493	0.0216592	0.0304487	0.0301333	0.0428608	0.0355196	0.053934	0.047378	0.0989296	0.18743	0.228005
