 	n	g	á	i	d	í	o	y	é	b	h	á	t	s	í	n	a	y	é	é	s	i	á	w	a	n	g	á	e	d	i	b	h	i	i	k	a	á	</S>
je	0.169816	0.189616	0.126237	0.0864853	0.029135	0.0279988	0.0143107	0.0139622	0.0102083	0.00831137	0.00775993	0.00815167	0.00932815	0.0117849	0.0138554	0.0149819	0.0161383	0.0160023	0.00965041	0.0139728	0.00926	0.0122001	0.00656643	0.0072522	0.00986154	0.0123359	0.00808967	0.00726385	0.00888269	0.00657293	0.00866742	0.0085012	0.0133974	0.013734	0.0137644	0.0166683	0.0154492	0.0128283	0.0109981
ne	0.0672969	0.0400432	0.0397522	0.0385433	0.0301945	0.0187279	0.0330521	0.0310178	0.0513521	0.0739161	0.0462455	0.029295	0.0349093	0.0303279	0.0234212	0.0288367	0.0279976	0.023479	0.0282321	0.0193361	0.0154928	0.0115006	0.0180885	0.0316351	0.0286064	0.0238272	0.0145501	0.0151246	0.0110047	0.00880121	0.0109341	0.00427213	0.0117575	0.00754526	0.00908413	0.00888846	0.00717626	0.0122627	0.0334719
sais	0.0576793	0.0471135	0.0266167	0.0440871	0.0462651	0.04948	0.0231127	0.022945	0.0325312	0.0302367	0.0269985	0.027158	0.0319217	0.0325969	0.0270864	0.047634	0.0448137	0.0493815	0.0543139	0.0271613	0.0150119	0.0158258	0.0184747	0.0120725	0.0177819	0.0208408	0.0244902	0.0156159	0.0179517	0.0167337	0.0115802	0.011952	0.00956206	0.00551143	0.00711662	0.00785521	0.00586621	0.00588163	0.0107426
pas	0.0141425	0.0131958	0.0137727	0.0151789	0.0180571	0.0176861	0.0382199	0.0347401	0.0344681	0.0622501	0.0453796	0.0305601	0.0465625	0.0460106	0.0294419	0.0253382	0.0356716	0.0186375	0.0211634	0.0299159	0.0202798	0.0240997	0.0552483	0.0518792	0.0251498	0.0354158	0.0293393	0.0139435	0.0145899	0.0299984	0.0145774	0.0179909	0.00893985	0.0129786	0.0134538	0.0044058	0.00983732	0.00969339	0.0177869
pourquoi	0.0139696	0.00826068	0.00518545	0.00736379	0.0157566	0.0253127	0.0688333	0.0570657	0.0424259	0.0600245	0.0417462	0.0397208	0.0512353	0.0608824	0.025631	0.0214542	0.039072	0.0185307	0.0158994	0.0185447	0.011473	0.0129793	0.0144026	0.0107656	0.0111213	0.0132388	0.00932044	0.00520245	0.011153	0.00933498	0.0229649	0.0202847	0.0188601	0.0252623	0.022064	0.0194455	0.0281136	0.0323705	0.0647282
il	0.0141979	0.0075116	0.00755179	0.00904871	0.0182012	0.0285806	0.039424	0.0357897	0.0302916	0.0280419	0.0268828	0.0265978	0.028251	0.0352482	0.0203843	0.0246252	0.031798	0.0298614	0.0272233	0.0356088	0.0174695	0.0200616	0.0227225	0.0149123	0.0145998	0.0212088	0.0179163	0.00848691	0.0155218	0.00626409	0.0347714	0.0215916	0.0359357	0.0275004	0.0194299	0.032654	0.0279917	0.0440331	0.0918088
me	0.0103481	0.00558995	0.00613302	0.0105449	0.0119609	0.0183343	0.0224905	0.0265024	0.027069	0.0335947	0.0337397	0.0320966	0.0387035	0.0422646	0.0329697	0.0337068	0.0346363	0.0379854	0.0350489	0.0407148	0.0298317	0.0311007	0.045597	0.0270967	0.0240813	0.0218967	0.0273829	0.0127308	0.0271387	0.0196116	0.0323143	0.0171171	0.0191615	0.0132671	0.00827115	0.0129524	0.011073	0.0248278	0.0601134
regarde	0.0262264	0.0219448	0.0189399	0.0198902	0.0154957	0.0166432	0.0130386	0.0117597	0.0128062	0.016029	0.0170179	0.0197966	0.0209872	0.0187714	0.0158227	0.0162605	0.0204135	0.0206118	0.0226595	0.0323535	0.0361808	0.0367582	0.0296324	0.0299224	0.0352713	0.0289581	0.0297156	0.0270803	0.0284379	0.0238509	0.0276986	0.0191919	0.0196646	0.0322992	0.0291444	0.025661	0.0486839	0.040933	0.0734475
avec	0.0656358	0.0716683	0.068246	0.0617396	0.0393619	0.0476044	0.0252226	0.0176749	0.0166165	0.0158727	0.0138686	0.0128905	0.012725	0.0142303	0.0114806	0.0149949	0.0186045	0.0177704	0.0177953	0.0218919	0.0173373	0.0174657	0.0150173	0.0188779	0.0207315	0.0188961	0.0153759	0.0118608	0.0166075	0.0125194	0.0186434	0.0142499	0.0139959	0.029054	0.0245782	0.0243332	0.035326	0.0367611	0.0524742
tant	0.0465434	0.0355142	0.0271084	0.0300112	0.0254024	0.0291318	0.0270303	0.0220911	0.0168927	0.0221543	0.0159586	0.0162558	0.0192416	0.0196012	0.0129415	0.0131899	0.0179078	0.0159809	0.0178391	0.0276335	0.02564	0.029826	0.031514	0.0154938	0.0206504	0.0191398	0.0175387	0.0119463	0.0163473	0.0110844	0.0152368	0.017665	0.0192984	0.0360974	0.0317207	0.030544	0.0503758	0.0481115	0.0933402
de	0.0305485	0.0193348	0.015755	0.0236429	0.0362226	0.043139	0.0352947	0.043435	0.0458695	0.0384781	0.0285373	0.0281217	0.0307378	0.0421545	0.0219435	0.0230605	0.0389236	0.0153742	0.0135362	0.0169445	0.00731055	0.0101081	0.0319791	0.0111553	0.0143722	0.0154142	0.0147808	0.0131666	0.0122927	0.00789937	0.0126182	0.0331185	0.0174424	0.0285304	0.0366761	0.0283086	0.0366067	0.0277596	0.0494063
dédain	0.0342477	0.0277089	0.0220282	0.0322549	0.0448308	0.0570415	0.0437548	0.03231	0.0292016	0.0341177	0.0306591	0.0304047	0.034241	0.0419356	0.026898	0.0273616	0.045019	0.0196364	0.0161317	0.0187367	0.00897168	0.0109761	0.0186874	0.0143859	0.0245289	0.0168181	0.0114182	0.00967922	0.00900923	0.00771238	0.0097968	0.0146445	0.0071456	0.0293925	0.0418218	0.0208849	0.0396554	0.025853	0.0300985
</S>	0.0306814	0.0209285	0.015965	0.0199731	0.0222342	0.0256686	0.0482905	0.033102	0.0249134	0.0455082	0.0298426	0.0279221	0.0371382	0.0412299	0.0191426	0.016595	0.0288519	0.0168677	0.0156058	0.0183257	0.0117348	0.0150405	0.0157411	0.0106685	0.0163727	0.0178106	0.0108505	0.00680811	0.00982392	0.00919467	0.0167936	0.0156916	0.0140283	0.0359216	0.0367587	0.0337199	0.0563101	0.0492866	0.078658
