 	n	g	á	í	p	i	i	k	ω	ω	n	y	i	é	w	ú	r	ú	n	g	á	i	l	ώ	b	h	ω	</S>
j'	0.182439	0.238213	0.233564	0.115487	0.0491636	0.00427736	0.00597774	0.0192942	0.0126789	0.00648339	0.00648598	0.00613095	0.00596739	0.00930752	0.00908548	0.00833409	0.00854197	0.00834733	0.0052183	0.00673118	0.00936167	0.00973312	0.00821127	0.00839649	0.00731936	0.00379328	0.00375446	0.00770223
ai	0.142729	0.0964433	0.121122	0.0219139	0.0228043	0.0219711	0.0306693	0.0505228	0.0473779	0.021876	0.0162875	0.0136365	0.0152854	0.00688051	0.0188135	0.0175685	0.0301901	0.04507	0.0207431	0.020716	0.0290705	0.0130266	0.0128039	0.012535	0.0298764	0.0231058	0.0442182	0.0527424
attrapé	0.0377878	0.0263985	0.0296839	0.034408	0.0351427	0.0486172	0.0720005	0.0519643	0.0711478	0.0798091	0.0648266	0.0353778	0.0261193	0.0269547	0.0187573	0.0251144	0.0238396	0.030437	0.0280039	0.0159318	0.0258934	0.0194871	0.016164	0.02432	0.0322419	0.0340197	0.0404139	0.0251378
la	0.0302007	0.0240293	0.0198466	0.0131509	0.010574	0.0119981	0.0157836	0.0182235	0.0270619	0.0453969	0.053253	0.0730932	0.0809805	0.0630795	0.0382245	0.0235526	0.0187879	0.0229761	0.0409699	0.0514707	0.0533943	0.0616113	0.0303648	0.034926	0.0353778	0.0308449	0.0333842	0.0374434
mante	0.0146984	0.0121105	0.0105761	0.018974	0.0470753	0.0632477	0.0526198	0.0454975	0.0374256	0.0345473	0.0348847	0.0290954	0.0297017	0.0231568	0.0182744	0.0404634	0.0318522	0.030453	0.0473466	0.0551602	0.0376916	0.0302545	0.0292262	0.0288639	0.0313253	0.0265229	0.0443569	0.0945982
religieuse	0.00850214	0.00740632	0.00948045	0.012686	0.020796	0.0282322	0.0359787	0.029104	0.0199407	0.0264878	0.0351601	0.0252823	0.0261144	0.0288424	0.0384986	0.0656402	0.0584664	0.0277326	0.0223184	0.0412105	0.0234315	0.0271697	0.0421798	0.0343202	0.0402295	0.0508364	0.0880879	0.125865
lorsque	0.00463926	0.00601504	0.00520631	0.0132796	0.0142153	0.0152915	0.0165358	0.0172444	0.0200805	0.0317383	0.0446671	0.0458142	0.0385994	0.05113	0.055864	0.0475952	0.0493775	0.0454833	0.0393068	0.046059	0.0494973	0.046556	0.0482288	0.0456657	0.0400913	0.0418704	0.0548912	0.0650568
je	0.0392163	0.0304788	0.0237066	0.0203964	0.0165316	0.0192222	0.0220164	0.0184246	0.0156271	0.0155795	0.0211135	0.0219204	0.01526	0.0265095	0.0338648	0.0204133	0.0272387	0.0312671	0.035469	0.0361344	0.0443047	0.0469628	0.0594778	0.0567871	0.0663216	0.0729673	0.0780724	0.0847161
revenais	0.0582003	0.0376699	0.0363278	0.0241592	0.0185722	0.0142409	0.0104549	0.00992959	0.0113695	0.01279	0.022125	0.0231899	0.0182515	0.0221897	0.0278154	0.0242274	0.0239164	0.031857	0.033468	0.0296558	0.0533134	0.0520444	0.0500468	0.057936	0.0718827	0.075816	0.0723488	0.0762016
de	0.0453853	0.0393426	0.0388469	0.0380866	0.028196	0.0290107	0.016931	0.0205381	0.0182018	0.0195823	0.0260032	0.0203501	0.0145065	0.0213501	0.0285325	0.0142417	0.0199755	0.027762	0.0266381	0.0307741	0.0502308	0.0316849	0.0403075	0.0401451	0.054623	0.0663546	0.066325	0.126074
la	0.0402323	0.0310368	0.0298062	0.0116069	0.0103171	0.010544	0.0106788	0.0102993	0.0131045	0.0128529	0.0256447	0.0220121	0.0186405	0.031224	0.0377296	0.0298138	0.0306502	0.0434796	0.0340276	0.0399774	0.0648462	0.0468931	0.0483238	0.0509333	0.059836	0.0641141	0.0653293	0.106046
pêche	0.0183068	0.0167809	0.0155838	0.00610433	0.00830521	0.00619322	0.00726696	0.00854466	0.0172432	0.0158762	0.0225712	0.0211033	0.020247	0.0272312	0.047526	0.0461761	0.0451101	0.0423777	0.0272727	0.0528602	0.0457023	0.0395207	0.0499465	0.0474408	0.0595533	0.0760563	0.101802	0.107297
</S>	0.0513271	0.0430985	0.0371638	0.0307012	0.0289004	0.0179824	0.0169233	0.0137187	0.0119476	0.0141128	0.0187104	0.0205138	0.0159501	0.024814	0.0273384	0.0212105	0.0322656	0.031143	0.0454226	0.0472657	0.055449	0.0531001	0.0511744	0.0466835	0.05591	0.0559355	0.0598231	0.0714147
