 	w	a	l	ó	w	ú	r	a	d	z	á	n	d	e	a	t	ú	b	h	ú	n	d	é	e	y	á	n	z	a	m	b	é	</S>
du	0.112023	0.132349	0.110594	0.0468964	0.0436385	0.0232884	0.0295412	0.0395999	0.0176757	0.0244299	0.0292737	0.0259958	0.0247724	0.0158257	0.0141356	0.0131197	0.0166845	0.0214448	0.0213479	0.0224063	0.0240923	0.0201922	0.0184419	0.0183314	0.0147243	0.0207418	0.0210717	0.0141439	0.0110771	0.0116078	0.0146786	0.0147279	0.0111277
marché	0.0189947	0.0210791	0.0188733	0.0313988	0.0164579	0.0504948	0.0463267	0.038525	0.0645493	0.0980818	0.0363065	0.0108802	0.00569545	0.00657778	0.00733314	0.00673686	0.00579923	0.0142602	0.0122886	0.014616	0.0513779	0.0606903	0.088133	0.066942	0.0556783	0.0281417	0.0198095	0.0467727	0.0252209	0.0127353	0.0127528	0.00310682	0.00336325
il	0.0375575	0.0170192	0.0190365	0.0249361	0.0249743	0.0376471	0.0432395	0.0470427	0.0607886	0.0867702	0.105305	0.0500414	0.0586281	0.0416004	0.0487684	0.0374992	0.0359077	0.0301288	0.0180901	0.010684	0.00906489	0.0115799	0.012627	0.0123346	0.0109127	0.011904	0.0160115	0.0126074	0.0107351	0.0117137	0.0121474	0.0122059	0.0204911
est	0.0217691	0.0465078	0.0481051	0.0629259	0.0665433	0.0691677	0.0746257	0.0577649	0.0561884	0.0355448	0.0362577	0.0419601	0.0355805	0.0260404	0.019658	0.0145074	0.0190228	0.0131413	0.0223805	0.0240485	0.0175156	0.0175168	0.00995394	0.0120427	0.0135339	0.0154997	0.00942491	0.014641	0.0143752	0.0113719	0.00985211	0.0161335	0.0463987
passé	0.0137668	0.0160363	0.0184931	0.018606	0.020867	0.0240639	0.0304506	0.0433007	0.0582186	0.0583014	0.0285022	0.0286697	0.0233654	0.0117266	0.0126695	0.0200603	0.0221173	0.0173591	0.0243645	0.017267	0.0333246	0.0249249	0.0484795	0.0477736	0.0403445	0.0411346	0.032429	0.0481974	0.0438597	0.0408752	0.0376093	0.0216046	0.0312373
droit	0.0118703	0.00943769	0.0111972	0.00960546	0.0112981	0.0127494	0.0169072	0.0216432	0.0286758	0.0278919	0.0196312	0.021174	0.0292731	0.038226	0.0384104	0.0482088	0.0496945	0.0337829	0.0410124	0.0320086	0.0300328	0.0347186	0.0376793	0.0423551	0.0337848	0.0256077	0.0261605	0.0570636	0.0462334	0.0456218	0.0364434	0.0344181	0.037183
à	0.0139195	0.0135434	0.0150563	0.0127287	0.0134721	0.0129549	0.0133982	0.0145495	0.0168034	0.0189079	0.0172971	0.0198117	0.022964	0.0382028	0.0391751	0.0408818	0.0374062	0.0346394	0.0281816	0.0306502	0.0223934	0.0306635	0.0285161	0.0327593	0.0289226	0.0218137	0.0259593	0.0528356	0.05347	0.0651354	0.054184	0.0688468	0.0599564
l'	0.0200071	0.0208219	0.0170024	0.0212428	0.0200322	0.0211059	0.0244559	0.0242492	0.0337647	0.0369247	0.0316189	0.0309636	0.0280538	0.0230652	0.0213459	0.0177172	0.0189406	0.0195259	0.0176096	0.0216107	0.0192879	0.0258258	0.0238395	0.031176	0.0259752	0.0302128	0.0267499	0.0333605	0.0406828	0.0482899	0.0566201	0.0650884	0.102833
église	0.0139442	0.0123052	0.0126572	0.0123747	0.0113708	0.0150968	0.0197229	0.0194577	0.0200063	0.0130336	0.00911115	0.00737434	0.00875873	0.0114987	0.0137963	0.0153066	0.0281468	0.0290543	0.0289827	0.0385044	0.0398365	0.0465849	0.0250183	0.0360299	0.0397104	0.0377438	0.0461505	0.0563453	0.055793	0.0592068	0.0598302	0.0748841	0.0823628
</S>	0.0302672	0.0204872	0.0165894	0.0192608	0.0163015	0.0152472	0.0179988	0.0150983	0.0152134	0.0141982	0.0150376	0.0267278	0.0247538	0.0501855	0.0574806	0.0557619	0.0384304	0.021817	0.0196006	0.0251491	0.026193	0.0265668	0.0229493	0.0198089	0.0202882	0.0181543	0.0131304	0.0121842	0.0131955	0.0217232	0.0294858	0.0686938	0.192021
