 	a	p	f	é	é	á	p	i	n	y	i	a	y	ú	r	u	b	á	m	b	ó	n	g	ω	e	k	ω	k	ω	ω	y	a	p	ó	a	</S>
hier	0.120125	0.152306	0.12945	0.0448833	0.0283758	0.0280424	0.0120627	0.0122832	0.0209507	0.017499	0.0119795	0.00944307	0.011615	0.0119728	0.0176026	0.0125146	0.0261869	0.0347465	0.031971	0.0292023	0.0220885	0.0189109	0.0214137	0.0120006	0.0106828	0.00971893	0.0105703	0.0124795	0.0119895	0.0118832	0.0153219	0.0147049	0.0140777	0.0194117	0.0148514	0.0166824
soir	0.0266747	0.0318208	0.0414751	0.0198376	0.0412642	0.0396261	0.0485584	0.0517867	0.0365051	0.0403084	0.0498106	0.0535575	0.0644397	0.0917495	0.0618921	0.0352423	0.0322323	0.0285075	0.0204808	0.0177274	0.016285	0.0103959	0.0109428	0.0179286	0.0106003	0.00899779	0.00947524	0.00486296	0.00483192	0.00759276	0.00490734	0.00775143	0.00914667	0.00986328	0.0117216	0.0211996
les	0.0167333	0.0232654	0.0170051	0.0100886	0.0256518	0.0149481	0.0264668	0.0450439	0.0278217	0.0503956	0.0325313	0.0121843	0.0229955	0.0178786	0.0279174	0.0425371	0.0324056	0.0400744	0.033793	0.0323228	0.0372238	0.025462	0.0329182	0.031484	0.0300403	0.0315738	0.0329237	0.027127	0.0341997	0.0292717	0.0320272	0.0245961	0.0254157	0.0267193	0.0191671	0.00779023
bandits	0.0132376	0.0152109	0.0348291	0.0440342	0.0422013	0.0461271	0.077976	0.0797904	0.0360014	0.0186198	0.0197155	0.018753	0.0244607	0.0325023	0.0299942	0.0362852	0.0382217	0.0340087	0.0282494	0.0290695	0.0145043	0.0162304	0.0117097	0.0122856	0.0158581	0.0201287	0.0205291	0.0144722	0.0225361	0.01957	0.017247	0.0155535	0.0163712	0.0205235	0.0274446	0.035748
ont	0.0135885	0.0142435	0.0203856	0.0207767	0.0222911	0.0208093	0.021877	0.0225557	0.0228162	0.0291583	0.0374636	0.0575883	0.04274	0.0565602	0.0424358	0.0495174	0.0414084	0.0231988	0.0211702	0.0264072	0.0185039	0.027372	0.0159774	0.0194227	0.01543	0.0149767	0.00970735	0.0105532	0.0136319	0.0110226	0.0116359	0.0163735	0.0208561	0.0311772	0.0548283	0.101539
ravi	0.0288463	0.0188605	0.0195719	0.0268269	0.0292781	0.0410607	0.0488268	0.0264052	0.0173846	0.0163741	0.0218179	0.0267572	0.0305541	0.0387052	0.0389071	0.0427443	0.068501	0.0479668	0.0426131	0.0402798	0.0305452	0.0404116	0.0316062	0.0300331	0.0285768	0.021213	0.0164128	0.0167338	0.0125704	0.0119141	0.0121514	0.0123072	0.0112795	0.0150022	0.0157116	0.0212495
de	0.0122577	0.0131093	0.0149652	0.0180121	0.020102	0.0212833	0.0240202	0.0223806	0.0185528	0.0168587	0.0180091	0.0267327	0.0198025	0.0434522	0.0388475	0.0477123	0.0555189	0.0508551	0.0592484	0.0425858	0.0481561	0.0492012	0.0388957	0.0290534	0.0208141	0.0243491	0.0171521	0.0161295	0.0154632	0.0120631	0.00839909	0.0102413	0.013027	0.0208914	0.0331858	0.0586712
l'	0.035253	0.0187467	0.0183868	0.031479	0.0428308	0.0479722	0.0367968	0.0346495	0.0257692	0.0220271	0.0290906	0.025756	0.0387284	0.0472378	0.0363006	0.0214626	0.0290482	0.0202556	0.0189932	0.0148448	0.0233019	0.0179463	0.0299041	0.0269279	0.0201105	0.029085	0.0231957	0.0179785	0.0178469	0.0173109	0.0145028	0.0155841	0.0203165	0.0211951	0.039941	0.0692239
argent	0.0155107	0.0146339	0.0130213	0.0153241	0.0113155	0.00782078	0.00867906	0.0083823	0.00630151	0.00846649	0.00892691	0.00940822	0.00988618	0.0146277	0.0154487	0.0151862	0.0239253	0.0211672	0.0299745	0.0256549	0.0482118	0.0424958	0.0592075	0.0516669	0.0390594	0.0471004	0.032999	0.0295231	0.0359941	0.0343123	0.0275363	0.0368783	0.0473915	0.0478795	0.0613928	0.0746899
à	0.0151307	0.0190308	0.0182851	0.0211437	0.02099	0.0208846	0.0150745	0.00762765	0.00668844	0.00751699	0.00701898	0.00828888	0.00884701	0.0128963	0.013446	0.0157939	0.0274599	0.0258828	0.0311842	0.0275683	0.0432126	0.0426364	0.0375645	0.0401333	0.024143	0.0347964	0.0255447	0.0278846	0.0295952	0.0321942	0.0247741	0.0387914	0.0476965	0.0580478	0.0710831	0.0911435
ces	0.0256413	0.0251468	0.0249722	0.0254999	0.0248891	0.0231811	0.0138695	0.00945415	0.00844918	0.00862892	0.00916524	0.0101234	0.0110976	0.0155774	0.013411	0.0149932	0.0232287	0.0202536	0.0258288	0.0217669	0.0381971	0.0280895	0.0336883	0.0405195	0.022504	0.034815	0.0276909	0.0238096	0.024183	0.0307136	0.0249234	0.034209	0.0502369	0.0527323	0.0751264	0.103384
femmes-ci	0.0139679	0.0108732	0.010671	0.012905	0.0107889	0.00937371	0.00696191	0.00645958	0.00469744	0.0047242	0.00759189	0.00840646	0.0113302	0.0179664	0.013167	0.0195881	0.0189744	0.0257282	0.0276572	0.0252026	0.0314394	0.0239114	0.0390339	0.0324303	0.0251297	0.0432872	0.0353229	0.0333667	0.0425908	0.0481813	0.0431709	0.0534766	0.0644211	0.0661477	0.0718934	0.0791613
</S>	0.0379584	0.0370875	0.0343851	0.0336258	0.0232877	0.0213769	0.0204212	0.0178607	0.0160897	0.0146103	0.0144572	0.0180289	0.0140573	0.0223789	0.0253797	0.0300532	0.0276306	0.0175984	0.0206978	0.018354	0.0305726	0.0247726	0.0249517	0.0347607	0.0221597	0.0262595	0.0189273	0.0169084	0.0184883	0.0208497	0.0217023	0.0292679	0.037509	0.0431175	0.0496627	0.114751
