 	e	w	á	l	á	é	t	s	ε	s	í	í	</S>
le	0.0305455	0.0396609	0.0357359	0.0668696	0.033958	0.0209581	0.0246841	0.0384335	0.0424203	0.0917889	0.141723	0.205506	0.227716
verre	0.0522235	0.0766139	0.0458375	0.0715058	0.29872	0.170013	0.173508	0.0796106	0.0190782	0.00905988	0.00167754	0.000856675	0.00129448
s'	0.127076	0.0365278	0.0270844	0.0376896	0.12664	0.10931	0.0518705	0.072118	0.0791503	0.0703848	0.124413	0.102957	0.0347788
est	0.113756	0.0238205	0.0475587	0.0502342	0.0385033	0.0410395	0.0268998	0.0330738	0.056329	0.0832031	0.11523	0.172044	0.198308
brisé	0.107657	0.0907864	0.14427	0.0743697	0.0632778	0.0293074	0.0186647	0.0249895	0.067678	0.0932763	0.0704008	0.0974175	0.117906
en	0.130772	0.0562786	0.0877796	0.0766314	0.104973	0.0764083	0.0347592	0.0457744	0.0387198	0.0669978	0.0598495	0.0842664	0.13679
menus	0.10101	0.0750995	0.0751008	0.0451518	0.0576067	0.0521115	0.0297163	0.0340019	0.0432635	0.0796121	0.0673031	0.102505	0.237517
morceaux	0.0381128	0.0303463	0.0341101	0.0318493	0.0257287	0.023577	0.0373313	0.0571583	0.110163	0.121839	0.0599963	0.178592	0.251195
</S>	0.0772652	0.0309711	0.0238828	0.0350982	0.0367769	0.0341925	0.0384942	0.0485236	0.0977514	0.104979	0.0810953	0.140491	0.250478
