 	w	a	b	ó	l	á	a	k	a	n	g	á	á	i	k	ώ	ώ	m	ó	t	s	έ	r	έ	</S>
elle	0.163029	0.133515	0.16361	0.243661	0.0896294	0.0442058	0.0120524	0.00830171	0.00301802	0.00651815	0.016134	0.0142299	0.0128279	0.00945936	0.00942451	0.00898874	0.00996067	0.00917405	0.0095705	0.00974807	0.00704117	0.00538805	0.00340615	0.0040661	0.00304034
est	0.0434131	0.0139221	0.0176966	0.0178432	0.0192059	0.0301319	0.0598535	0.0712035	0.0959421	0.0910788	0.104385	0.0750438	0.0629057	0.0445316	0.0400369	0.0211692	0.0277443	0.0388267	0.0291309	0.0314581	0.0141177	0.0124323	0.00856775	0.011202	0.0181568
en	0.0337879	0.0306976	0.0315287	0.032547	0.0323133	0.0308694	0.0295801	0.0428213	0.0457954	0.0624427	0.043092	0.0602307	0.0473759	0.0560428	0.0380948	0.0395666	0.0609295	0.0506803	0.0459316	0.0377942	0.0288529	0.0344522	0.0287312	0.0267313	0.0291107
train	0.0184953	0.0269035	0.0308147	0.0226844	0.0183615	0.0166673	0.0125053	0.0153992	0.0216368	0.030196	0.0378597	0.0587516	0.0735055	0.0720886	0.0828323	0.0774783	0.050277	0.0444889	0.0409946	0.0323717	0.0431005	0.0512716	0.0346874	0.0443628	0.0422655
d'	0.0250789	0.025984	0.0222565	0.0237611	0.0156439	0.0161446	0.0164327	0.0158957	0.0305722	0.0356091	0.0456456	0.0270368	0.0314825	0.0233184	0.0322942	0.0257028	0.0220901	0.0257304	0.0206061	0.0312304	0.0198952	0.0496614	0.0640476	0.111355	0.242525
emballer	0.00961246	0.00928827	0.0114474	0.0130274	0.0103118	0.0126091	0.0159472	0.0173851	0.0248215	0.0433628	0.0500979	0.0772217	0.0365163	0.0485793	0.0458995	0.0495304	0.067213	0.0702174	0.0718051	0.0650302	0.0460184	0.0657411	0.0340405	0.0437169	0.0605593
du	0.037098	0.0391241	0.0363042	0.037623	0.0358435	0.0379399	0.0392991	0.0402311	0.0363991	0.0265968	0.0157303	0.0138969	0.016808	0.0154955	0.0238239	0.040515	0.0471472	0.0265751	0.0469893	0.047725	0.0488567	0.0445215	0.0562425	0.0536405	0.135574
manioc	0.0179373	0.0171341	0.016943	0.0172978	0.0172281	0.017518	0.0174017	0.0223327	0.0202508	0.0272233	0.0171386	0.0109077	0.0251911	0.0143869	0.0333709	0.0542845	0.0685359	0.0519554	0.0838729	0.0710887	0.0510714	0.0576678	0.0773881	0.0758631	0.11601
avec	0.0242645	0.0319259	0.0363255	0.0386239	0.0399212	0.0393379	0.0338604	0.0362514	0.0335686	0.030026	0.0197026	0.0204492	0.0138795	0.0101402	0.0138901	0.0211795	0.023728	0.0119673	0.0217514	0.0322772	0.0372162	0.0473081	0.0726632	0.0838338	0.225908
les	0.0132218	0.0191668	0.0215509	0.0213647	0.0232574	0.0224974	0.0161768	0.0195273	0.0247357	0.0391638	0.0398831	0.0413131	0.0240533	0.0197052	0.0256291	0.0219489	0.0209069	0.0243364	0.0313272	0.0585123	0.0510308	0.0818021	0.1001	0.108472	0.130317
feuilles	0.0189358	0.0234546	0.0236135	0.0234419	0.0243179	0.0240576	0.0195481	0.0225046	0.020775	0.0215654	0.0214541	0.0189869	0.025759	0.0166566	0.0344631	0.0396198	0.0253906	0.0249838	0.0363389	0.0604978	0.0677766	0.0905418	0.0959735	0.102166	0.117177
sauvages	0.0134836	0.0145924	0.0161634	0.0159889	0.0174216	0.021669	0.0165402	0.0235445	0.0255932	0.038935	0.041039	0.0326091	0.0216865	0.0202387	0.0379868	0.048154	0.0447862	0.0470887	0.073952	0.0794768	0.0586057	0.0599684	0.0591851	0.0636996	0.107592
tsere	0.00965258	0.00963393	0.0083696	0.00795281	0.0143093	0.0126165	0.00928844	0.00883476	0.00717141	0.00809593	0.0136335	0.0120318	0.0272462	0.0173356	0.0513108	0.0524516	0.0360156	0.0397192	0.0443244	0.0743908	0.0822878	0.110741	0.112596	0.111531	0.118459
</S>	0.0145055	0.0156323	0.0192548	0.0207595	0.0225614	0.0287099	0.0304336	0.0318032	0.034225	0.0305754	0.0304881	0.0293375	0.0214541	0.017955	0.0256253	0.0326563	0.0286037	0.0226138	0.035887	0.0469793	0.0635807	0.0520544	0.0734391	0.0739959	0.196869
