 	n	g	á	í	t	ώ	ώ	n	g	i	m	y	ω	r	ω	r	ω	m	á	t	s	ó	s	ó	ó	d	z	a	n	g	é	</S>
j'	0.148726	0.359701	0.184868	0.102217	0.0111425	0.00223804	0.00321403	0.00611535	0.0100199	0.00804061	0.00694818	0.00755471	0.0106719	0.0100238	0.013607	0.0109185	0.00833559	0.00655232	0.00389096	0.00640097	0.00708748	0.00510283	0.00731754	0.00615448	0.006528	0.00613422	0.00602787	0.00544642	0.00569733	0.00726359	0.00754055	0.00851369
ai	0.0599442	0.0285638	0.0274956	0.0458009	0.0522871	0.0503713	0.0474258	0.0578968	0.139315	0.119182	0.0686338	0.0720433	0.029721	0.0208906	0.0126887	0.00909096	0.00761496	0.00703768	0.00928919	0.017893	0.0112277	0.0184591	0.0114781	0.0049351	0.00752484	0.00671785	0.00477136	0.00481766	0.00833665	0.00533442	0.00690934	0.0263025
ramassé	0.0184815	0.0200729	0.0159954	0.0244861	0.0395471	0.0509016	0.0317919	0.0245825	0.0302696	0.0375419	0.0443641	0.0469054	0.0467327	0.0482792	0.0338427	0.0316479	0.0272036	0.0282727	0.0414092	0.0360621	0.0536699	0.0400676	0.0382335	0.0177862	0.0183279	0.0185527	0.0188104	0.0185846	0.0244786	0.0321779	0.0249132	0.0160071
des	0.0535097	0.0494607	0.0345057	0.0549488	0.0492333	0.0577848	0.0830856	0.0560232	0.0434002	0.0229214	0.0193135	0.0198097	0.0182388	0.0147832	0.0198139	0.0244447	0.0212859	0.0319634	0.0280782	0.0204249	0.0239134	0.016154	0.0188437	0.027696	0.0264791	0.0280976	0.0391089	0.0193693	0.0198028	0.016008	0.0148193	0.0266785
longues	0.00895313	0.0108228	0.0106008	0.0251908	0.0585736	0.0888329	0.0943137	0.0412705	0.0324688	0.0234154	0.0218409	0.0171839	0.0199678	0.0122742	0.0120637	0.0131836	0.0143115	0.016233	0.0192784	0.0140413	0.0225811	0.0409892	0.0378651	0.0402746	0.0492389	0.0491201	0.0438198	0.0324767	0.0353884	0.0307276	0.0314562	0.0312415
plumes	0.00663194	0.00641334	0.00723771	0.00757936	0.00639546	0.00756097	0.00930008	0.00932969	0.0136333	0.0128343	0.0148055	0.01324	0.0204638	0.0176446	0.0179008	0.0188056	0.0220033	0.0228905	0.0263923	0.0251299	0.0364255	0.0573617	0.0608115	0.0583247	0.0571294	0.0632429	0.0634578	0.058314	0.0649205	0.0636928	0.065161	0.0649659
de	0.0440831	0.0309497	0.0177485	0.0206602	0.0177724	0.0209942	0.022365	0.0188561	0.0183704	0.0157227	0.0162338	0.0127195	0.0152893	0.00964106	0.0107895	0.0123094	0.0123421	0.0120409	0.0169223	0.019884	0.0322234	0.0383291	0.0483979	0.0368012	0.0319343	0.0412544	0.0519963	0.0625009	0.0660465	0.0598897	0.0674623	0.0974698
coq	0.0168716	0.016787	0.0136218	0.0145192	0.0147561	0.0151244	0.0114997	0.0100597	0.00921708	0.00782172	0.00843092	0.0082008	0.0128143	0.0132882	0.0162087	0.017502	0.0172671	0.018476	0.0239747	0.0232663	0.0285764	0.0641185	0.0641549	0.0608577	0.0666279	0.0868229	0.0788483	0.063468	0.0536734	0.0474694	0.0449895	0.0506856
dans	0.0346329	0.0175606	0.0133504	0.015701	0.0153991	0.0147926	0.0174517	0.0213663	0.0163861	0.0184847	0.0195637	0.0205982	0.0278714	0.0240377	0.0320392	0.0394889	0.0335096	0.037262	0.0353317	0.0461641	0.0477923	0.0361454	0.0360113	0.0259839	0.0282696	0.0345396	0.0363664	0.0454585	0.0473031	0.0513882	0.0511927	0.0585571
la	0.0357074	0.0323404	0.0317749	0.0318109	0.0341661	0.0374839	0.0172934	0.017789	0.0169077	0.0139283	0.0123119	0.0120287	0.0152197	0.0143281	0.0194868	0.0246998	0.0210684	0.0131083	0.0119825	0.0158548	0.0162894	0.0150239	0.0213319	0.0168573	0.0178288	0.0259291	0.0472521	0.0435968	0.0743896	0.0869322	0.0888615	0.116416
cour	0.0127765	0.0133361	0.0134686	0.0201576	0.0435817	0.041448	0.0128455	0.0139929	0.00999013	0.0089046	0.0103991	0.0112181	0.0160024	0.0235433	0.0285818	0.0316158	0.0228139	0.018989	0.0198582	0.024489	0.018978	0.0183489	0.0341722	0.0227867	0.0324145	0.0410225	0.0562473	0.0530276	0.0668441	0.0690662	0.0886821	0.100398
</S>	0.0430058	0.0246588	0.0172756	0.0617204	0.0708952	0.0671984	0.0732823	0.0495717	0.0235262	0.0172485	0.0171327	0.0147916	0.0234095	0.0226907	0.0314883	0.0323431	0.0256386	0.0311786	0.0147616	0.0126288	0.016137	0.0226318	0.0192002	0.0103143	0.010324	0.0140656	0.0194954	0.0216121	0.0269929	0.0327687	0.0412708	0.0907408
