 	m	b	í	a	y	é	e	b	v	a	m	i	n	a	</S>
les	0.0182974	0.0177357	0.0194434	0.0252442	0.025972	0.0270743	0.0328384	0.0404457	0.0382629	0.0823513	0.187891	0.174566	0.104679	0.122021	0.0831771
noix	0.0231872	0.0381164	0.0623313	0.105022	0.135581	0.12465	0.165106	0.146088	0.051697	0.0579784	0.0259011	0.025748	0.0223278	0.0132225	0.00304376
de	0.145525	0.104889	0.112955	0.078973	0.0601145	0.0338748	0.0226105	0.0180024	0.0172476	0.0255858	0.0230389	0.0449524	0.135237	0.119044	0.0579511
palme	0.110828	0.148021	0.199367	0.0856289	0.0536169	0.0227468	0.0191781	0.0152377	0.015139	0.020906	0.0475855	0.088931	0.0679016	0.033768	0.0711452
tombent	0.108653	0.0948249	0.174103	0.107732	0.0622972	0.0356957	0.0349217	0.0232546	0.0155875	0.0165036	0.0255731	0.0457215	0.058716	0.043906	0.15251
les	0.059628	0.0586536	0.0612555	0.0370001	0.0286311	0.021598	0.0217209	0.012916	0.00708641	0.0109797	0.023017	0.047358	0.0867331	0.105211	0.418212
unes	0.10293	0.0845392	0.0627109	0.0878003	0.0928635	0.0479601	0.0301346	0.0115791	0.011409	0.0128464	0.0199475	0.0320093	0.0954817	0.0900909	0.217698
après	0.355693	0.142012	0.114546	0.0342095	0.015786	0.0076167	0.00642564	0.00505062	0.00425569	0.00521031	0.00607038	0.00888292	0.0251869	0.0547255	0.214328
les	0.217821	0.226227	0.159928	0.0688637	0.0297996	0.0133196	0.0095919	0.00708042	0.00470863	0.00480055	0.00603732	0.00699342	0.00845548	0.0216518	0.214722
autres	0.236984	0.220289	0.190944	0.0647957	0.0282134	0.00831675	0.00487129	0.00252232	0.00319439	0.00392195	0.00376056	0.00420615	0.0099681	0.0322424	0.185771
</S>	0.269333	0.179643	0.0928932	0.0444415	0.021741	0.00966719	0.00685798	0.00522372	0.00439935	0.00480373	0.00510805	0.00733018	0.0106582	0.0355735	0.302327
