 	o	k	u	b	h	a	l	á	a	b	έ	r	έ	έ	e	d	u	n	g	a	m	ó	n	d	z	o	n	d	o	</S>
le	0.0103353	0.0106316	0.0291036	0.0158359	0.0116178	0.0109658	0.00778124	0.011382	0.0221956	0.0392121	0.0646866	0.0618828	0.0706399	0.0833844	0.0959026	0.0670784	0.0518257	0.0530634	0.0453352	0.0361625	0.0219054	0.0170907	0.01777	0.0175445	0.0152379	0.0152782	0.011634	0.0154987	0.0234523	0.0455659
forgeron	0.00788894	0.00877482	0.0198968	0.0144354	0.0157581	0.0135448	0.0184409	0.0192324	0.0246186	0.0427498	0.140446	0.218699	0.153127	0.171435	0.0344564	0.0323053	0.0200818	0.0184425	0.00513596	0.00385284	0.00155157	0.00127164	0.00136076	0.00205766	0.00236421	0.00260725	0.002166	0.00173176	0.00075525	0.000812446
bat	0.0337933	0.0413234	0.0236189	0.0312638	0.0723695	0.118102	0.143035	0.134812	0.120001	0.0609319	0.0260087	0.0197535	0.0174332	0.0125293	0.0179102	0.0157287	0.0076799	0.0140062	0.00671665	0.00394732	0.00594239	0.00263831	0.0147261	0.00973198	0.0111415	0.0126618	0.00456597	0.00571375	0.00406876	0.00784477
le	0.0419833	0.0328137	0.0327809	0.0338602	0.0456184	0.0475761	0.0489819	0.0467232	0.0307492	0.0395678	0.0173045	0.0270229	0.016389	0.0208074	0.0295116	0.0212019	0.01577	0.0179884	0.0243008	0.0237398	0.0233457	0.0402159	0.0283916	0.0143446	0.0167648	0.0195939	0.0365315	0.0403814	0.0722918	0.0934479
fer	0.0420753	0.040002	0.0530647	0.0422884	0.0586319	0.0773099	0.0745988	0.0784637	0.0757096	0.0529161	0.0537808	0.037966	0.0325201	0.0130511	0.00751126	0.0155297	0.0118578	0.0191168	0.0185512	0.0145872	0.0125992	0.0251845	0.0190522	0.01251	0.0124269	0.0152435	0.0145682	0.0171489	0.0200227	0.0317117
sur	0.0851112	0.0808453	0.0259002	0.0168631	0.0191529	0.029698	0.0336213	0.0508641	0.0394458	0.0323891	0.0256204	0.0181956	0.0154737	0.0097128	0.00427946	0.012863	0.00966621	0.0174184	0.0280442	0.0452984	0.0373322	0.064292	0.0286757	0.0296405	0.0273786	0.0320614	0.0458172	0.0352603	0.0286824	0.0703963
l'	0.0448013	0.037256	0.0289536	0.0259178	0.0274844	0.027863	0.0201677	0.014671	0.0150946	0.0100224	0.0114728	0.0116912	0.00815452	0.0122336	0.00803174	0.0170578	0.0162464	0.0244901	0.0352099	0.0485166	0.0381782	0.0548232	0.0517373	0.0483092	0.0397041	0.0418779	0.0525027	0.0501666	0.0761002	0.101264
enclume	0.0643193	0.0461571	0.0199177	0.0156789	0.0101647	0.0103845	0.0134663	0.0219035	0.0174627	0.0126501	0.0120143	0.0118296	0.00775074	0.00708973	0.00661605	0.00567335	0.0079522	0.0125924	0.01556	0.0262356	0.0525248	0.0495157	0.0918264	0.0495221	0.0630623	0.0620116	0.0444536	0.0758716	0.0721461	0.0936471
</S>	0.0589792	0.0393184	0.0193801	0.0140966	0.0138219	0.0196301	0.0211953	0.0216526	0.0139866	0.00864557	0.00407945	0.00455143	0.00324013	0.0054988	0.00490977	0.0054308	0.0089324	0.00830827	0.0133982	0.0373245	0.0530846	0.064344	0.0721233	0.03903	0.0424826	0.0505864	0.0570205	0.0761271	0.0909056	0.127916
