 	m	w	á	n	a	w	ó	a	d	í	l	o	r	ó	o	t	s	í	n	a	w	a	a	d	í	m	o	r	o	o	b	ó	n	d	a	k	a	á	</S>
cet	0.00347992	0.00184831	0.00241675	0.00253408	0.00478143	0.00354961	0.00145433	0.00184317	0.00185142	0.00304471	0.00528089	0.00938934	0.0231386	0.0200621	0.0433374	0.0576908	0.0537417	0.0916292	0.0557054	0.0563899	0.0546761	0.0547986	0.0771602	0.0340084	0.0566197	0.0386323	0.0186121	0.0291839	0.0219602	0.00750008	0.0137249	0.0149928	0.014111	0.016406	0.0156772	0.0235007	0.0252346	0.0203319	0.0197
enfant	0.0581812	0.0908786	0.0814151	0.14426	0.133551	0.0345787	0.15505	0.122407	0.0341203	0.0494571	0.0128508	0.0166767	0.00685699	0.00630018	0.00135047	0.000753037	0.000804217	0.00149435	0.00204221	0.00188126	0.000957861	0.000675566	0.000529528	0.00115246	0.00084252	0.00217749	0.00227147	0.00293851	0.00161855	0.000308519	0.00272692	0.0086811	0.00941998	0.00550479	0.00147592	0.00169477	0.000858532	0.000831172	0.000425048
est	0.0434283	0.0519448	0.0429981	0.066574	0.0547742	0.0816244	0.0583861	0.0597689	0.042059	0.0497177	0.0306941	0.0488212	0.0181015	0.0246818	0.0135085	0.0142828	0.0124281	0.00926528	0.014384	0.00829696	0.00699625	0.0125612	0.0110064	0.0204606	0.0139819	0.0131124	0.015603	0.00963417	0.0153621	0.00867654	0.0118086	0.0166295	0.0212172	0.0212574	0.01713	0.0127231	0.00869909	0.00939537	0.00800542
têtu	0.0169351	0.0151719	0.00983262	0.0134232	0.0107811	0.0171008	0.0125206	0.0201816	0.0341322	0.0425961	0.052373	0.0879103	0.0453968	0.0493644	0.0327769	0.0151149	0.0182817	0.0186329	0.0234013	0.030862	0.0174584	0.0214333	0.0147958	0.0563269	0.0245607	0.0192194	0.025017	0.02105	0.0111152	0.0125176	0.0280326	0.0380492	0.022744	0.0225624	0.019799	0.0164007	0.0157498	0.0212187	0.02516
car	0.0556995	0.0384245	0.0326054	0.0153998	0.0172027	0.0151532	0.00835205	0.0109063	0.010349	0.0126075	0.0136352	0.0179774	0.0144185	0.0123138	0.0137215	0.0133304	0.0147035	0.0124034	0.0187789	0.0247799	0.0277157	0.0213955	0.0274578	0.0212962	0.0159745	0.0176185	0.0223628	0.0267694	0.0299533	0.084452	0.0617758	0.0378749	0.0327323	0.0256209	0.0271983	0.0334328	0.0261595	0.0327928	0.0546544
il	0.0164138	0.0182838	0.0166921	0.0125473	0.0104748	0.0132744	0.0109902	0.0121362	0.00790167	0.00889734	0.0106139	0.010473	0.0186838	0.011569	0.0230637	0.0464341	0.0242971	0.0216852	0.0206318	0.0229248	0.0479292	0.0740389	0.0654413	0.0244462	0.026019	0.016707	0.0129867	0.0147162	0.00906881	0.0601818	0.0718748	0.0324053	0.0206677	0.0182268	0.023812	0.038494	0.0368556	0.0258282	0.0423126
n'	0.0534687	0.0162174	0.0127682	0.0239024	0.0249882	0.0214946	0.0213714	0.0191828	0.0114788	0.00964362	0.00924384	0.00925409	0.00730161	0.007321	0.00904191	0.0100943	0.0125003	0.0133959	0.0206663	0.0276252	0.0336394	0.0545615	0.0543005	0.0447162	0.0496334	0.0428479	0.0330694	0.0380285	0.0335129	0.0336078	0.0442895	0.0267299	0.0113828	0.0108523	0.0121355	0.0125243	0.0220309	0.0335061	0.0676705
obéit	0.0410525	0.0359083	0.0312659	0.0334855	0.0326635	0.0320212	0.0282546	0.0240511	0.0146653	0.0122377	0.008122	0.00787526	0.00703109	0.0104583	0.00852098	0.00845275	0.0112934	0.0147009	0.0219752	0.0231531	0.0151715	0.0366143	0.0413036	0.0328018	0.042916	0.0397063	0.0328227	0.0323436	0.0280591	0.0405793	0.0456592	0.0244066	0.00867233	0.0111955	0.0181462	0.015759	0.028909	0.0346736	0.0630718
à	0.112849	0.0464204	0.0225871	0.0268745	0.0230519	0.0260754	0.031574	0.0202026	0.0103879	0.00665921	0.00587172	0.00608313	0.0079085	0.00639549	0.0108135	0.0111844	0.0156846	0.018744	0.0339574	0.0375179	0.0250126	0.055242	0.0395625	0.028139	0.0647912	0.0288061	0.0284981	0.0361793	0.0307671	0.00646301	0.0121376	0.00298768	0.00201176	0.00128321	0.00114153	0.00343752	0.00713994	0.0103564	0.135201
personne	0.0628882	0.0255904	0.0167989	0.011971	0.0178974	0.0104577	0.00730252	0.00763854	0.00687705	0.00574121	0.00561655	0.00685506	0.00932494	0.00925857	0.0120174	0.00635686	0.00979134	0.0245956	0.0341974	0.0302203	0.0209478	0.0247901	0.0220192	0.0386432	0.0572662	0.0481708	0.0543375	0.0452526	0.0578357	0.0466056	0.0397446	0.0217735	0.0118953	0.0115991	0.0149115	0.0123499	0.0243887	0.0295419	0.0965299
</S>	0.09415	0.0422958	0.0233449	0.0223815	0.0264723	0.0127997	0.0102976	0.0167315	0.0100339	0.00953203	0.00695238	0.0081095	0.0114777	0.0115447	0.0114589	0.00702378	0.00983889	0.0220234	0.0395344	0.0299313	0.009633	0.0250209	0.0171643	0.0337796	0.0236515	0.0226794	0.0283006	0.0277857	0.0182293	0.0282421	0.0357159	0.0147229	0.0107086	0.0153069	0.0283251	0.0236831	0.042964	0.0503559	0.117797
