 	i	b	ó	b	h	ó	b	í	i	l	έ	r	έ	a	w	ú	r	a	m	á	n	d	z	ú	e	</S>
les	0.0273836	0.0237279	0.00713512	0.00598489	0.0081734	0.0156804	0.0166366	0.0220449	0.0785461	0.0987597	0.100961	0.189147	0.11636	0.0748925	0.040931	0.0231052	0.0255215	0.0254138	0.0224127	0.0155603	0.0121532	0.0139205	0.0103841	0.00605507	0.00713262	0.0119771
gorilles	0.0632126	0.0569051	0.08247	0.103013	0.124726	0.110673	0.158455	0.0951932	0.043604	0.0233089	0.0115807	0.0128871	0.00780379	0.0105817	0.00709497	0.00910142	0.0104298	0.00654888	0.00806438	0.00632837	0.0107333	0.012529	0.010085	0.00330946	0.00537461	0.00598678
sont	0.0873685	0.0435219	0.0289421	0.0284854	0.0302027	0.0341538	0.0326087	0.0471413	0.0476458	0.0410609	0.0556091	0.0546512	0.0500481	0.0456717	0.0736065	0.0673667	0.0348756	0.043999	0.0280159	0.0226101	0.016924	0.0190971	0.0175071	0.0118806	0.0119289	0.0250775
en	0.036372	0.0248072	0.0258599	0.0352713	0.033085	0.0328671	0.0401957	0.0553948	0.0528092	0.0428198	0.0803955	0.0475157	0.0374918	0.0391008	0.0425619	0.0456849	0.0478688	0.0579515	0.0404656	0.036701	0.0270904	0.0225718	0.023861	0.0184998	0.0197507	0.0330069
train	0.0619656	0.0494176	0.03848	0.0364878	0.0417357	0.0336431	0.0324682	0.0553036	0.0523263	0.0395175	0.039981	0.0602137	0.0652533	0.0689224	0.0252099	0.0269883	0.0324562	0.0335385	0.031543	0.0218143	0.0296958	0.0270526	0.0260227	0.0211787	0.0186344	0.0301497
de	0.0891318	0.0881864	0.0889035	0.0708253	0.0544712	0.0334175	0.0305127	0.0268975	0.037717	0.0516686	0.0427813	0.036272	0.0274405	0.0130378	0.00977707	0.00962853	0.011338	0.00843037	0.0109694	0.00891497	0.0235368	0.0195177	0.0272592	0.0158276	0.0423408	0.121196
lécher	0.0903091	0.0349416	0.0514078	0.0487304	0.0466109	0.0318863	0.0300941	0.015636	0.0138011	0.0264782	0.0215751	0.0201392	0.0280674	0.0368672	0.0528232	0.0681648	0.0358924	0.0323444	0.0369929	0.0248744	0.0413758	0.0479813	0.0339197	0.0234752	0.0363792	0.0692322
le	0.0470484	0.0370212	0.0394837	0.042484	0.0351727	0.0366561	0.0281955	0.0158248	0.00912977	0.00684235	0.0130093	0.0174145	0.0308042	0.0267476	0.0325237	0.03302	0.0369125	0.0255463	0.0392646	0.0375488	0.0441263	0.0412381	0.0534963	0.0832691	0.0729087	0.114312
miel	0.0216382	0.0227235	0.024449	0.0210311	0.0122906	0.0114255	0.0107292	0.00509919	0.00348422	0.00276664	0.00362644	0.00548033	0.0123249	0.0249735	0.0350796	0.0375849	0.0406397	0.0329651	0.0423835	0.0395397	0.0511521	0.0383511	0.0518551	0.0986582	0.118031	0.231718
</S>	0.0408138	0.0496428	0.0515551	0.0442246	0.0250354	0.0152387	0.0138673	0.0140983	0.00904645	0.00744781	0.00784227	0.0177082	0.025106	0.0202541	0.0304654	0.0287092	0.0295741	0.0135711	0.027295	0.0301841	0.0387058	0.0351453	0.0484633	0.10593	0.0856202	0.184455
