 	n	g	á	í	s	ó	m	b	i	a	s	w	é	l	a	m	w	á	s	í	y	a	o	k	o	n	d	z	i	</S>
j'	0.0660482	0.240109	0.337102	0.135979	0.0626658	0.0141463	0.00397534	0.00233739	0.00355358	0.00337626	0.00459254	0.00823083	0.00770921	0.00917721	0.0108831	0.00928118	0.0178826	0.00395937	0.00595175	0.00566055	0.0045458	0.00524657	0.00519413	0.00426853	0.00460366	0.00490037	0.00496169	0.00418654	0.00466867	0.00480249
ai	0.121425	0.0359933	0.0258581	0.0418079	0.0148019	0.0162479	0.0396193	0.0623592	0.11094	0.0835563	0.0770178	0.0561459	0.0533961	0.0396175	0.0405016	0.0303348	0.0292798	0.0131509	0.0138091	0.00623833	0.0128658	0.0182919	0.00750618	0.00693589	0.00450963	0.00520486	0.00646099	0.00623916	0.0072324	0.0126524
acheté	0.0223773	0.0343318	0.0330095	0.0337672	0.0362727	0.0518275	0.0416754	0.055313	0.0507008	0.0437667	0.0214738	0.0401592	0.036597	0.0523567	0.0656046	0.0397512	0.0241791	0.0327156	0.0184921	0.040948	0.014867	0.0202626	0.0196635	0.0176491	0.0294002	0.0233826	0.0206973	0.0348512	0.0175372	0.0263703
du	0.0312773	0.0407394	0.0318484	0.0287559	0.0274159	0.038866	0.032433	0.0333117	0.0342935	0.0486743	0.0315243	0.0184189	0.0247889	0.0196681	0.0277401	0.0355892	0.0198341	0.0344718	0.0256346	0.0341386	0.0307328	0.0369083	0.0323668	0.0432575	0.0395639	0.0405618	0.0448053	0.048952	0.0358872	0.0275403
poisson	0.0149798	0.0255679	0.011814	0.00815726	0.0142501	0.0391719	0.0434352	0.0513173	0.0489373	0.0558788	0.0562884	0.032469	0.0325469	0.0232692	0.0270083	0.0289166	0.0292683	0.0278121	0.0242665	0.0346705	0.0232093	0.0318543	0.0254092	0.0408702	0.0353767	0.0300366	0.0401721	0.0420498	0.0371578	0.0638385
à	0.00998732	0.00622065	0.0104042	0.0062725	0.0124667	0.0155751	0.0232273	0.0337423	0.0386237	0.0418519	0.0512604	0.022713	0.0323097	0.0322395	0.0281388	0.0184066	0.0122147	0.0246989	0.0241839	0.0283516	0.0253642	0.0342326	0.0323282	0.049637	0.0525881	0.0420596	0.0533726	0.0709254	0.0586025	0.108001
la	0.012719	0.0118556	0.00434634	0.00371107	0.00908095	0.012296	0.0202503	0.0315721	0.036748	0.0394289	0.0527451	0.0424974	0.043879	0.027522	0.0346145	0.0382903	0.0353155	0.0268715	0.0260631	0.0317821	0.0252412	0.039093	0.0318284	0.0544906	0.0437035	0.0363078	0.0493255	0.0569948	0.0510558	0.0703705
femme	0.0351044	0.0241849	0.0207255	0.0205058	0.0274137	0.0273306	0.0212406	0.02876	0.0297887	0.0303272	0.0314796	0.0280283	0.0344744	0.0349017	0.0339607	0.0354081	0.0277608	0.0299101	0.0320791	0.0323682	0.0317946	0.031611	0.029889	0.0176135	0.0293716	0.0187983	0.0384644	0.0691647	0.0638872	0.0836534
du	0.0305486	0.027423	0.0260699	0.0265315	0.0265352	0.0265603	0.0201091	0.0124435	0.0132795	0.0135378	0.0155092	0.0219679	0.0222822	0.0210147	0.0268148	0.0383793	0.0256046	0.0371517	0.0364933	0.0345794	0.0358732	0.0270829	0.0369732	0.0250471	0.0360305	0.0347545	0.0603622	0.0634655	0.0812046	0.0963705
chef	0.0273436	0.0268961	0.0255869	0.0261198	0.0267645	0.0238524	0.0153496	0.0127036	0.0148782	0.0164498	0.0174732	0.0233265	0.0258981	0.0231181	0.0263997	0.0359699	0.0274329	0.0356954	0.0392142	0.0343834	0.03754	0.026463	0.0326173	0.0237943	0.0320238	0.033909	0.0488084	0.0746325	0.087392	0.0979639
</S>	0.0406051	0.0243065	0.022217	0.0241684	0.0245184	0.0245929	0.0221635	0.023753	0.0215964	0.0217114	0.0220111	0.0220385	0.0256374	0.0202271	0.0230053	0.0429718	0.0204528	0.0389266	0.0303444	0.0347635	0.0349837	0.0362989	0.0478545	0.0423069	0.0408896	0.0420946	0.0423333	0.0570961	0.0479637	0.0781677
