 	w	a	a	d	i	s	á	k	á	n	d	z	á	l	á	ω	s	á	l	i	a	b	á	y	á	</S>
il	0.193987	0.14004	0.0425344	0.0219542	0.0318939	0.0561923	0.0466873	0.0388628	0.0181905	0.0219749	0.0256923	0.0217561	0.0184487	0.0333651	0.0674872	0.0643363	0.0333149	0.0362718	0.0151077	0.0169712	0.0111594	0.00858461	0.00912722	0.00787469	0.00955595	0.00862915
est	0.0594605	0.0352597	0.0979404	0.2429	0.135771	0.122198	0.043896	0.0450055	0.0462705	0.0334679	0.0200782	0.0155261	0.0157708	0.0110741	0.0038535	0.00147116	0.00206997	0.00389645	0.00289547	0.00399689	0.00464315	0.00409311	0.00644328	0.0118514	0.0120079	0.0181586
dans	0.0126643	0.0171292	0.01361	0.0113903	0.0268214	0.0638308	0.0742201	0.0336558	0.0285778	0.0995615	0.0852142	0.0437355	0.0345082	0.0446644	0.0527395	0.07832	0.0690919	0.0578041	0.0463947	0.0424397	0.0218212	0.00898986	0.00656112	0.00752956	0.0085711	0.0101537
l'	0.01896	0.0160958	0.0139073	0.0160414	0.020197	0.0287856	0.0301317	0.03348	0.0419403	0.0696023	0.0736624	0.0726237	0.0608079	0.0547696	0.0435315	0.0237795	0.0337361	0.0280581	0.0355785	0.0305625	0.0309359	0.0338053	0.0320005	0.030346	0.0448918	0.0817696
atelier	0.00773139	0.006824	0.00629776	0.0074709	0.0079269	0.0265717	0.043549	0.0325826	0.0346717	0.0539524	0.0587042	0.0550009	0.058865	0.0579292	0.0578976	0.062828	0.0500701	0.0437965	0.0422274	0.0327192	0.0468234	0.0262223	0.0317214	0.0453162	0.0417712	0.0605289
de	0.010188	0.00946065	0.0105741	0.00962256	0.00886291	0.0159143	0.022661	0.0211184	0.0210392	0.0241146	0.0274814	0.0297022	0.0290671	0.0426029	0.0478305	0.0376812	0.0225173	0.0365408	0.0427576	0.0589707	0.0698893	0.0716118	0.0753206	0.0825267	0.0810029	0.0909413
menuiserie	0.0278539	0.0280638	0.0267443	0.0285762	0.0245736	0.0313611	0.0362331	0.0326355	0.030947	0.0352398	0.038038	0.0544365	0.0352757	0.035446	0.0319102	0.0113684	0.0102619	0.0118855	0.0183681	0.0237593	0.0452519	0.0485346	0.060339	0.0850027	0.0864312	0.101463
</S>	0.0278335	0.0275256	0.0280434	0.0269905	0.0270565	0.0304643	0.0359849	0.0326926	0.029301	0.037601	0.0410224	0.0529504	0.0435957	0.028482	0.0245589	0.0226922	0.0184729	0.02572	0.0378895	0.0376375	0.0460533	0.0505324	0.0626229	0.057559	0.0649414	0.0817763
