 	k	á	s	i	y	o	m	b	á	n	g	é	b	ó	y	é	e	k	ó	m	i	n	a	</S>
les	0.114744	0.208703	0.17204	0.0316233	0.023572	0.0188064	0.0164474	0.0233817	0.0268116	0.0210626	0.0260365	0.0385425	0.0332767	0.031514	0.025242	0.0410509	0.0237541	0.0218374	0.0130839	0.0123979	0.0106798	0.023147	0.019835	0.022411
feuilles	0.094544	0.0508226	0.0473883	0.0835721	0.116874	0.114742	0.0707221	0.0841129	0.0443071	0.0223875	0.0194998	0.0277686	0.018355	0.0315766	0.0183138	0.0148696	0.0143055	0.0152725	0.0285539	0.0231692	0.0249791	0.0121867	0.00943376	0.0122433
du	0.0337995	0.0159513	0.0103448	0.012142	0.0225031	0.0299493	0.0466173	0.0722248	0.0718195	0.0346142	0.020323	0.0375391	0.0462272	0.10662	0.080169	0.0486977	0.0431905	0.0398362	0.0484064	0.0500536	0.0361902	0.0366502	0.032741	0.0233897
manguier	0.0194893	0.0307573	0.0217333	0.0374388	0.0501602	0.0611489	0.0632994	0.0663928	0.055067	0.0353345	0.0313276	0.0263532	0.0313443	0.060888	0.0648605	0.0651011	0.0466699	0.0359681	0.0266826	0.0192701	0.0287242	0.0402535	0.0299393	0.051796
sont	0.037559	0.0237538	0.0160863	0.0247119	0.0398242	0.0459324	0.0392714	0.0327647	0.0212674	0.0185841	0.0177874	0.0170519	0.0201775	0.028227	0.0361385	0.0365917	0.0524412	0.0536829	0.0598626	0.0500741	0.0823958	0.0699818	0.0738658	0.101967
en	0.0343731	0.025721	0.0236917	0.0252866	0.0394492	0.0676499	0.0570233	0.0461695	0.0335438	0.0161186	0.0119493	0.0113524	0.0133713	0.0256053	0.0356811	0.0353047	0.0606063	0.0662413	0.0635583	0.0605482	0.0554712	0.0599079	0.0618514	0.0695246
train	0.0589708	0.0608653	0.0500827	0.050722	0.0643045	0.0687694	0.0660516	0.063447	0.0581453	0.030086	0.0089619	0.0048307	0.00661294	0.0104489	0.0142791	0.0130133	0.0262683	0.0342422	0.0283882	0.0502656	0.0365378	0.0288997	0.0605383	0.105269
de	0.0827688	0.057243	0.0632182	0.058809	0.0626289	0.0607001	0.0435455	0.0346586	0.0282617	0.0253753	0.0273908	0.0153064	0.0138743	0.00998902	0.00905386	0.0124421	0.012474	0.0154167	0.0265384	0.036542	0.0402758	0.0376419	0.0721845	0.153661
tomber	0.0787659	0.0529995	0.0494181	0.0342192	0.0161956	0.0150288	0.0138989	0.0112775	0.0086092	0.00956345	0.0128588	0.00673183	0.00772443	0.0255521	0.0458445	0.0403404	0.0343658	0.0321187	0.0500222	0.0674964	0.0849474	0.0790584	0.11248	0.110483
</S>	0.11747	0.077637	0.0680524	0.0564865	0.0288334	0.0156387	0.00742533	0.00606644	0.00425656	0.00380923	0.00313461	0.00239448	0.00333468	0.00558625	0.015717	0.0232499	0.0187894	0.0235979	0.0343773	0.050253	0.0843999	0.0711582	0.0988011	0.17953
