 	t	s	ó	s	ó	y	e	e	d	í	l	i	s	u	n	u	á	d	z	é	t	ó	t	o	k	u	s	u	a	b	έ	l	i	</S>
un	0.018657	0.0223043	0.030007	0.0363373	0.0368806	0.0351754	0.0421615	0.0489003	0.0460686	0.048223	0.0524621	0.046883	0.0385523	0.0414207	0.0325786	0.0408217	0.0507045	0.0532964	0.0191313	0.0249239	0.0151769	0.0208166	0.0142333	0.0168324	0.0136369	0.0125531	0.0160515	0.0151748	0.017762	0.0181258	0.020627	0.0232766	0.0160807	0.0141627
poulet	0.04324	0.050036	0.0538458	0.0801356	0.0617477	0.0360259	0.030952	0.0273379	0.0176005	0.00765924	0.00849924	0.0135526	0.0179599	0.0285236	0.0424097	0.0593472	0.114984	0.0631128	0.0306843	0.0329835	0.011316	0.0204339	0.00518602	0.0299667	0.0136567	0.0198091	0.020294	0.0161195	0.0131743	0.00976222	0.00889415	0.00478287	0.00372143	0.00224635
charnu	0.0162838	0.0163175	0.0172732	0.0137989	0.01872	0.0291624	0.0286522	0.0394801	0.0364525	0.0253221	0.0345704	0.0346195	0.0304791	0.0348716	0.0237107	0.0338735	0.0369584	0.0339209	0.072901	0.0339083	0.0439164	0.0527869	0.0793674	0.0501031	0.027454	0.0250742	0.0149442	0.0237335	0.0237712	0.0145403	0.0127553	0.010822	0.00692657	0.00252864
est	0.0621574	0.0594262	0.0825744	0.0961703	0.152745	0.131353	0.11017	0.0772587	0.0717015	0.0223996	0.0154534	0.0145791	0.00994452	0.00750577	0.00639853	0.00719763	0.00591341	0.00772323	0.00845793	0.00341098	0.00542796	0.00572088	0.00548536	0.00490506	0.00320092	0.00354348	0.00211498	0.0014912	0.00198849	0.00196477	0.00210562	0.00237824	0.00233635	0.00479666
mangé	0.0853989	0.095889	0.0584069	0.0653548	0.0471461	0.046273	0.0530778	0.0347601	0.0406559	0.0182637	0.0157811	0.0160028	0.0173607	0.0137194	0.0108701	0.00758447	0.0108754	0.00933253	0.0106305	0.0178968	0.0193361	0.0250655	0.0206084	0.0246421	0.0130372	0.0148691	0.0195378	0.0293886	0.0218454	0.031548	0.0308673	0.0204551	0.0216151	0.0319042
à	0.114019	0.0609645	0.0286304	0.0417917	0.0404892	0.0424634	0.0487719	0.040664	0.0351259	0.0301198	0.026267	0.0268318	0.019854	0.0151489	0.0140541	0.0164187	0.0183459	0.0108792	0.0086038	0.00650707	0.00522196	0.00744321	0.00479225	0.0136025	0.00803194	0.0135761	0.0195262	0.0319085	0.0241376	0.055902	0.0531284	0.0366671	0.0352677	0.0448439
la	0.045672	0.0247503	0.0192122	0.0260623	0.0284299	0.0338953	0.0620015	0.0508891	0.065236	0.0320091	0.0282229	0.0329852	0.0289437	0.0214219	0.0259505	0.0155235	0.0124903	0.00690614	0.00924401	0.0139834	0.0105722	0.0202659	0.0113256	0.0362646	0.0101197	0.0353203	0.0212526	0.0585699	0.0300479	0.0320895	0.0394177	0.026222	0.0211607	0.0635422
sauvette	0.040326	0.0309788	0.0252115	0.0193065	0.0139269	0.0106058	0.0113989	0.0065581	0.00547076	0.00547572	0.0040292	0.00626518	0.00839733	0.00879382	0.00696096	0.0115663	0.0141976	0.0188757	0.0287198	0.0315679	0.0484886	0.0454396	0.0208673	0.0293152	0.0129107	0.039388	0.0385984	0.0325216	0.0393119	0.0375241	0.0428447	0.0748915	0.0758652	0.1534
pourquoi	0.0489975	0.034361	0.0407054	0.0597115	0.102074	0.1049	0.0906733	0.0628441	0.111666	0.0595173	0.0461334	0.0378618	0.0314657	0.0149524	0.00688662	0.00343591	0.00223892	0.00201594	0.00549099	0.00393431	0.00553297	0.00634174	0.00763744	0.00933703	0.0070895	0.00736064	0.00603945	0.0084611	0.00666788	0.00617391	0.0065387	0.010924	0.00935086	0.0326784
pas	0.0860174	0.064903	0.0535104	0.0403149	0.0345946	0.0200841	0.0089697	0.00726866	0.0104522	0.0059207	0.00401303	0.00545674	0.00586862	0.00341579	0.00365277	0.00425327	0.0043546	0.00477174	0.00649369	0.0103447	0.0176509	0.0236477	0.0235817	0.0383881	0.0129755	0.0272219	0.0128825	0.0195775	0.0198806	0.026954	0.0406296	0.0636406	0.0747697	0.213539
