 	a	m	b	o	l	o	m	b	ó	l	o	á	d	i	í	n	y	i	n	g	a	k	a	á	n	d	z	á	á	m	b	o	l	o	m	b	o	l	ó	w	ó	a	d	í	l	a	p	ó	s	á	b	a	r	e	</S>
les	0.104325	0.0924079	0.0944613	0.0572992	0.0586882	0.0494663	0.0408965	0.0401848	0.0358289	0.024168	0.0231304	0.0228896	0.0231689	0.0191707	0.0220505	0.0195591	0.0200585	0.0153449	0.0198634	0.0137841	0.0116044	0.00918211	0.00578976	0.00449105	0.00495554	0.00652567	0.00362653	0.00222299	0.00231948	0.00393272	0.00200049	0.00244316	0.00264512	0.00286736	0.00209946	0.0021558	0.00293501	0.00292453	0.00316504	0.00254459	0.00215374	0.0024222	0.00569571	0.00552664	0.00559304	0.00978231	0.0103403	0.0134375	0.0120287	0.0131944	0.0125954	0.00670547	0.00704975	0.00793889	0.00835949
policiers	0.0229128	0.0280965	0.0344018	0.0561138	0.0672785	0.0669487	0.0581263	0.0352199	0.028733	0.0199329	0.0319666	0.0416014	0.0628869	0.0214096	0.0195481	0.0135018	0.0165363	0.0110126	0.0121264	0.0200825	0.015902	0.0168279	0.0177537	0.0102637	0.0131608	0.0102068	0.0044078	0.0093396	0.011952	0.0249879	0.0209142	0.0226275	0.016723	0.0146473	0.00935215	0.00890716	0.00366414	0.0108396	0.00519258	0.00534274	0.00895361	0.00783003	0.00502116	0.0010377	0.00269672	0.00428462	0.00522418	0.00289557	0.0122827	0.00647965	0.00728035	0.00257406	0.0042913	0.00380435	0.00389487
n'	0.0191689	0.0159767	0.00908775	0.0167569	0.0129454	0.0182726	0.0247633	0.028618	0.0384734	0.0354827	0.0327158	0.0393876	0.061282	0.0839361	0.0973806	0.0680337	0.0372281	0.029438	0.0224403	0.0202356	0.0199864	0.0147601	0.00972503	0.0104522	0.0059747	0.00981537	0.00718623	0.00549738	0.00600664	0.00440381	0.00374703	0.00467716	0.00577812	0.00362375	0.00472537	0.00727512	0.00935602	0.00884552	0.00641032	0.00526423	0.0207335	0.0101238	0.0102934	0.00902089	0.00705874	0.00837168	0.0120841	0.0104378	0.00873249	0.0109979	0.00583734	0.00437483	0.00408119	0.00665525	0.00606326
ont	0.0145462	0.0213318	0.0219144	0.0249705	0.0308503	0.0257161	0.0303771	0.0284917	0.0344635	0.0390989	0.0535116	0.0283356	0.035766	0.0467073	0.0334286	0.0227994	0.0198601	0.0187092	0.0171369	0.0154811	0.0236548	0.0191094	0.0197087	0.0197731	0.0189013	0.00672788	0.0149325	0.0167878	0.0112467	0.0167966	0.0102385	0.0200208	0.0170329	0.020096	0.0194258	0.0188449	0.0155889	0.0223812	0.0107823	0.0114574	0.00655875	0.0126568	0.0111142	0.00739922	0.00613027	0.00535788	0.00399151	0.0036844	0.00461253	0.00507472	0.00572677	0.00455457	0.00752175	0.00732622	0.0112865
jamais	0.0135193	0.0170789	0.0147371	0.0304021	0.0200722	0.0261535	0.0277362	0.0263897	0.0267497	0.0265824	0.0163445	0.0294391	0.0263141	0.0192392	0.0196622	0.0319915	0.038423	0.0312493	0.0365049	0.0334118	0.0417336	0.0385391	0.0294085	0.0269947	0.0216522	0.0209095	0.0142087	0.0205119	0.0188364	0.0268315	0.0124792	0.0250375	0.0196383	0.00740559	0.0156791	0.0116776	0.00866789	0.0123098	0.00724017	0.00634715	0.00625212	0.00719279	0.00741891	0.00322231	0.0044023	0.00596359	0.00419213	0.00341598	0.004939	0.00514739	0.00640926	0.00556791	0.0079043	0.0121423	0.0177206
pitié	0.0050565	0.00403698	0.00235021	0.00295015	0.00293399	0.00345567	0.00375157	0.00374504	0.00429801	0.00510304	0.00617098	0.0065993	0.0058504	0.00592375	0.00736737	0.00730431	0.00775329	0.00868412	0.0067182	0.00809398	0.00769944	0.00712903	0.0104153	0.0131065	0.00980083	0.00890519	0.0312456	0.0478068	0.0325534	0.0750072	0.0850455	0.095682	0.083231	0.0668516	0.0706161	0.0477385	0.0447857	0.0253359	0.0146912	0.0195786	0.0178032	0.0121578	0.008614	0.00343863	0.00278206	0.00400486	0.00316316	0.00290037	0.00519688	0.00505801	0.00509093	0.00437937	0.00542241	0.00614256	0.0084736
mais	0.0195939	0.0188604	0.0162258	0.0147921	0.0117267	0.0135683	0.0132885	0.0127484	0.0137019	0.0119738	0.0111358	0.0126995	0.0122148	0.00712846	0.00748094	0.00924116	0.00985442	0.0120693	0.0150459	0.0170126	0.0164856	0.0154542	0.0140754	0.0241674	0.0132628	0.0233803	0.0215473	0.0380717	0.0267975	0.032509	0.0243252	0.0391293	0.0299262	0.0262878	0.0341078	0.0318774	0.0239662	0.0288257	0.031834	0.0196736	0.0243804	0.0228392	0.0147206	0.00380919	0.00604195	0.0050258	0.00669445	0.0060111	0.0189276	0.0105642	0.0161697	0.00981538	0.0199368	0.0211437	0.0378527
ce	0.0111482	0.00984698	0.00733319	0.00678335	0.00728232	0.00861201	0.00919928	0.00944135	0.010569	0.0137503	0.0154241	0.0148758	0.012895	0.0130431	0.0136566	0.0134619	0.0154269	0.016057	0.0161382	0.0119354	0.0117904	0.00788218	0.00510131	0.00569001	0.00879099	0.00516739	0.0139465	0.0138606	0.00922842	0.0126342	0.0176128	0.0132386	0.0221072	0.0222665	0.0308552	0.0367648	0.0342898	0.0343732	0.0519148	0.0320261	0.0471919	0.0315818	0.0285497	0.0185931	0.0185745	0.0173783	0.0176919	0.0167889	0.0205094	0.0180271	0.0208075	0.0197531	0.0248243	0.025843	0.0474649
policier-ci	0.0134879	0.0164454	0.0173063	0.0218605	0.0154227	0.00906852	0.00587872	0.00437986	0.00414597	0.00357639	0.00572873	0.00682097	0.00845117	0.00766922	0.0102105	0.0111325	0.0157622	0.0245491	0.02169	0.0233379	0.0199411	0.0182701	0.0150369	0.0169877	0.0208694	0.0184416	0.0208141	0.0290223	0.0247613	0.0239276	0.0344885	0.0256077	0.0266235	0.0413424	0.0306772	0.0335038	0.0275597	0.0254576	0.0288793	0.01838	0.0221518	0.00738583	0.00485442	0.00242657	0.00396259	0.00363633	0.00677346	0.00484588	0.0199582	0.0101864	0.0221361	0.0131391	0.0339956	0.0352691	0.0617621
est	0.0105759	0.0141568	0.0156302	0.022768	0.0137438	0.0108977	0.00779561	0.0055023	0.00441356	0.00410694	0.00332635	0.00505346	0.00564276	0.00463992	0.00537472	0.00697514	0.00937151	0.0126825	0.0165158	0.014497	0.0160952	0.0189213	0.0186249	0.0232452	0.0178721	0.0233672	0.0365423	0.0362577	0.0311429	0.0474452	0.027902	0.0385818	0.0361434	0.0310926	0.0285271	0.0295843	0.0224061	0.0169212	0.0260946	0.00935652	0.0188476	0.00480628	0.00361915	0.00207998	0.00327902	0.00459333	0.00604757	0.00355724	0.01822	0.0117415	0.0204917	0.0175966	0.0423556	0.046136	0.0668348
gentil	0.0133888	0.0158955	0.0187726	0.021022	0.0118866	0.00878741	0.00654524	0.00570791	0.00600932	0.00614406	0.00412079	0.00665606	0.00856961	0.00637901	0.00752356	0.0105532	0.011859	0.0158862	0.0185244	0.0202971	0.0185102	0.0243687	0.0309828	0.0276383	0.0246993	0.0251639	0.0328314	0.0343805	0.030662	0.042352	0.0254474	0.0382337	0.0301796	0.0282524	0.0242984	0.0265301	0.0211573	0.0177284	0.0143397	0.00704787	0.00947233	0.0066406	0.00387166	0.00188372	0.00258128	0.00344592	0.00427656	0.00349082	0.0188097	0.0149141	0.0213819	0.0241557	0.0319948	0.0415193	0.0622291
</S>	0.00663333	0.00715994	0.00737506	0.00792227	0.00763	0.00724321	0.00698539	0.00659803	0.00618639	0.00593794	0.00383137	0.00508759	0.0045049	0.00276309	0.00368259	0.00616352	0.00566598	0.00871287	0.0081661	0.00766264	0.0122733	0.0154552	0.0113681	0.0181916	0.0101753	0.0166559	0.061459	0.0297691	0.0261737	0.0754483	0.0411234	0.0422413	0.062328	0.01888	0.02432	0.0328607	0.0209883	0.0240732	0.0354452	0.0144294	0.0152937	0.0150706	0.0219804	0.0165981	0.0181127	0.0140144	0.014565	0.01333	0.0156261	0.0155687	0.0170583	0.017608	0.0199512	0.0264707	0.039181
