 	w	a	t	á	á	l	a	n	g	ó	o	á	k	í	n	d	í	m	á	s	á	b	i	r	á	</S>
son	0.0558297	0.0673347	0.152487	0.194233	0.313836	0.171574	0.012597	0.00188075	0.00113318	0.00112294	0.000677706	0.00102417	0.00146385	0.00140494	0.00161043	0.00268629	0.00334825	0.00239204	0.00256737	0.00229724	0.00172402	0.00144082	0.00174212	0.00149202	0.00140444	0.000695253
père	0.141561	0.0726771	0.0593875	0.0636254	0.0609987	0.0388523	0.076691	0.10579	0.0910158	0.11617	0.0398781	0.0518369	0.0179907	0.0120397	0.00694683	0.00876609	0.00653916	0.0076345	0.00465403	0.00491854	0.00213548	0.00222198	0.00197382	0.00222391	0.00190318	0.00156884
et	0.016142	0.0177768	0.0244005	0.0398098	0.036416	0.0304685	0.0323424	0.0527368	0.0429208	0.0291635	0.0397012	0.0365448	0.0358447	0.0790837	0.0786499	0.0625149	0.048772	0.0412277	0.0377944	0.0350687	0.0350091	0.0299804	0.0261023	0.0304988	0.0417362	0.019294
sa	0.0502257	0.0765991	0.102032	0.0805369	0.0563098	0.0438479	0.0472588	0.0356347	0.0304714	0.0273497	0.0189545	0.0243535	0.0221054	0.0317267	0.0352031	0.0298753	0.0218908	0.0205117	0.0225772	0.0295911	0.0233186	0.0216647	0.0143281	0.0329863	0.0474115	0.0532352
mère	0.0170714	0.0242658	0.0407103	0.0442396	0.0694271	0.0656698	0.0638172	0.0358311	0.0303811	0.0317534	0.0306813	0.0332416	0.0336684	0.0309615	0.0332395	0.0420568	0.0463481	0.0550118	0.0686886	0.0697189	0.0326193	0.0275369	0.0134837	0.0184873	0.0167138	0.0243757
sont	0.00813101	0.00978536	0.0125066	0.00878576	0.00870431	0.00865754	0.0182343	0.0164812	0.0215188	0.0244619	0.0415853	0.0396688	0.0449595	0.0488949	0.0376144	0.0340614	0.0325599	0.0434212	0.0588806	0.0652389	0.0696541	0.0506517	0.0421356	0.0633129	0.0934734	0.0966205
morts	0.0135393	0.0208776	0.0240355	0.0239022	0.0234366	0.0294929	0.0252275	0.0449724	0.0414991	0.0413021	0.0272297	0.0239965	0.0286031	0.0232383	0.0294213	0.0443913	0.0546852	0.0595338	0.0595657	0.0454376	0.0222926	0.0216476	0.0317355	0.0643916	0.0588895	0.116656
pendant	0.024699	0.0276964	0.0235249	0.0220406	0.0240991	0.036138	0.0381172	0.0700681	0.0630888	0.0662636	0.0406096	0.0385363	0.0430494	0.0373677	0.0397764	0.0402699	0.0323623	0.031415	0.0353007	0.0326388	0.0185497	0.0165182	0.0145519	0.0367673	0.0388796	0.107672
la	0.0243166	0.0360448	0.0356729	0.0394496	0.0299174	0.0385395	0.0344885	0.0449659	0.0432927	0.04254	0.0407759	0.0356882	0.0369403	0.0285185	0.0251927	0.0254502	0.0223269	0.0215118	0.0262199	0.0286571	0.0200254	0.025792	0.0362387	0.07012	0.070676	0.116639
guerre	0.013686	0.0154152	0.0131437	0.0125034	0.017064	0.0142351	0.0241578	0.0115812	0.0123706	0.011533	0.0134803	0.0145334	0.0140747	0.0131211	0.0181607	0.0288639	0.0280721	0.0292843	0.03675	0.0270671	0.0142049	0.0187065	0.0422435	0.131347	0.171159	0.253242
</S>	0.0264022	0.0226764	0.0204358	0.0199729	0.0155434	0.0231041	0.0230926	0.0282383	0.0348441	0.0302972	0.0544108	0.0344178	0.0447685	0.0436206	0.042415	0.0375471	0.0341804	0.0261565	0.0428731	0.0498056	0.0440711	0.0372157	0.0228045	0.038159	0.0601959	0.142751
