 	n	g	á	í	d	z	e	l	a	n	y	i	n	g	a	t	s	i	n	a	n	g	ó	l	ó	m	i	á	t	i	i	l	a	n	g	á	w	á	r	e	n	g	á	i	d	i	l	o	l	é	n	g	i	</S>
j'	0.137457	0.137195	0.0718647	0.0980023	0.0257824	0.0128967	0.0212451	0.0130074	0.00747148	0.0112973	0.00990833	0.0093777	0.0155647	0.0167909	0.00934708	0.00953173	0.0104539	0.0143951	0.0130808	0.0189747	0.0145615	0.0135235	0.0132091	0.0133044	0.00809308	0.00904942	0.00931001	0.00718869	0.00823945	0.00899922	0.00924708	0.00815967	0.0145276	0.0172528	0.0104296	0.00762655	0.0102699	0.00990454	0.00845056	0.0126818	0.0059792	0.00959138	0.0107759	0.00980954	0.00842933	0.00711085	0.00797765	0.00740494	0.00795537	0.00903852	0.0092997	0.0101049	0.00977489	0.00907438
étais	0.0300049	0.0150255	0.0137854	0.00746353	0.00924285	0.0130308	0.0112344	0.0146303	0.0207435	0.0166557	0.0169971	0.0246979	0.0277819	0.0288344	0.0260177	0.0283495	0.0247275	0.0270302	0.0292501	0.028971	0.0268489	0.0293601	0.0291262	0.0293766	0.0257793	0.0260369	0.0359948	0.0295302	0.0270432	0.0282846	0.0260363	0.0285891	0.0279603	0.0248669	0.0275573	0.024635	0.0207004	0.0234837	0.014102	0.00957465	0.0107189	0.00990042	0.00265257	0.00310889	0.00350391	0.00575531	0.00501056	0.00421917	0.00385643	0.00411854	0.00287365	0.00451998	0.00368161	0.00671956
triste	0.0195233	0.0177747	0.01496	0.0213607	0.0222781	0.0203737	0.0125183	0.0137773	0.0106791	0.0112928	0.00939071	0.0119166	0.0149706	0.0117254	0.0127656	0.012825	0.019885	0.023724	0.0206299	0.0266504	0.0246885	0.0322984	0.0210406	0.0173338	0.034621	0.0271828	0.0219925	0.0257135	0.0170744	0.0155577	0.045151	0.022904	0.0220091	0.0659249	0.0442004	0.0185256	0.0205676	0.0253611	0.0143694	0.0205478	0.023329	0.0140967	0.00731889	0.00733554	0.00706723	0.0059013	0.00646282	0.00627968	0.00865804	0.00877114	0.00957785	0.00933471	0.0102701	0.00951105
parce	0.0143928	0.0120539	0.0121874	0.0148321	0.0126926	0.0130794	0.00933787	0.00843193	0.0122597	0.0100918	0.00928528	0.0102045	0.0106125	0.00961168	0.0169386	0.0146528	0.0217517	0.0197881	0.0228046	0.0166005	0.0190408	0.0467225	0.0254827	0.025879	0.0530477	0.0306794	0.0370004	0.0556952	0.0519454	0.0332189	0.0384669	0.0302099	0.0175247	0.0290523	0.0285169	0.0223778	0.0116128	0.0188018	0.0100274	0.00945298	0.0135482	0.00566913	0.0086779	0.0077119	0.00664172	0.00732308	0.00901545	0.0126968	0.00864809	0.00770346	0.00799692	0.00842619	0.0139666	0.0156093
que	0.0098538	0.00296967	0.00416351	0.00555331	0.0154138	0.0109618	0.00833015	0.00949298	0.0110588	0.0109248	0.0115786	0.0127408	0.0137234	0.0118451	0.0129322	0.014667	0.0191261	0.0232139	0.0211278	0.0183556	0.02139	0.0369077	0.0273513	0.026878	0.0476343	0.0354197	0.0292453	0.0651095	0.0386408	0.0497457	0.0441152	0.022793	0.0282064	0.0221923	0.0220982	0.0268065	0.0140722	0.0182582	0.021718	0.0224914	0.0271024	0.0103275	0.00876204	0.00909676	0.00506894	0.00495653	0.00380435	0.0049969	0.00748938	0.00553008	0.00702784	0.00523132	0.00747909	0.02402
mon	0.00417027	0.00260268	0.00147643	0.00129189	0.00366859	0.00562876	0.00617766	0.00880033	0.00834318	0.00982632	0.00898194	0.0101799	0.0118684	0.0092797	0.0117827	0.0138686	0.0196588	0.0222128	0.0191281	0.018622	0.0228172	0.0343437	0.0216865	0.0249218	0.0390739	0.0334278	0.0285836	0.0425016	0.0308471	0.0348135	0.0495057	0.0293108	0.0385013	0.0430731	0.0399108	0.0370766	0.0169042	0.0236895	0.0238181	0.0272957	0.0275064	0.0170231	0.00880511	0.0124205	0.00523995	0.0056391	0.00390462	0.00541064	0.00985202	0.00837959	0.00892988	0.00895293	0.0106529	0.0276117
oncle	0.00585663	0.00489562	0.0023055	0.00247511	0.00501217	0.00605234	0.00462844	0.00728511	0.0132718	0.0164375	0.0127416	0.0127455	0.013641	0.0102023	0.0147655	0.0182987	0.0252473	0.0261382	0.0200985	0.0234894	0.0211241	0.0302079	0.0238861	0.0255183	0.0320128	0.0287761	0.0231206	0.0296245	0.0240178	0.0228785	0.029349	0.024611	0.0280784	0.0281048	0.0244697	0.0308821	0.0241757	0.0255908	0.021623	0.0186919	0.0204874	0.022139	0.00966408	0.0134769	0.00893811	0.00895772	0.00553962	0.0110655	0.0141954	0.0153101	0.0151118	0.0172367	0.0192893	0.0562572
m'	0.00827997	0.00807819	0.00676926	0.00751214	0.00634821	0.00954229	0.00730128	0.00670313	0.00675737	0.00827482	0.00691759	0.00769251	0.00803187	0.00641706	0.010264	0.0117083	0.0182581	0.0188273	0.0170707	0.0162665	0.0184854	0.0278251	0.0168847	0.0187529	0.0293864	0.0219287	0.0208245	0.0349193	0.0226492	0.0300054	0.0306162	0.0234694	0.0239966	0.0262153	0.0300371	0.0283467	0.0175601	0.0220399	0.0227912	0.033634	0.0468377	0.0331202	0.00978423	0.0210311	0.0105548	0.0116206	0.00842646	0.0170339	0.0191695	0.0234705	0.0177824	0.0220414	0.0252071	0.0365317
a	0.0175341	0.00906228	0.00791621	0.0112983	0.0147535	0.00873281	0.0059542	0.00681782	0.00987244	0.00690861	0.00685034	0.00708652	0.00782686	0.00609344	0.0105014	0.0138366	0.0186361	0.0164101	0.0210614	0.0184253	0.0197306	0.0228169	0.0229792	0.0211974	0.024106	0.0227588	0.0213202	0.0197967	0.0231496	0.0156822	0.0212154	0.0235463	0.0199799	0.0230518	0.0192271	0.021628	0.0203026	0.0235759	0.0184124	0.0209546	0.0180819	0.0237778	0.0147726	0.0154473	0.0125924	0.0135866	0.012025	0.0189542	0.0220992	0.0282874	0.0335022	0.0399575	0.043209	0.052697
traité	0.0202387	0.00791577	0.00549487	0.0104502	0.0162664	0.01135	0.00641125	0.00682565	0.00862262	0.00734036	0.00709621	0.00752927	0.00821251	0.00674826	0.0114189	0.0129933	0.0176257	0.0205318	0.0189277	0.0192874	0.0184058	0.0223487	0.0245983	0.0202575	0.0221255	0.019192	0.0199699	0.0285363	0.0225068	0.0229077	0.0246174	0.0256699	0.0306331	0.0220077	0.0299313	0.0256376	0.0233114	0.0237044	0.0216533	0.023147	0.0288942	0.0242614	0.0117142	0.0140699	0.00909534	0.0103375	0.009023	0.0123401	0.0180235	0.0248657	0.0302623	0.031088	0.0353928	0.0381836
