 	e	k	a	n	g	í	l	í	y	é	é	k	a	n	g	i	b	á	a	n	d	é	e	m	ú	b	h	u	m	ó	o	k	ó	a	</S>
la	0.00797418	0.00880869	0.0125277	0.0213204	0.0147837	0.0138788	0.0113091	0.0137877	0.0195516	0.0182149	0.0304394	0.0552371	0.0792078	0.102734	0.0678503	0.0541404	0.040651	0.0333551	0.0230274	0.0319322	0.0310347	0.0236221	0.0363192	0.0165107	0.0290821	0.0204902	0.0199582	0.0212559	0.0235771	0.0271427	0.0207919	0.0193762	0.016673	0.0169716	0.016463
manière	0.0093973	0.0258931	0.0553871	0.0400305	0.0109708	0.0125903	0.00830266	0.00756696	0.0102753	0.00630642	0.01779	0.0236768	0.0379051	0.036453	0.0539189	0.110818	0.0722643	0.0631663	0.0637679	0.0429961	0.0293119	0.0406632	0.0273944	0.0296147	0.0272506	0.0231068	0.0223501	0.018074	0.0133868	0.0122378	0.0266698	0.0121078	0.00478367	0.00199085	0.00158028
dont	0.12727	0.038589	0.0254788	0.0147804	0.0145895	0.0225037	0.0121297	0.0123441	0.00852234	0.00779884	0.0155015	0.0299983	0.0313731	0.027663	0.0295037	0.042611	0.0681333	0.0603755	0.0490407	0.0377878	0.0413259	0.0338761	0.0329633	0.0278253	0.0234215	0.0236119	0.0197312	0.0183304	0.0171496	0.014094	0.0131293	0.0113227	0.00951783	0.0127534	0.024953
ils	0.0424049	0.0582184	0.0496454	0.0530436	0.0532907	0.0638487	0.0425893	0.0332664	0.0155226	0.0186458	0.0246394	0.0369044	0.0481769	0.0427	0.0246093	0.0376662	0.0544455	0.0454134	0.0356258	0.0312927	0.0287003	0.018155	0.0147391	0.00592162	0.00956904	0.00594053	0.00672142	0.00475189	0.00473294	0.00601157	0.00702186	0.00883446	0.0128409	0.010916	0.043194
ont	0.0408113	0.0364738	0.0490268	0.0502754	0.0419422	0.0714444	0.0508688	0.0515231	0.0339017	0.0273432	0.034075	0.0212881	0.0206584	0.0193717	0.0186325	0.0340034	0.0455103	0.0318836	0.0451503	0.0348933	0.0193724	0.0338862	0.0188569	0.0155546	0.0158114	0.0129464	0.00933308	0.00891367	0.00991955	0.011101	0.00930881	0.00808123	0.00793464	0.0118675	0.0480355
fermé	0.0335644	0.046167	0.070025	0.0606588	0.0611739	0.0755498	0.0667153	0.0606141	0.0546914	0.0357924	0.020568	0.0184091	0.0120309	0.0129707	0.0120228	0.0173279	0.0143156	0.0127709	0.0148719	0.0150985	0.0157455	0.0175854	0.0118379	0.0145777	0.0136353	0.0175346	0.014138	0.0113621	0.0120977	0.016207	0.0143553	0.018854	0.0217516	0.0298513	0.055128
la	0.0394511	0.0289044	0.031219	0.020039	0.0310712	0.0361864	0.0436274	0.0442183	0.0382969	0.0351939	0.0294498	0.0170062	0.0226489	0.016732	0.0204859	0.0102801	0.00911374	0.0072283	0.00737128	0.00618038	0.00772437	0.0152707	0.0137217	0.0168128	0.0133723	0.0167295	0.0172352	0.0200346	0.0265072	0.0416875	0.0416601	0.0501733	0.065115	0.0559094	0.103342
maison	0.0288845	0.0409616	0.0422094	0.0351972	0.0270473	0.0175542	0.0128597	0.0110593	0.0207067	0.0227701	0.0223447	0.0242324	0.0310913	0.0207844	0.0172456	0.0106446	0.00461235	0.00345661	0.00407327	0.00455303	0.00349093	0.0134084	0.0125783	0.0169732	0.0201424	0.0241797	0.026284	0.0293132	0.0337418	0.042906	0.0550695	0.0624462	0.0799298	0.0550729	0.122175
laisse	0.0443551	0.0482239	0.0404331	0.0335264	0.041135	0.0417645	0.0525042	0.055632	0.0390706	0.0397746	0.0208213	0.0188283	0.02203	0.0172202	0.0217123	0.012404	0.00394929	0.00243831	0.00310185	0.00399788	0.00328575	0.010075	0.00672735	0.0104047	0.0132561	0.014434	0.0177206	0.014835	0.0176146	0.0279616	0.0284936	0.038953	0.061198	0.0448722	0.127246
libre	0.0541731	0.061208	0.0449604	0.0369114	0.0495735	0.0406875	0.0480634	0.0501543	0.0472675	0.0467487	0.0269199	0.014931	0.0152273	0.0103435	0.01437	0.00950689	0.00437308	0.00241345	0.00277383	0.0035132	0.00313639	0.00836933	0.00691243	0.00951037	0.010276	0.0144883	0.0161981	0.0111631	0.0110536	0.0181584	0.0194293	0.035097	0.0545099	0.0415083	0.15607
