 	b	á	a	á	k	á	r	i	s	i	o	k	ω	n	í	l	a	n	g	a	n	g	a	y	e	e	w	ú	r	ú	n	g	a	é	</S>
ils	0.0554446	0.103874	0.11974	0.159044	0.0885733	0.0658856	0.0564032	0.0259801	0.0349327	0.0265682	0.0224747	0.0252363	0.0225771	0.0214926	0.0149953	0.0134067	0.0182295	0.0108806	0.0119989	0.00888449	0.0112875	0.00957702	0.00771237	0.0040591	0.00519975	0.00520703	0.00191129	0.00242269	0.00448153	0.00883246	0.00541934	0.00419352	0.0063047	0.00567991	0.0110907
ont	0.0492567	0.0529123	0.0488478	0.0450709	0.0546438	0.0607566	0.0496478	0.0644465	0.0556765	0.0650772	0.0429939	0.0530716	0.0420275	0.0315958	0.0198677	0.0187893	0.019284	0.0139402	0.0168395	0.0135831	0.0249227	0.0233826	0.021655	0.00850561	0.010478	0.0105328	0.0103344	0.00639501	0.0111512	0.0228156	0.0115079	0.00663285	0.004672	0.00410295	0.00458264
fait	0.0330856	0.0128683	0.0151024	0.0144155	0.0128224	0.00860087	0.0111758	0.0188491	0.0189501	0.0285524	0.0369851	0.0508491	0.0675543	0.132924	0.132602	0.084609	0.0573836	0.03813	0.01991	0.0225746	0.0159809	0.0177307	0.0161299	0.0126492	0.0156902	0.0175279	0.0110963	0.0116814	0.00918949	0.015392	0.00857831	0.00472917	0.00787616	0.00665218	0.0111514
soigner	0.0088033	0.01037	0.0145931	0.00782152	0.018838	0.016834	0.0113532	0.032902	0.0155446	0.0199711	0.0163591	0.0203585	0.0280913	0.0261667	0.0255096	0.0276708	0.0305705	0.0351949	0.0435801	0.0395691	0.0549135	0.0460808	0.0479865	0.0472212	0.0402937	0.0474747	0.0357873	0.0402997	0.030683	0.0323506	0.0300853	0.0324397	0.0249362	0.0202476	0.0190989
le	0.0153267	0.016256	0.0160819	0.0127011	0.0215629	0.016027	0.0162926	0.0207821	0.0196976	0.0296233	0.032263	0.0334193	0.0318862	0.0338708	0.0332716	0.0361207	0.0347862	0.0351968	0.0326112	0.0299033	0.0363833	0.0198482	0.0240707	0.0183221	0.0244966	0.0186672	0.0187108	0.0168796	0.0261882	0.0276906	0.029476	0.03627	0.0385887	0.0558253	0.0909025
malade	0.013702	0.0176158	0.0193193	0.0150494	0.0202783	0.0153712	0.0139652	0.0171372	0.0174116	0.0186954	0.019194	0.0253002	0.03194	0.0404595	0.0326088	0.0476435	0.0367116	0.0423289	0.0407275	0.0348389	0.0386164	0.0253917	0.0184682	0.0142094	0.0118144	0.0173788	0.0148023	0.0205458	0.0311152	0.0396938	0.0370035	0.0319229	0.0480153	0.0605192	0.0702045
par	0.0175198	0.00935379	0.00700878	0.00584228	0.00644074	0.00820052	0.011892	0.0141693	0.0158123	0.0193234	0.0179109	0.020702	0.0222659	0.0248382	0.0231754	0.021684	0.0180545	0.0221055	0.0255447	0.0252562	0.0306085	0.0265027	0.0334204	0.0246644	0.0356188	0.052975	0.0324806	0.0278085	0.0453294	0.0404105	0.0629944	0.0482508	0.0476555	0.0703332	0.0838471
le	0.0313802	0.0299507	0.0204929	0.0177262	0.0183674	0.0157799	0.0121178	0.0118468	0.0148444	0.0173206	0.0218643	0.026267	0.0271857	0.0292564	0.0249856	0.020923	0.012205	0.0126569	0.00854903	0.0143705	0.00833824	0.0169158	0.0242545	0.0335086	0.0506977	0.0585598	0.0178304	0.0248726	0.037453	0.0198489	0.036096	0.0274632	0.0311121	0.0806053	0.144353
guérisseur	0.0467498	0.0235253	0.0202183	0.0135266	0.0181121	0.0172346	0.0197514	0.0206384	0.0216006	0.023912	0.0244168	0.0334314	0.0349906	0.0271597	0.0271054	0.03391	0.0216254	0.0195524	0.0116909	0.022185	0.0103672	0.00928026	0.010027	0.0124371	0.0149815	0.0214867	0.00671967	0.010037	0.0220701	0.0216992	0.0265396	0.0257502	0.03404	0.0769972	0.216231
qui	0.0279168	0.0110597	0.0103189	0.0105148	0.0120289	0.00972327	0.00937134	0.0169893	0.0141001	0.0176332	0.0126692	0.0145609	0.0153241	0.0150947	0.0121865	0.0161289	0.011403	0.0181602	0.0149891	0.0227525	0.01579	0.0274809	0.0354873	0.0321002	0.0359753	0.029117	0.0473855	0.0308328	0.0355318	0.0507479	0.0392466	0.0789223	0.069657	0.0844033	0.0943969
