 	m	w	á	s	í	á	t	ó	n	i	w	a	t	s	í	n	a	w	a	a	b	h	i	k	í	l	í	k	i	l	i	</S>
sa	0.0059265	0.00445707	0.00464073	0.0119243	0.00293063	0.00383308	0.00386502	0.00772058	0.00877112	0.0338798	0.0185371	0.0237937	0.047334	0.0326606	0.0958406	0.0702247	0.0747691	0.164702	0.0980267	0.0628182	0.0248192	0.0178501	0.0138982	0.0148111	0.0190788	0.0128497	0.0137296	0.0190175	0.0162631	0.026268	0.0206364	0.0241226
femme	0.0642022	0.229197	0.139069	0.0715223	0.0723184	0.117827	0.205392	0.0260609	0.0110479	0.00683041	0.00844572	0.00934651	0.0053978	0.00429299	0.00193513	0.000650543	0.000828914	0.000284352	0.000191623	0.00029781	0.000511292	0.00060463	0.00135555	0.000907952	0.00251685	0.00283009	0.00368623	0.00259295	0.00436553	0.00301327	0.00173366	0.000743948
l'	0.0730462	0.129844	0.0673958	0.0667088	0.0520697	0.0382063	0.0490723	0.0339189	0.0281273	0.0327289	0.0624569	0.0330232	0.0421522	0.0308558	0.00965494	0.0108588	0.00762988	0.0240076	0.0165636	0.0187928	0.00456218	0.00847256	0.0122275	0.0126726	0.0182401	0.0178642	0.0193	0.0204739	0.0149088	0.0201261	0.0139134	0.0101245
a	0.0279914	0.0309514	0.0269797	0.0278146	0.043837	0.0371658	0.0554744	0.0391848	0.0461845	0.0480635	0.039914	0.053386	0.0489106	0.0391585	0.0171813	0.0123729	0.0322847	0.02345	0.0237159	0.0281364	0.0155713	0.010468	0.0219266	0.0267248	0.0254289	0.0267052	0.0189979	0.0191034	0.0250058	0.0301482	0.0271781	0.0505843
quitté	0.0540044	0.0144096	0.0208664	0.0210978	0.0173832	0.0141449	0.0275398	0.0147068	0.0283056	0.0497999	0.018522	0.0322981	0.0288214	0.0229705	0.0266907	0.0249612	0.0409008	0.0294958	0.0355504	0.0454192	0.0455252	0.0304933	0.0324372	0.0454274	0.034064	0.0375764	0.0304858	0.0255174	0.0343186	0.0284143	0.0342584	0.0535934
parce	0.0653242	0.0460459	0.0891547	0.0412291	0.0327684	0.0383157	0.0308274	0.021053	0.029156	0.0298733	0.0238823	0.029131	0.0314436	0.0201773	0.0160897	0.0165323	0.0329467	0.0172691	0.023928	0.0263389	0.0359049	0.0351896	0.0225484	0.0200637	0.0214685	0.0209204	0.0253401	0.0256967	0.0263743	0.0338475	0.028896	0.0422635
qu'	0.0653547	0.0440593	0.0741671	0.0384833	0.0481237	0.0499669	0.0453635	0.0316587	0.0288442	0.0361406	0.028422	0.0335163	0.043922	0.0202066	0.015607	0.0163046	0.0380306	0.0158864	0.0235619	0.0207715	0.0175799	0.0153937	0.0144702	0.0143499	0.022312	0.0233045	0.0201718	0.017381	0.0226473	0.0338788	0.0267982	0.0533217
il	0.135006	0.0777215	0.113519	0.0521739	0.037658	0.0379105	0.0521287	0.035515	0.0405478	0.0302454	0.0246612	0.0256687	0.0285063	0.0135259	0.0111338	0.0123231	0.0176554	0.0107989	0.0161229	0.0118534	0.0106421	0.00812328	0.00628498	0.00593657	0.0115699	0.0118759	0.00641654	0.00740155	0.00892639	0.0251552	0.0206631	0.0923296
est	0.152677	0.108993	0.108687	0.0610796	0.0342834	0.0278158	0.0331146	0.0176716	0.0237574	0.0215219	0.0155634	0.0191418	0.0278391	0.0277388	0.020611	0.0240284	0.0278773	0.0204947	0.0225432	0.0237273	0.0107515	0.0110516	0.0113512	0.00304621	0.00897668	0.00836978	0.00728581	0.0079171	0.00749611	0.0265263	0.0113844	0.0666778
devenu	0.0899022	0.0531432	0.0524176	0.0420564	0.0324003	0.0217815	0.0281949	0.0148271	0.0228205	0.0233438	0.0125604	0.0249539	0.0309653	0.0278976	0.0307497	0.0296947	0.0464339	0.0360148	0.0444738	0.0416768	0.0318509	0.0272972	0.0227638	0.00916901	0.0236056	0.0174261	0.00945752	0.00776435	0.0103981	0.0301695	0.0163901	0.0873996
écervelé	0.0634317	0.0441662	0.0488367	0.0279269	0.0250954	0.0227963	0.0273067	0.0217253	0.0278036	0.0215146	0.00811068	0.0222458	0.0190649	0.014036	0.0154676	0.0142062	0.0285579	0.0250905	0.0246918	0.0207835	0.0175581	0.0168772	0.0150006	0.00907742	0.0288012	0.0268286	0.0120227	0.014729	0.0132094	0.0750883	0.023001	0.224948
</S>	0.097807	0.0649916	0.0772039	0.0418706	0.0212266	0.0261941	0.0256177	0.0206696	0.0238455	0.0126145	0.00408983	0.0112472	0.0093723	0.00983432	0.0196172	0.0153466	0.0290231	0.0184701	0.0268629	0.0261688	0.0213389	0.0140314	0.0129448	0.0129049	0.0216534	0.0241588	0.0122015	0.0268741	0.0172394	0.0509233	0.0432405	0.160416
