 	s	ε	m	b	í	s	έ	b	e	a	b	í	í	b	v	u	ú	s	á	n	d	z	ú	n	g	u	b	í	i	</S>
finis	0.00762146	0.00621407	0.00399351	0.0056718	0.0055082	0.00835964	0.018265	0.0699766	0.0878618	0.0935994	0.087555	0.120436	0.124702	0.0802933	0.0454881	0.0189715	0.0149623	0.0152775	0.0153389	0.0150718	0.0164183	0.0119345	0.014344	0.0125497	0.0203928	0.00974461	0.0126803	0.0145348	0.0221471	0.0200861
le	0.0323789	0.0253552	0.0332621	0.033222	0.0608065	0.0845087	0.0971545	0.0327809	0.0583769	0.037878	0.0413386	0.0470669	0.0392513	0.0332123	0.0369425	0.0261976	0.0313964	0.0227467	0.0352145	0.0388379	0.0327421	0.0343775	0.020866	0.0151455	0.00936398	0.0077683	0.00739672	0.00652904	0.0072296	0.010653
reste	0.061218	0.0374905	0.0159237	0.0199724	0.0143665	0.0136585	0.0144237	0.0152347	0.0185641	0.0289248	0.023205	0.0356615	0.0348565	0.0414275	0.047853	0.0547765	0.0613379	0.0376108	0.0648583	0.0665351	0.06143	0.0683633	0.0430287	0.0228865	0.0177071	0.0232503	0.0293365	0.0068418	0.013492	0.00576486
de	0.0468288	0.0407279	0.0503204	0.0587017	0.0759465	0.0667533	0.0506913	0.0374952	0.034749	0.0363033	0.0260208	0.0247687	0.0314024	0.0303928	0.0502958	0.0446187	0.0324436	0.0213289	0.0178212	0.0190349	0.0136582	0.0152988	0.0186117	0.0175546	0.0170289	0.0144047	0.0174893	0.0153302	0.0203963	0.053582
la	0.0628829	0.0614786	0.0408325	0.0453108	0.0427898	0.0393975	0.028654	0.0298486	0.0286427	0.0251339	0.0216186	0.0239693	0.0382717	0.0312012	0.0306396	0.0293928	0.0356262	0.0296366	0.0353469	0.0327195	0.0258679	0.0215748	0.0287484	0.0199882	0.019203	0.0176887	0.0163752	0.0224483	0.0403826	0.0743293
nourriture	0.0342955	0.0643779	0.0485923	0.0468015	0.0282351	0.0238227	0.025265	0.0285574	0.0401613	0.0422204	0.0496719	0.049973	0.0504372	0.0226055	0.0207891	0.0115064	0.0193837	0.017473	0.0325225	0.0254252	0.01818	0.0149858	0.0154526	0.00876841	0.0140308	0.0181681	0.0264923	0.0286446	0.0447346	0.128426
qui	0.0656241	0.0527076	0.0591517	0.0406505	0.0408333	0.0297277	0.0292327	0.0280417	0.0224939	0.0172566	0.0145201	0.00866773	0.0106417	0.00854113	0.0188183	0.0192157	0.0327202	0.0252701	0.0437126	0.0413394	0.0374565	0.0260512	0.0273772	0.034863	0.0226768	0.0304842	0.0290008	0.0301872	0.0407563	0.11198
est	0.121758	0.111281	0.0904766	0.0524971	0.0277632	0.0127706	0.0094907	0.00675709	0.00798702	0.00690073	0.00767744	0.0124046	0.0122437	0.0131959	0.00888237	0.0132466	0.0237252	0.0331679	0.0419558	0.0356788	0.0224428	0.0184027	0.0171726	0.0189223	0.0201185	0.0319842	0.0412863	0.045373	0.0561555	0.0782824
dans	0.144438	0.0845898	0.045028	0.0202566	0.00773581	0.00655048	0.00707052	0.00624331	0.00751966	0.00567202	0.00540617	0.00627144	0.00677658	0.00954318	0.00851296	0.01395	0.0175085	0.0198813	0.0258032	0.0330857	0.0232677	0.0229513	0.0312893	0.0341975	0.0279629	0.0504801	0.0661443	0.0642841	0.0714079	0.126172
la	0.0544085	0.0309996	0.0224587	0.0181062	0.0100144	0.00975603	0.0102774	0.00957813	0.00977348	0.00629957	0.00576654	0.00473252	0.00431836	0.00488679	0.0073771	0.01849	0.0288511	0.0254944	0.0361343	0.0379159	0.0442549	0.0476298	0.0532683	0.0559459	0.0331061	0.0616595	0.0669462	0.0796229	0.0813514	0.120576
marmite	0.0385802	0.0273624	0.0195196	0.015697	0.00567773	0.00405128	0.00407725	0.00400026	0.00456891	0.00417315	0.00430511	0.00478468	0.00449202	0.00507656	0.0050581	0.0082984	0.0164003	0.0269039	0.0358815	0.0418343	0.0481441	0.0586681	0.0553224	0.0385514	0.0307674	0.0563557	0.0980615	0.0872127	0.104591	0.141584
</S>	0.0450426	0.0306309	0.0287245	0.0229704	0.0135698	0.0127881	0.0154932	0.0150495	0.0140113	0.0101405	0.0101914	0.00978496	0.00810139	0.00718334	0.00937308	0.0180005	0.0340291	0.025971	0.0388451	0.032057	0.0449511	0.0424026	0.0367708	0.0520368	0.0309056	0.0524228	0.0564693	0.0723836	0.0873874	0.122312
