 	a	s	í	m	b	έ	s	έ	b	á	a	k	a	n	á	i	k	y	ε	s	í	m	b	a	á	m	í	b	o	m	a	l	á	s	w	é	</S>
les	0.154575	0.11409	0.0529458	0.0195025	0.0229666	0.0254462	0.0295328	0.0255773	0.0417591	0.0428386	0.0441947	0.0405829	0.0302589	0.0272642	0.0191918	0.0109697	0.006878	0.00519777	0.00535618	0.00787738	0.00645498	0.0112007	0.00853224	0.0105523	0.00858032	0.010599	0.0126626	0.0141255	0.0138235	0.0190785	0.0221058	0.0225211	0.029251	0.0248885	0.0236	0.0171528	0.0178656
ressortissants	0.0233117	0.0240427	0.0631633	0.138739	0.13321	0.0806043	0.0865826	0.0230154	0.0677735	0.038848	0.0244586	0.0255004	0.0157213	0.0197291	0.0189618	0.0241114	0.0209764	0.0191795	0.0114251	0.00460345	0.00497006	0.0057926	0.00506897	0.00616155	0.00928914	0.00948947	0.0111695	0.00780493	0.0097984	0.0108108	0.00831611	0.00679789	0.00785352	0.00925587	0.0103492	0.00754632	0.0055672
de	0.00628502	0.013215	0.0123405	0.0273481	0.0279897	0.0407191	0.0591438	0.0702507	0.0661176	0.0651764	0.0743381	0.0506126	0.0327053	0.0215583	0.0128546	0.0126519	0.00885933	0.0135841	0.0166273	0.0248284	0.0372433	0.0395502	0.0312754	0.0192613	0.0103795	0.019042	0.0110586	0.0173563	0.0152761	0.024581	0.015591	0.0200462	0.0261485	0.0232437	0.0154332	0.011101	0.00620686
mbesse	0.0317416	0.0490565	0.0633355	0.0495351	0.0494552	0.046315	0.0427189	0.0404395	0.0448882	0.0368384	0.0366835	0.0368653	0.0335069	0.0319447	0.032226	0.026503	0.017848	0.0136713	0.0153051	0.00891027	0.00913751	0.0101709	0.00334801	0.00442377	0.00241932	0.00779946	0.0052138	0.00983462	0.0135159	0.0165532	0.0281195	0.0189193	0.0193115	0.0337212	0.0348428	0.0183393	0.0565419
polluent	0.0445773	0.0437474	0.0439367	0.0405937	0.0378827	0.0309447	0.0211767	0.0195382	0.0199791	0.0193374	0.0189812	0.0191759	0.0195589	0.0219653	0.0238699	0.0241374	0.0209178	0.0240463	0.0326808	0.0277553	0.0235525	0.0315519	0.0223707	0.018242	0.0181406	0.0218407	0.0154286	0.0134218	0.0197117	0.0151156	0.0193181	0.0183889	0.01676	0.0280365	0.0308031	0.0283237	0.104191
les	0.0315003	0.0161292	0.0150613	0.0220231	0.019359	0.0165889	0.0112221	0.0105158	0.0114971	0.00960266	0.00908625	0.01352	0.017444	0.0221961	0.0285514	0.0346539	0.0327864	0.0379684	0.0426382	0.0367469	0.0261961	0.0401074	0.0211511	0.0223971	0.0167043	0.0489154	0.0222575	0.0279452	0.0395733	0.0296584	0.0282551	0.0379366	0.0348333	0.0358711	0.0357015	0.0399843	0.053421
ruisseaux	0.026965	0.0138485	0.0114498	0.0177122	0.0169032	0.0173158	0.0116503	0.0091294	0.00962294	0.0073597	0.00790051	0.0105176	0.0101751	0.0157375	0.0226723	0.0302011	0.0266812	0.0300331	0.0283307	0.0315474	0.0325434	0.0401433	0.029301	0.0352232	0.0448834	0.0478792	0.0383671	0.0304616	0.0370584	0.0330511	0.0244415	0.0348847	0.0340637	0.0329403	0.0291313	0.0539381	0.0659354
avec	0.0234768	0.0155601	0.0137912	0.022643	0.0188326	0.0213589	0.00997966	0.0107262	0.011049	0.00919466	0.0140459	0.0190749	0.0143972	0.0209832	0.0265323	0.043101	0.0364129	0.0335738	0.0287086	0.0366086	0.0256759	0.04122	0.0206026	0.0232771	0.0154595	0.0421664	0.0211998	0.0258462	0.033019	0.0264552	0.0270963	0.032604	0.0314343	0.0301398	0.0286558	0.0391085	0.105989
la	0.0240118	0.0185452	0.022353	0.0343488	0.0346531	0.0238883	0.0138455	0.00393894	0.00650199	0.00486364	0.00415811	0.00488821	0.00588559	0.00886877	0.013704	0.0225864	0.0240667	0.0299522	0.0391636	0.0345119	0.0322888	0.0369222	0.0239535	0.0263079	0.0329328	0.0396522	0.0324681	0.0224916	0.032585	0.0235318	0.0324427	0.0299281	0.0356517	0.0432608	0.0503042	0.0534175	0.0771256
plante	0.0180064	0.013442	0.0136126	0.0128521	0.011738	0.00636503	0.00318369	0.00150894	0.00261876	0.00249909	0.00244125	0.00277332	0.00318321	0.00607224	0.0128105	0.0182514	0.0248167	0.0322585	0.0521686	0.0616098	0.0602213	0.0652049	0.0485903	0.0489559	0.0612343	0.0626451	0.0268292	0.0139727	0.0204	0.0133226	0.0151665	0.0136032	0.0326824	0.0283838	0.0455898	0.0538027	0.0871831
