 	m	w	ε	n	έ	l	á	a	b	h	é	m	b	á	á	l	e	p	f	u	m	b	u	s	á	b	ώ	ω	</S>
le	0.00751211	0.00766015	0.00533313	0.00513408	0.00630701	0.0218728	0.0220049	0.0190856	0.0379412	0.033414	0.0736934	0.121441	0.162165	0.140879	0.0680194	0.0551341	0.0425219	0.0221047	0.0199186	0.0213599	0.0184238	0.0141027	0.0115605	0.0122199	0.00765374	0.00758244	0.00791308	0.0101272	0.0169146
chef	0.237815	0.138176	0.176101	0.288852	0.0480419	0.0132654	0.00462093	0.00527603	0.00820613	0.00658441	0.0119474	0.00617944	0.00534381	0.00598679	0.00792881	0.00330055	0.00341211	0.00402949	0.0054878	0.00354681	0.00313211	0.00309451	0.00333195	0.002197	0.00133007	0.00133983	0.000832442	0.000423491	0.00021647
traditionnel	0.0200682	0.0175532	0.033784	0.0613205	0.0667187	0.154121	0.108926	0.0962591	0.125067	0.0550711	0.0198271	0.0149648	0.0162481	0.0181306	0.0263255	0.0178398	0.0151928	0.0184664	0.0190452	0.014441	0.0152472	0.0173385	0.0115034	0.0071296	0.00633547	0.00546947	0.00587554	0.00773255	0.00399679
se	0.030695	0.0169458	0.0240314	0.020662	0.0127881	0.0152809	0.0197869	0.025495	0.0256453	0.0218946	0.0207864	0.0245963	0.0303869	0.0323067	0.0439643	0.0578602	0.0643467	0.0704144	0.0592882	0.0681498	0.0575299	0.0281037	0.0216234	0.0221371	0.0250845	0.0257094	0.0235774	0.0380212	0.0728885
promène	0.0301773	0.0249957	0.0256216	0.0237027	0.01851	0.0183992	0.0230833	0.0402944	0.0390488	0.035753	0.0283767	0.0365416	0.0285565	0.0271981	0.0385743	0.0439623	0.0365065	0.0395228	0.043496	0.0408361	0.0403397	0.0416318	0.0399845	0.0387506	0.034846	0.0397666	0.0390121	0.0366842	0.0458276
avec	0.0217167	0.0117159	0.0108316	0.0118368	0.0135233	0.0191704	0.0185611	0.031778	0.0456185	0.0540269	0.047325	0.044484	0.0278271	0.0169675	0.0134949	0.0190758	0.0209595	0.0220511	0.0244021	0.0228984	0.0287736	0.0326907	0.0457944	0.0533504	0.0607151	0.0728833	0.0704573	0.0651513	0.0719194
son	0.0435595	0.0167943	0.019249	0.0417494	0.0326271	0.0345991	0.0248808	0.0309572	0.0480138	0.0540153	0.0435693	0.0451196	0.0534787	0.0428863	0.0523763	0.0388922	0.0215908	0.0250085	0.0252325	0.0205633	0.0208384	0.0254372	0.0278993	0.0253886	0.0271227	0.0384165	0.0386273	0.0306037	0.0505037
sceptre	0.0138361	0.00964657	0.00921848	0.0150215	0.0119375	0.0119502	0.0112224	0.00979606	0.00899541	0.0118528	0.0125449	0.0113196	0.00830775	0.00792246	0.00938231	0.0145571	0.0222941	0.0267798	0.034426	0.0381602	0.0438405	0.040213	0.0512522	0.058362	0.0711082	0.0866302	0.0999858	0.103046	0.146391
à	0.0564634	0.0433293	0.0352615	0.0322242	0.0264677	0.0373741	0.0455386	0.049658	0.026894	0.0229133	0.0108268	0.0125079	0.0091764	0.00717556	0.0114174	0.0228675	0.0236661	0.028131	0.0204399	0.0170677	0.023512	0.0212042	0.0296122	0.0437422	0.0541351	0.0536009	0.0471995	0.0484758	0.139118
la	0.065037	0.0447968	0.0535409	0.0522359	0.0270541	0.0188466	0.0127224	0.0148446	0.0128977	0.0110689	0.00561828	0.00701351	0.00721012	0.00770384	0.00868157	0.00987303	0.0136663	0.0162897	0.0132353	0.0294193	0.0322053	0.0411498	0.0576655	0.0528033	0.0684895	0.06682	0.0602178	0.0705528	0.11834
main	0.0647758	0.030219	0.031815	0.0315433	0.0201237	0.0231517	0.0172808	0.019513	0.0135784	0.0165612	0.0144512	0.0168729	0.0173865	0.0188953	0.0216495	0.0272365	0.0298135	0.0228929	0.020474	0.0299364	0.0306546	0.0333628	0.0443015	0.0469008	0.048633	0.0559348	0.0729616	0.0687602	0.11032
</S>	0.0888073	0.0292405	0.0575901	0.0622399	0.0378749	0.0422524	0.0336478	0.0206547	0.0102122	0.013292	0.00486346	0.00417965	0.00344639	0.00379162	0.00577872	0.00794424	0.0110395	0.0104582	0.00637939	0.0148356	0.0155388	0.0224034	0.0418914	0.0491297	0.0555262	0.0650672	0.0716686	0.0889417	0.121304
