 	a	t	í	b	á	a	l	e	á	a	n	g	ó	o	a	b	v	u	u	l	a	b	á	n	a	a	b	é	</S>
les	0.0992981	0.106339	0.120614	0.0835607	0.0836929	0.0446762	0.0312737	0.0278282	0.0295916	0.0260059	0.0322844	0.0348224	0.0277512	0.0300621	0.037962	0.0252324	0.0146053	0.0127411	0.0103704	0.00742968	0.00681293	0.00786965	0.0103265	0.0155537	0.0150686	0.0133373	0.0145053	0.0178366	0.0125484
orphelins	0.0517035	0.0340043	0.067462	0.0558368	0.0817224	0.102897	0.111876	0.103158	0.0556135	0.081078	0.0542093	0.0541325	0.0336108	0.0147229	0.00848302	0.00907348	0.012862	0.012644	0.00811709	0.00505798	0.00451852	0.00612138	0.00492872	0.00674474	0.0058778	0.00395226	0.00226578	0.00371497	0.00361096
pleurent	0.0213582	0.0220068	0.0263637	0.0369121	0.0451394	0.0534695	0.065733	0.0633065	0.0521699	0.0703378	0.062623	0.0770526	0.0828064	0.0404939	0.0320223	0.020523	0.0275287	0.0395069	0.0260756	0.017986	0.023601	0.0100334	0.0153323	0.0185474	0.0141214	0.0112829	0.00925506	0.0105808	0.00383065
leurs	0.0325654	0.0418752	0.0462494	0.066105	0.0570459	0.056074	0.0583313	0.036911	0.0541716	0.044027	0.0616742	0.0477138	0.0314511	0.0414126	0.0320784	0.0364164	0.0162357	0.0164339	0.0134366	0.0132519	0.0136095	0.0209024	0.0201184	0.0173091	0.0184789	0.0192671	0.0227007	0.0240433	0.0401102
mères	0.041588	0.036847	0.0356303	0.0361205	0.0363461	0.0373922	0.0413487	0.0497449	0.0558947	0.053875	0.0653871	0.0543088	0.0432192	0.0422592	0.0403366	0.0334762	0.0387956	0.0342914	0.0318877	0.0204806	0.0114883	0.0171326	0.00688257	0.0100279	0.0162421	0.0160421	0.0173174	0.0230406	0.0525968
parce	0.0379116	0.0287255	0.0248236	0.0241777	0.0246287	0.0258007	0.0309226	0.0358324	0.0384896	0.0413232	0.0477877	0.0496962	0.0543595	0.0634965	0.0881407	0.0694962	0.0517459	0.0296516	0.0241496	0.0196294	0.007883	0.0120207	0.00571157	0.00803988	0.0122314	0.0124236	0.0181175	0.021377	0.0914062
que	0.0299239	0.0231085	0.0181067	0.0200139	0.0256339	0.0257149	0.0300184	0.0376027	0.0386594	0.0448725	0.0469514	0.0462692	0.0521445	0.0496387	0.0737456	0.0682066	0.0479349	0.0329006	0.0258531	0.0417945	0.0196252	0.0182333	0.0101794	0.0132198	0.0124433	0.0143038	0.0199697	0.0202613	0.0926702
ceux	0.0398675	0.0327794	0.0322554	0.0359904	0.0381794	0.0405721	0.0444355	0.0330468	0.0404695	0.0303604	0.0359098	0.0208059	0.0213215	0.0374454	0.0653504	0.0834338	0.0396882	0.0208708	0.0191898	0.0163338	0.0147902	0.0196053	0.0108599	0.0144411	0.0203612	0.0196604	0.0295526	0.0350497	0.107374
qui	0.0539484	0.0381138	0.030297	0.0289937	0.0303932	0.0357494	0.0391643	0.0345144	0.0358511	0.028381	0.0354578	0.026117	0.0191174	0.0285387	0.030886	0.0273394	0.0212626	0.0253959	0.0194083	0.0112311	0.00862642	0.0174321	0.0104375	0.0170433	0.028403	0.0287144	0.0547681	0.0588871	0.175528
les	0.0491912	0.036847	0.0428886	0.0432925	0.0439667	0.0366883	0.0368622	0.0332965	0.0289272	0.0207748	0.0301818	0.0187746	0.0106419	0.0136882	0.0134383	0.0132872	0.0116348	0.0208196	0.0220956	0.0287863	0.0146687	0.0270476	0.0178387	0.0277512	0.0372508	0.0370384	0.0482601	0.0518344	0.182227
adoptent	0.0539229	0.0406501	0.0441905	0.0332071	0.031238	0.0248808	0.0254848	0.0269074	0.0298369	0.0273344	0.035948	0.0310059	0.0192851	0.0226356	0.0211057	0.0154591	0.0212801	0.0232267	0.0225457	0.0087393	0.00657879	0.0130131	0.00766085	0.0159976	0.0435151	0.0406213	0.0550019	0.073747	0.18498
sont	0.0655734	0.0440621	0.0611885	0.0424518	0.0419503	0.0262068	0.0160691	0.00965103	0.0110315	0.00846898	0.0101034	0.00680111	0.00599374	0.00867315	0.00988374	0.0107524	0.00745267	0.00735428	0.0101377	0.014009	0.00851286	0.0141902	0.0129501	0.0254871	0.0288019	0.036095	0.0480085	0.055147	0.352993
méchants	0.0444665	0.0298726	0.038001	0.0259459	0.0260334	0.0240519	0.0267535	0.0191797	0.020175	0.0142758	0.0179968	0.0152855	0.00845073	0.0168361	0.0177193	0.0151992	0.0140425	0.0114707	0.0158505	0.0172538	0.0131137	0.02329	0.0228419	0.0445742	0.0572001	0.0547084	0.0679902	0.0749712	0.22245
</S>	0.0440239	0.0309517	0.0403819	0.0413496	0.0428664	0.0413915	0.0421778	0.0148222	0.0129968	0.00838897	0.0116556	0.00933632	0.00600985	0.00965324	0.0105105	0.0111512	0.00753211	0.00686435	0.00623993	0.0188435	0.00964517	0.0263875	0.0330576	0.050927	0.0550732	0.0581441	0.0679932	0.0681177	0.213507
