 	έ	t	s	ω	y	á	á	d	z	a	b	á	a	s	ε	r	ε	w	a	á	d	z	a	y	é	e	l	o	n	d	á	ω	p	έ	w	a	k	y	έ	r	ε	</S>
tout	0.0132182	0.00789018	0.00783503	0.0125743	0.0155527	0.0377691	0.0456781	0.0683789	0.0810761	0.0615886	0.0440909	0.0514776	0.0420693	0.0384578	0.0439483	0.0427658	0.0347465	0.0127298	0.0132951	0.0175615	0.0160662	0.0128503	0.0134386	0.0148628	0.0140449	0.0176939	0.0130917	0.0110953	0.00822491	0.0100615	0.00930349	0.0166914	0.0147197	0.0157474	0.0154137	0.0128575	0.0198042	0.0223398	0.0112466	0.0173129	0.0100463	0.0103828
ce	0.0466185	0.0421426	0.109486	0.0797894	0.06186	0.0785468	0.0597034	0.0498981	0.0458319	0.0358137	0.0269254	0.0285162	0.0351057	0.0344916	0.0472923	0.0187043	0.0085695	0.0132945	0.00742344	0.00929753	0.00914158	0.00566409	0.00623476	0.00867628	0.0051485	0.00544051	0.00793358	0.0104393	0.0090101	0.00945017	0.00644067	0.0114958	0.00558911	0.0101722	0.0126938	0.0100278	0.00688904	0.00500647	0.00439105	0.00310815	0.00284168	0.00489494
qu'	0.0326244	0.0364369	0.0364652	0.0376655	0.0330411	0.030844	0.0313774	0.04114	0.0426844	0.0455217	0.0543363	0.0480254	0.0402482	0.0465597	0.0734659	0.0379158	0.0611738	0.0174595	0.0162526	0.0115924	0.00578641	0.00823144	0.0110276	0.0114821	0.0130045	0.0116499	0.00773116	0.0126242	0.0121895	0.0110886	0.00826725	0.0338255	0.00951207	0.00978628	0.011245	0.00586063	0.00860063	0.00892056	0.00641762	0.00605591	0.00644986	0.00541311
on	0.0178015	0.0232922	0.0282928	0.0291983	0.0333162	0.0175775	0.0154928	0.0157607	0.0180358	0.0236431	0.0228299	0.0365176	0.0217543	0.0259124	0.0315659	0.0562238	0.0386457	0.0248388	0.0177447	0.0160398	0.0217964	0.0409669	0.0357294	0.0221306	0.0389068	0.0192317	0.0184683	0.0214716	0.0247478	0.0231225	0.0195734	0.0230181	0.024653	0.0232625	0.00803316	0.00749039	0.00703419	0.0102164	0.0137602	0.0171509	0.0317586	0.0329933
lui	0.0408671	0.0373349	0.046061	0.039951	0.0512317	0.0617368	0.057267	0.0621222	0.0394669	0.0547228	0.0381016	0.0426019	0.0392858	0.0288838	0.0172131	0.0100957	0.0146822	0.010481	0.0113512	0.0152251	0.0169891	0.0240888	0.021102	0.0179757	0.0242523	0.0135286	0.0160979	0.0165016	0.0125271	0.0120502	0.0107637	0.00773786	0.00946327	0.00824536	0.00432339	0.00726455	0.00405365	0.00734581	0.00577971	0.00947469	0.0118587	0.0198933
disait	0.0355094	0.0301628	0.0294691	0.0280835	0.037281	0.0420302	0.0455656	0.0414075	0.033609	0.0324261	0.023147	0.0221989	0.0239605	0.0250408	0.0188835	0.023169	0.0294184	0.0178786	0.0137652	0.0103205	0.00922784	0.0119912	0.0185716	0.0173251	0.0155625	0.0161136	0.0209299	0.0229306	0.0228174	0.0209563	0.0223148	0.0178961	0.0179785	0.0185885	0.0166116	0.0184678	0.011886	0.0169516	0.0156179	0.0229547	0.0263375	0.0546427
avivait	0.0347115	0.0279221	0.0257593	0.0316867	0.0404138	0.0396628	0.033458	0.0303762	0.0258849	0.035735	0.0316502	0.0333064	0.0305023	0.0347546	0.0245435	0.0305722	0.0371883	0.0140876	0.012726	0.0176939	0.0108992	0.0119595	0.014074	0.0153859	0.0110003	0.0117101	0.0169433	0.0130347	0.0202821	0.0171729	0.022539	0.0197806	0.0183325	0.0197527	0.00541996	0.0164076	0.0183119	0.0224226	0.0203944	0.029743	0.0281318	0.0436669
sa	0.0102481	0.0101405	0.00832844	0.0119332	0.018183	0.0217007	0.0272188	0.0622037	0.079545	0.128203	0.0864599	0.0927469	0.0561768	0.0576187	0.0428526	0.0373839	0.0538289	0.00979687	0.00546663	0.00493104	0.00304662	0.00437867	0.0101831	0.0128527	0.00712872	0.00630804	0.00764573	0.00875008	0.00821689	0.0106356	0.00510393	0.00946769	0.00511654	0.00361571	0.0011623	0.00187668	0.00176381	0.00276002	0.00272966	0.00933613	0.0159068	0.037048
colère	0.0513261	0.0456807	0.0446536	0.0498854	0.0455027	0.0355095	0.0153182	0.017879	0.0189593	0.0271235	0.0188599	0.0340399	0.0209992	0.0262226	0.0186465	0.0106544	0.0121437	0.0034378	0.00244713	0.00518684	0.00268801	0.00599367	0.0180875	0.0160557	0.00617461	0.0168733	0.00788343	0.01428	0.0367452	0.0130556	0.00971432	0.0222055	0.00665313	0.00782849	0.00289992	0.00285551	0.00905445	0.021619	0.00992889	0.0725018	0.061676	0.13075
</S>	0.0230837	0.0238868	0.0242506	0.0305055	0.0327992	0.0251281	0.0109269	0.00791946	0.00729701	0.00747338	0.00703805	0.00725936	0.00743026	0.00879063	0.0083685	0.0130937	0.0127489	0.00482719	0.00461682	0.00673351	0.00327784	0.00756773	0.0128104	0.0110886	0.0106527	0.0143407	0.0157825	0.0153052	0.037966	0.0276547	0.0346478	0.0480337	0.0243647	0.0257261	0.00501601	0.0122268	0.0168737	0.0314526	0.0351719	0.0983402	0.10146	0.136063
