 	b	a	r	e	b	á	a	s	έ	l	έ	έ	s	é	y	w	ω	ω	m	í	m	í	d	u	m	a	l	á	m	w	é	s	é	</S>
les	0.11762	0.0781435	0.0252221	0.0144223	0.028685	0.0226337	0.0185352	0.0279565	0.0264726	0.0311143	0.0377081	0.0502341	0.051098	0.0666501	0.0577393	0.0502919	0.0416288	0.0102119	0.00640719	0.00842839	0.00666863	0.00978905	0.016497	0.0163709	0.0213918	0.018998	0.0150424	0.0122062	0.0223327	0.0157741	0.014632	0.0188244	0.0219822	0.0182877
gens	0.0588155	0.0551728	0.103663	0.111726	0.139318	0.118179	0.0621714	0.0423478	0.0354284	0.0325638	0.0226567	0.0241734	0.0175285	0.0193329	0.014116	0.00510447	0.0147296	0.00808506	0.00917956	0.013298	0.00726708	0.0105515	0.00707258	0.00785023	0.00775316	0.00708606	0.00848912	0.0079838	0.0047222	0.00583824	0.00412356	0.00658631	0.00380386	0.00328326
vont	0.024443	0.0352786	0.0235461	0.0317899	0.0388622	0.0280038	0.0302188	0.0249415	0.0659166	0.0513328	0.0526648	0.051012	0.0575981	0.0516417	0.0329187	0.0411631	0.0402194	0.0308847	0.0174922	0.0173782	0.012583	0.0180292	0.0195543	0.0203565	0.029494	0.0226624	0.028716	0.0265784	0.0198987	0.0126024	0.0120249	0.00970586	0.00955066	0.0109374
sous	0.00891157	0.0150383	0.0165048	0.0142574	0.0116922	0.00978953	0.0136518	0.0244214	0.0401165	0.0592058	0.07417	0.0809014	0.0874224	0.052156	0.0369949	0.0215719	0.0372466	0.0461357	0.035236	0.0270078	0.0346924	0.0256994	0.0197082	0.0212618	0.0238937	0.0200727	0.0227697	0.0214493	0.0231665	0.0247663	0.0134438	0.0101259	0.01166	0.0148581
l'	0.0365728	0.0348624	0.0360551	0.0362048	0.0338093	0.0315678	0.0291978	0.0229549	0.0261004	0.0264721	0.0243465	0.0262354	0.0231102	0.0209529	0.025001	0.0288655	0.0361236	0.0258631	0.0312703	0.025525	0.0272729	0.024411	0.0249543	0.0312527	0.0222086	0.0221357	0.0248222	0.0199652	0.0255042	0.0176407	0.0211159	0.0420193	0.0475333	0.0680729
ombre	0.0155801	0.0165139	0.0167474	0.0165126	0.0137107	0.0146578	0.0133907	0.0130054	0.0214319	0.0223644	0.0208895	0.0230248	0.0198367	0.0208665	0.0256266	0.0642019	0.0530092	0.0417238	0.076643	0.0502151	0.0617582	0.0474945	0.0346148	0.031237	0.0302219	0.0277031	0.0229854	0.021763	0.0199321	0.0237449	0.0216181	0.0260136	0.025911	0.0450505
pour	0.0206198	0.013979	0.0155241	0.0187333	0.0168956	0.018974	0.0173177	0.020034	0.0240478	0.0232781	0.0225592	0.0218838	0.0228384	0.0243238	0.0200868	0.0332386	0.033713	0.0534657	0.087863	0.0465837	0.0469129	0.0370704	0.0232682	0.0243892	0.0246752	0.0162302	0.032288	0.0243964	0.0367561	0.027392	0.0289297	0.031644	0.0370785	0.0530099
se	0.0239918	0.0163685	0.0240196	0.0319807	0.0269361	0.0334272	0.0340335	0.0346928	0.0372391	0.0310428	0.0282352	0.026858	0.0269442	0.024209	0.0286649	0.0194532	0.033678	0.0468538	0.0407677	0.0293501	0.0176012	0.018976	0.0158386	0.0157676	0.0122986	0.0127017	0.0204161	0.0202904	0.0304655	0.0441417	0.0402425	0.0334545	0.0506066	0.0684526
mettre	0.0374817	0.0328757	0.0305319	0.0272442	0.0247866	0.0189402	0.0150275	0.0100582	0.0122983	0.0102739	0.0117529	0.00938837	0.0115971	0.00944935	0.010894	0.00832278	0.0134758	0.0258023	0.0238138	0.0286258	0.0244139	0.0265989	0.0253659	0.0229626	0.0207053	0.0173963	0.0279054	0.0297502	0.0429373	0.0683121	0.0332157	0.0891874	0.0866428	0.111966
à	0.0309179	0.0273586	0.0264715	0.0246818	0.0181705	0.0155195	0.0145562	0.0121043	0.0138445	0.0128717	0.0115636	0.0127556	0.0112605	0.0127595	0.0144352	0.0217996	0.0281098	0.0522944	0.0806092	0.0432849	0.0536107	0.0469894	0.0390746	0.0360058	0.0331796	0.0202474	0.0281649	0.0181484	0.0387964	0.0288527	0.027208	0.0326132	0.0325693	0.0791709
