 	m	w	á	n	a	o	y	ú	r	u	w	ó	á	m	o	ó	k	u	m	á	n	d	é	e	y	ó	l	ó	m	i	</S>
cette	0.00432449	0.00881343	0.00958991	0.0049928	0.00490048	0.00408054	0.00405665	0.00329149	0.0052709	0.0207018	0.0163358	0.0318197	0.0386802	0.0451983	0.0395915	0.0374543	0.039097	0.0427486	0.0481352	0.0468537	0.0460669	0.0474205	0.0488611	0.0440455	0.0485163	0.0471745	0.0546036	0.0629129	0.0610884	0.0539337	0.0294397
fille	0.0459551	0.0173182	0.0290741	0.086289	0.121143	0.269134	0.163427	0.08715	0.0176324	0.00304415	0.00129287	0.00443303	0.00430587	0.00600294	0.00443469	0.00412892	0.00652926	0.00723873	0.00338815	0.0103983	0.0113648	0.00842002	0.00737306	0.0121169	0.0062022	0.0116666	0.0144797	0.0132671	0.0141527	0.00652829	0.00210931
avait	0.0570887	0.032683	0.0325087	0.0335849	0.036752	0.0360849	0.017825	0.0169388	0.0217861	0.0172808	0.0269544	0.033786	0.0161436	0.015887	0.0178612	0.0173521	0.0312552	0.0382714	0.0267548	0.0370681	0.0486961	0.0690913	0.0316662	0.029141	0.054431	0.0590976	0.0449698	0.0371927	0.0216428	0.0230838	0.0171214
fui	0.0320643	0.0145351	0.0151215	0.0203106	0.0105236	0.0178089	0.0212681	0.0203444	0.00927393	0.0126181	0.014695	0.0243555	0.0159522	0.0172318	0.0125664	0.0185017	0.0151852	0.0336053	0.0586526	0.0358928	0.0385603	0.0542918	0.0470156	0.0443002	0.0733776	0.0449436	0.0596342	0.0499776	0.0657016	0.059638	0.0420526
la	0.0683871	0.0322635	0.0195434	0.0130081	0.0142034	0.0131463	0.0166035	0.0206132	0.0245133	0.0293917	0.0441033	0.0251546	0.0234239	0.0201182	0.015162	0.0226671	0.0153413	0.0171424	0.0265274	0.019037	0.0196107	0.0226316	0.0443956	0.051976	0.057867	0.0578506	0.0538432	0.0500213	0.046414	0.0419364	0.073103
maison	0.00893649	0.00622664	0.010099	0.00749368	0.00985875	0.00994699	0.00907135	0.00910374	0.0110206	0.0145122	0.00718398	0.013445	0.0148578	0.0117219	0.0158363	0.0241199	0.020384	0.0216725	0.0337282	0.0320388	0.0376012	0.034168	0.071981	0.100566	0.062353	0.0857348	0.100851	0.0869416	0.0695094	0.0269274	0.0321086
de	0.040828	0.0420027	0.0398475	0.0369771	0.0302316	0.0154511	0.0138113	0.0115536	0.0169699	0.0202619	0.0154745	0.0243871	0.0276496	0.0341824	0.0339692	0.0548419	0.0260992	0.0499862	0.07248	0.0644249	0.0300602	0.0142356	0.0203814	0.0342015	0.0239253	0.0278522	0.0147309	0.0220824	0.0335867	0.0422412	0.0652728
son	0.0982085	0.0403546	0.0333222	0.0340315	0.0352546	0.0219913	0.016765	0.012892	0.0182652	0.0196028	0.0243086	0.0225063	0.0231988	0.0232766	0.0271237	0.0388481	0.0248258	0.0444382	0.0614125	0.0477333	0.0262877	0.0203718	0.0296553	0.0247371	0.0166941	0.0186024	0.0152423	0.0188496	0.0335845	0.0329969	0.0946185
mari	0.118167	0.0689686	0.0658611	0.0454167	0.0304658	0.0172377	0.0126646	0.0112994	0.0143928	0.0267707	0.0260663	0.0269414	0.0263372	0.0512674	0.0574254	0.0757863	0.0474828	0.0521995	0.0219713	0.0265562	0.0139658	0.011363	0.00962758	0.00693599	0.00872818	0.00903056	0.0107219	0.016253	0.0181913	0.025518	0.0463867
</S>	0.130923	0.0754813	0.0676589	0.0649075	0.0447972	0.033062	0.0207824	0.0108028	0.0125646	0.0116315	0.0136713	0.0203648	0.0129054	0.0193588	0.0199584	0.027573	0.0166452	0.0313273	0.0304564	0.0217823	0.0166158	0.00572095	0.00946501	0.0106792	0.00613781	0.0105293	0.0087962	0.0124752	0.0287452	0.0427076	0.161473
