 	n	y	a	m	a	l	á	a	d	z	a	b	h	á	á	s	ó	m	b	i	n	g	a	</S>
un	0.0183976	0.0206344	0.0195387	0.0169367	0.0194166	0.0258778	0.0362324	0.0723099	0.0845919	0.0600082	0.0753282	0.0670872	0.0686462	0.0679799	0.0592282	0.0502942	0.0351224	0.0316026	0.0239335	0.039476	0.0349601	0.0260584	0.0189889	0.0273502
animal	0.0672436	0.167109	0.270904	0.237995	0.136381	0.0511106	0.0185927	0.0100429	0.00853412	0.00582152	0.00502607	0.00579866	0.00197572	0.00175216	0.0013976	0.000811554	0.00136218	0.000973957	0.00147315	0.00107208	0.00188437	0.00152305	0.000635531	0.000579271
pa	0.0338825	0.0583185	0.0837591	0.069523	0.0561372	0.0576164	0.0598023	0.112881	0.0916539	0.0838702	0.0690224	0.0597341	0.0129316	0.0164565	0.0238008	0.0182179	0.0224737	0.0180078	0.0163392	0.0101631	0.00658902	0.00553425	0.00701065	0.00627435
tauge	0.0269441	0.0286411	0.0254616	0.0260825	0.0259171	0.0294898	0.0264902	0.0512898	0.0572872	0.0737975	0.0455273	0.0333034	0.0319415	0.0311647	0.0226885	0.0255041	0.032435	0.0293639	0.0461159	0.0246122	0.0464982	0.0555654	0.0858612	0.118018
dans	0.068583	0.0682355	0.0534881	0.0335345	0.0286603	0.0237174	0.0183212	0.0248288	0.0405123	0.0435485	0.0365749	0.0336613	0.0232024	0.0191121	0.0170831	0.0236016	0.0449368	0.0442958	0.0569989	0.0527987	0.0491649	0.0570473	0.0613192	0.0767735
la	0.0313173	0.0242571	0.0238905	0.0219969	0.0214812	0.0209452	0.0201883	0.0216842	0.0224078	0.0245687	0.0235713	0.0244209	0.0259686	0.0199294	0.0257378	0.0686208	0.0351742	0.0472074	0.0521867	0.05343	0.0639032	0.0787038	0.0961803	0.152228
boue	0.0377402	0.0297457	0.0236532	0.0141169	0.0114447	0.0103703	0.0111986	0.0154368	0.0217914	0.0327606	0.0241356	0.0290114	0.02012	0.0204964	0.0191005	0.036635	0.0531349	0.070835	0.0664358	0.064654	0.0741336	0.0842887	0.0932005	0.13556
</S>	0.0381627	0.0246678	0.0216952	0.017722	0.0218334	0.0189216	0.0150575	0.0282727	0.0248064	0.0456345	0.0224725	0.0252843	0.0120645	0.0102443	0.0104097	0.0222773	0.0191695	0.0384773	0.0374384	0.0230404	0.0458805	0.0858003	0.163991	0.226677
