 	w	á	á	n	ω	o	f	u	s	u	o	t	ú	á	n	g	ó	o	y	a	n	g	á	n	g	á	l	í	i	b	έ	r	έ	n	ω	</S>
si	0.083976	0.140121	0.12727	0.1031	0.0216595	0.0183177	0.0175409	0.0149942	0.0161096	0.0155746	0.0195736	0.0177975	0.0120817	0.0107555	0.0140368	0.0150189	0.00841139	0.0134673	0.0189081	0.0114403	0.0184774	0.0245869	0.0248893	0.028055	0.0254118	0.0258672	0.0245921	0.0253895	0.0189883	0.0149915	0.00843295	0.0147648	0.0114925	0.0106893	0.0121505	0.0110665
tu	0.17027	0.0442102	0.0343946	0.0381103	0.0694946	0.0288849	0.0270256	0.0312899	0.0443779	0.0464843	0.0297373	0.0187401	0.0139911	0.0209763	0.0226643	0.0268878	0.0416394	0.0346423	0.0199775	0.0151693	0.0116685	0.00993514	0.0116285	0.00972965	0.0137501	0.0143085	0.0190896	0.0225287	0.0144279	0.0129496	0.019604	0.0127058	0.0133568	0.013487	0.00913999	0.0127227
oses	0.0104815	0.0127156	0.0125609	0.0228539	0.0256786	0.0335213	0.0237351	0.0279198	0.0289129	0.0388743	0.0310779	0.0403848	0.0369845	0.0330248	0.0439371	0.0408345	0.0195064	0.0250235	0.0335199	0.0339898	0.0400104	0.0584748	0.0359975	0.0204522	0.0224761	0.0185457	0.0166142	0.018611	0.0154047	0.0162813	0.0162154	0.018127	0.0247265	0.0306341	0.0360087	0.0358833
insulter	0.0142305	0.0157735	0.0166501	0.0122119	0.0133842	0.0116353	0.0102651	0.0150913	0.0169643	0.0175587	0.0209345	0.0297584	0.0301329	0.0296356	0.0347229	0.0426378	0.0389676	0.0620315	0.0542291	0.0231356	0.0289068	0.0294118	0.0273889	0.0196067	0.0213977	0.0259247	0.0312733	0.0292986	0.0256346	0.018509	0.0191254	0.0334667	0.0294719	0.0367007	0.0451216	0.0688107
ma	0.006256	0.00634872	0.00746545	0.009004	0.0114159	0.007413	0.0107525	0.0174169	0.0191641	0.0161475	0.0199098	0.0227002	0.0309105	0.0207772	0.0404276	0.0591885	0.0566277	0.125341	0.0635418	0.0442457	0.0326643	0.03027	0.0266515	0.0181549	0.0138519	0.014512	0.0182201	0.0220149	0.0207973	0.0163291	0.0198555	0.0225717	0.0266489	0.0245491	0.034454	0.0633999
mère	0.00632384	0.00531743	0.00505797	0.00797929	0.0141888	0.0157056	0.016695	0.0232316	0.0261717	0.0239227	0.0331959	0.0376542	0.0393422	0.0288739	0.0361545	0.0300874	0.0220837	0.0269909	0.027995	0.0203846	0.0359743	0.0363315	0.0421944	0.0479916	0.0320582	0.022142	0.030615	0.0280352	0.0262353	0.0160623	0.0175935	0.0223455	0.0272748	0.0352727	0.0525861	0.0799315
je	0.00527933	0.00418755	0.00322127	0.00530091	0.0106273	0.0158946	0.0121829	0.0136825	0.0130308	0.0131716	0.0150542	0.0150179	0.0242946	0.0134593	0.0355722	0.0488479	0.0439566	0.0718655	0.0621608	0.052694	0.0580007	0.0465992	0.0398321	0.0264262	0.022068	0.0225313	0.0264523	0.0303935	0.0235618	0.0164069	0.0230341	0.0248594	0.0280652	0.0337393	0.041517	0.0570114
vais	0.00789357	0.0161392	0.00860734	0.0116235	0.00965705	0.0106849	0.00783561	0.00614467	0.00710997	0.00524623	0.00785387	0.0167661	0.0254951	0.0190282	0.0634602	0.0379555	0.0191241	0.0283451	0.0488799	0.0230926	0.0528367	0.0364043	0.0265531	0.026536	0.0119086	0.0190898	0.0352472	0.0403576	0.0311932	0.0297722	0.0363681	0.0463411	0.0468314	0.0521965	0.057079	0.0703424
te	0.00913994	0.0166709	0.0128971	0.012939	0.00844055	0.0109249	0.00836672	0.00545266	0.00532475	0.00467263	0.00517061	0.0114358	0.0181252	0.0142183	0.057799	0.0442446	0.0269546	0.0493633	0.0641559	0.0321857	0.0521171	0.0431647	0.0314898	0.0178778	0.0120326	0.0146377	0.031502	0.0368648	0.0250722	0.0258883	0.0351604	0.0416859	0.0410179	0.0422744	0.0490245	0.0817079
taper	0.0121911	0.0135215	0.0106121	0.0156365	0.0224204	0.0297621	0.0231247	0.0218858	0.019029	0.0158599	0.0191132	0.0251056	0.0245007	0.0180442	0.0184648	0.0139452	0.00828591	0.0149075	0.0148206	0.0162477	0.0267768	0.0199542	0.0161155	0.0205043	0.0204424	0.0207526	0.0271326	0.0318238	0.0329788	0.0377517	0.0437196	0.0480974	0.0640667	0.0687629	0.0768566	0.0867855
</S>	0.0132929	0.0124319	0.00920888	0.0156299	0.0340857	0.0397387	0.0287734	0.0250912	0.025731	0.0174639	0.0229717	0.0363335	0.0325259	0.0258593	0.0266245	0.0211499	0.014763	0.0249643	0.0218183	0.0198139	0.0292321	0.0229514	0.0197628	0.0249766	0.0164593	0.0147588	0.0189348	0.0239105	0.0220688	0.0254335	0.0381708	0.0403176	0.053416	0.0541124	0.061352	0.0658711
