 	i	p	f	ú	t	a	l	í	i	p	ε	b	h	έ	ó	s	i	n	g	a	y	í	k	á	n	d	á	</S>
le	0.0160804	0.0157231	0.0167361	0.0100608	0.0128487	0.021229	0.0242612	0.0237519	0.0417767	0.0892085	0.0672351	0.0734687	0.0659408	0.0665163	0.0389478	0.023965	0.0125458	0.0139773	0.0245816	0.0228622	0.0358482	0.0405269	0.0408024	0.0496894	0.0457262	0.0404431	0.0407795	0.0244673
pagne	0.0545837	0.142143	0.21202	0.290175	0.0675395	0.0568674	0.0471163	0.0271001	0.00763478	0.0133791	0.00336965	0.0046694	0.00406188	0.00271033	0.00128571	0.00184432	0.00394871	0.00604804	0.0145324	0.00703079	0.00616516	0.00476017	0.00271882	0.00867512	0.00299096	0.00322126	0.00264515	0.000763321
flotte	0.0442786	0.0318941	0.0343136	0.0206884	0.0127689	0.0152455	0.0305066	0.0435538	0.0406115	0.0647386	0.0769154	0.0448206	0.0681598	0.0535299	0.0307306	0.00733638	0.00940198	0.0159203	0.094017	0.0549624	0.0708211	0.0419829	0.0303346	0.0175873	0.0159745	0.0116769	0.0130187	0.00420992
sur	0.0477916	0.0589959	0.0448027	0.0446304	0.043544	0.0353822	0.0521438	0.0435042	0.0486116	0.0524634	0.0566287	0.0458023	0.0468234	0.018943	0.0131659	0.0149484	0.0116747	0.0122317	0.038446	0.0300389	0.0235958	0.0129119	0.0163675	0.0193191	0.0217752	0.0282248	0.0339516	0.0832812
le	0.0222177	0.0367739	0.0488808	0.0583038	0.0377046	0.0481121	0.0536157	0.0675982	0.0619555	0.0455924	0.041413	0.0349935	0.0275422	0.0324435	0.0255411	0.039769	0.0275261	0.0286291	0.0213185	0.0221308	0.0189344	0.0231886	0.0192966	0.0192405	0.0238974	0.022669	0.0247999	0.0659119
fil	0.0251871	0.0302335	0.0412896	0.0421963	0.0318971	0.04276	0.0445413	0.0445365	0.0351931	0.0722215	0.0621741	0.0477557	0.0330494	0.0230093	0.0141995	0.0173065	0.0356103	0.038824	0.0301127	0.0263885	0.0236614	0.0165178	0.0241341	0.0330934	0.0300435	0.0396914	0.042887	0.0514854
du	0.0380671	0.028273	0.0247774	0.0194773	0.0213837	0.016254	0.0141921	0.018653	0.0244182	0.0318955	0.0482023	0.0484238	0.0502366	0.0426228	0.0479431	0.0385455	0.048618	0.0480283	0.0269622	0.0298529	0.0137067	0.00846702	0.0270137	0.0293426	0.0326227	0.0503888	0.0602277	0.111404
séchoir	0.0399073	0.0418647	0.0410547	0.0391373	0.0340506	0.0201203	0.0141845	0.0168617	0.0247832	0.030031	0.0365521	0.0375902	0.0388128	0.0287358	0.0237918	0.0187127	0.0342372	0.0336933	0.0404354	0.0361939	0.0178734	0.00835182	0.033852	0.0373161	0.0168734	0.0428604	0.0665425	0.14558
</S>	0.05244	0.0476873	0.0378533	0.03398	0.0336696	0.0203869	0.0214927	0.0257169	0.0324794	0.0259325	0.0234467	0.0228355	0.0171412	0.0156246	0.0174434	0.0161392	0.0287917	0.0284174	0.0390493	0.05047	0.0167348	0.00847229	0.0422419	0.032724	0.0344645	0.0469631	0.0640886	0.163313
