 	o	b	e	n	g	i	á	m	i	p	a	s	á	k	ó	ó	s	á	k	ώ	</S>
le	0.0183606	0.0187851	0.0252688	0.0630501	0.121406	0.0332377	0.0296359	0.072078	0.0852012	0.0699164	0.0627814	0.0630658	0.0515916	0.0398165	0.028243	0.0255962	0.0321382	0.0280946	0.0362903	0.0447529	0.0506897
chasseur	0.0399669	0.028169	0.0165915	0.0188482	0.130627	0.162184	0.10452	0.121327	0.151079	0.111788	0.0496278	0.0331835	0.0135746	0.00659737	0.00284803	0.00275076	0.00268953	0.00152769	0.00125559	0.000431191	0.000413981
a	0.0471708	0.0390239	0.0305886	0.0342004	0.0545712	0.0638572	0.106128	0.0654302	0.0677601	0.0975067	0.11431	0.0717442	0.0773059	0.0451233	0.0275955	0.0138731	0.00906795	0.00700969	0.00791767	0.010559	0.00925662
tracé	0.0286418	0.0328968	0.0353617	0.0414606	0.0352213	0.0665728	0.0508849	0.0407461	0.0236933	0.016448	0.0139638	0.0181889	0.0222337	0.0231901	0.0559724	0.0589316	0.0808816	0.0764196	0.0725355	0.0831116	0.122644
un	0.0425503	0.0492466	0.0419772	0.0471562	0.0461668	0.0460932	0.0529323	0.0592821	0.02964	0.0257051	0.0183506	0.0198984	0.017828	0.0127815	0.0166936	0.0396578	0.0801217	0.0785653	0.0664666	0.0796779	0.129209
chemin	0.0627284	0.0648103	0.0324908	0.0204651	0.0367709	0.0350323	0.0401683	0.0800968	0.0873708	0.0716129	0.0727117	0.0711105	0.0765749	0.0398423	0.021001	0.0277099	0.0230805	0.023222	0.0270902	0.0258512	0.0602593
dans	0.0366778	0.0309838	0.0240092	0.0201094	0.0184732	0.0195937	0.0256438	0.029965	0.0319602	0.035926	0.0278584	0.0450015	0.0590058	0.0459967	0.0678174	0.103599	0.0735556	0.0664265	0.0725688	0.0669096	0.0979184
la	0.140762	0.0927866	0.0477565	0.0292072	0.0245377	0.0192515	0.0207773	0.0187037	0.0181878	0.0198562	0.0112244	0.0118526	0.0116775	0.0182368	0.0282302	0.0441352	0.0575459	0.0780962	0.0666232	0.0877494	0.152802
forêt	0.191751	0.113788	0.0438893	0.036343	0.0352091	0.0326487	0.036164	0.0229141	0.0183858	0.0248705	0.0168215	0.0110925	0.00884648	0.0183765	0.0155458	0.0247772	0.0485717	0.0569172	0.0516684	0.080819	0.1106
</S>	0.0945454	0.0704255	0.0500304	0.041056	0.0273245	0.0191262	0.0194118	0.0114523	0.00701518	0.00705116	0.00474174	0.00364602	0.00588811	0.0178557	0.0280043	0.0295558	0.0768939	0.0865902	0.0800607	0.164089	0.155236
