 	b	v	ú	n	d	u	ó	d	i	s	á	p	o	o	p	é	</S>
il	0.0549683	0.0456023	0.0392383	0.0482165	0.0743839	0.078001	0.0983063	0.117259	0.0546261	0.0546692	0.0414481	0.0632599	0.0430862	0.0346905	0.0414892	0.0544111	0.056344
y	0.217658	0.216685	0.120793	0.0672465	0.0249048	0.0286476	0.0143463	0.00998403	0.00835135	0.0245322	0.0351328	0.0464922	0.0344333	0.0591654	0.0273501	0.0310254	0.0332526
a	0.208086	0.139661	0.0882422	0.0603327	0.0452171	0.0282773	0.0183364	0.0110809	0.00879452	0.0214363	0.0470189	0.0468057	0.0515795	0.0564066	0.055153	0.0510756	0.0624966
de	0.0920096	0.0777614	0.0657259	0.0561702	0.038594	0.037337	0.0216735	0.018532	0.0162011	0.0273701	0.0418028	0.126958	0.144132	0.0674116	0.0590491	0.0562654	0.0530066
la	0.0252476	0.0207335	0.0289644	0.0626332	0.0751304	0.0723304	0.0560099	0.0405989	0.0426627	0.0718226	0.120744	0.0708701	0.0537594	0.0658505	0.0791246	0.05329	0.0602281
clameur	0.061616	0.0464453	0.0441842	0.0621704	0.0597685	0.0676355	0.0661378	0.0540673	0.0591697	0.0767888	0.0820822	0.0359354	0.0247199	0.0405158	0.053939	0.0523151	0.112509
là-bas	0.0234793	0.0320618	0.0307136	0.0387132	0.0364127	0.0715428	0.0721587	0.0626835	0.0601216	0.0919629	0.0693145	0.0589975	0.0418319	0.0539661	0.0671891	0.104907	0.0839434
dans	0.0669523	0.0685566	0.062427	0.0474243	0.0299761	0.0320764	0.0292793	0.0286487	0.0241023	0.0309826	0.0322477	0.0401639	0.0480127	0.0710816	0.0828346	0.109467	0.195766
le	0.0977756	0.0850438	0.0699611	0.0490838	0.0209854	0.0126357	0.00856452	0.00558961	0.00417317	0.00627853	0.00782739	0.0335375	0.0559904	0.0994944	0.107275	0.158811	0.176972
village	0.141829	0.064352	0.0450069	0.0750154	0.0286828	0.0245309	0.0123125	0.00870257	0.00711537	0.00968193	0.0151407	0.0241134	0.0443974	0.0660624	0.0966151	0.143473	0.192969
</S>	0.0995034	0.0501802	0.0408361	0.0704075	0.052707	0.0423426	0.0308175	0.0134898	0.00935964	0.00941542	0.0125639	0.0120065	0.0640131	0.1177	0.119326	0.1284	0.126931
