 	n	g	á	í	d	i	i	i	t	o	ó	s	á	k	ώ	</S>
j'	0.200496	0.279534	0.191167	0.0425736	0.0164858	0.0295508	0.0340044	0.0505979	0.0235282	0.0186681	0.0306938	0.0249919	0.0203051	0.016094	0.0103043	0.0110048
ai	0.16428	0.0865981	0.156066	0.0866552	0.0176982	0.012172	0.0122476	0.0229358	0.0212694	0.070888	0.0623751	0.0454859	0.0459076	0.0666235	0.0637135	0.0650845
trouvé	0.037491	0.0484258	0.0970174	0.0965425	0.0591059	0.0627353	0.0746037	0.0412978	0.0671324	0.119875	0.0794794	0.0506845	0.0465195	0.0430645	0.0488394	0.027186
des	0.063537	0.0429811	0.0593286	0.0763585	0.0946057	0.0735726	0.0324714	0.0310046	0.055574	0.0764415	0.0868199	0.0519738	0.0425271	0.0489512	0.0730183	0.0908348
ananas	0.0540615	0.0175404	0.0180815	0.0528082	0.0653565	0.0621446	0.0923794	0.073417	0.0985263	0.0680106	0.0704935	0.0409279	0.0461541	0.052508	0.0668441	0.120746
dans	0.0433882	0.0300477	0.013346	0.0330344	0.0300543	0.0169662	0.0177547	0.0179616	0.0295671	0.0209925	0.0238093	0.0923081	0.126138	0.142849	0.134794	0.226988
la	0.121815	0.0684939	0.030718	0.0416008	0.0337997	0.023135	0.0102525	0.0154395	0.0330049	0.0478368	0.0639536	0.0849329	0.0782559	0.0933069	0.0844609	0.168994
brousse	0.0300662	0.0276643	0.028873	0.0296538	0.0299174	0.0356639	0.031552	0.0424348	0.0689222	0.0859983	0.0880624	0.110998	0.07839	0.0821707	0.0784707	0.151162
</S>	0.0354844	0.0205979	0.024105	0.0283049	0.017944	0.0146272	0.0218763	0.0202444	0.0367151	0.0629284	0.105968	0.0873055	0.0922248	0.0968677	0.0997597	0.235047
