 	y	u	d	á	b	á	a	l	a	d	z	w	i	f	e	á	f	ú	r	á	m	í	b	o	m	a	l	á	y	e	s	ú	</S>
judas	0.0282381	0.036279	0.0401262	0.0243641	0.026953	0.0196319	0.0634039	0.0595971	0.0804343	0.0719233	0.0654409	0.0511932	0.0332777	0.0430769	0.0475927	0.0341749	0.0288441	0.0116129	0.00979098	0.0158628	0.0132333	0.0147677	0.0245031	0.018572	0.0178515	0.0201495	0.015575	0.0132379	0.015666	0.0141954	0.0120419	0.01329	0.0150987
et	0.107143	0.0790545	0.0527485	0.0589142	0.0470722	0.0516151	0.0420328	0.0422241	0.0410041	0.0471531	0.0428926	0.032188	0.0304113	0.0412746	0.0562568	0.0366503	0.0364471	0.0174713	0.0128958	0.00741662	0.0113525	0.0153092	0.0168842	0.0186337	0.00969536	0.00605294	0.00846675	0.00332291	0.00284742	0.00551851	0.00457212	0.00444085	0.0100381
les	0.0302324	0.0575601	0.0459849	0.0458646	0.0308923	0.0308985	0.0332357	0.0412905	0.0388072	0.0401136	0.0455598	0.03215	0.0296117	0.0287171	0.0466991	0.0272075	0.0316126	0.0227339	0.0168827	0.019789	0.0207582	0.0293612	0.0344003	0.0385229	0.0277102	0.0257781	0.0195543	0.0164886	0.0153955	0.018055	0.018539	0.0189032	0.0206901
juifs	0.0264196	0.0325169	0.0352935	0.0310273	0.0267052	0.0173408	0.0186102	0.0183846	0.0210736	0.0220107	0.0220156	0.0240883	0.0296981	0.0280703	0.0301877	0.0435296	0.0491906	0.0692372	0.049718	0.0367582	0.0412714	0.0331425	0.0423795	0.0363178	0.0359263	0.0278557	0.0274154	0.0131731	0.0128379	0.0293666	0.0187849	0.0175336	0.0321194
s'	0.014547	0.0154386	0.016543	0.0147632	0.0205854	0.0221006	0.0228612	0.0292821	0.0402039	0.0370436	0.037343	0.0450943	0.0651235	0.0387778	0.0383721	0.028269	0.0205891	0.0327071	0.0364129	0.0264877	0.0221195	0.0152979	0.0174157	0.0144455	0.0205596	0.0195642	0.0145582	0.0159193	0.0182413	0.0207952	0.0470533	0.0585812	0.112904
étaient	0.0342364	0.0222362	0.0204694	0.0191013	0.0179721	0.0202713	0.022112	0.0287718	0.0357969	0.029744	0.0253232	0.024409	0.0285493	0.0177385	0.0232283	0.0277075	0.0198152	0.0294354	0.0369119	0.0322923	0.0359762	0.0293543	0.0339585	0.0316741	0.0394142	0.033896	0.0272314	0.0303152	0.0302629	0.0332573	0.0484712	0.054132	0.0559351
accordés	0.0607941	0.0369331	0.0326511	0.0298588	0.0287489	0.0305995	0.0315088	0.031116	0.0260281	0.0278941	0.0217246	0.0165328	0.0174389	0.0188171	0.0223248	0.0255118	0.0210515	0.0247442	0.0212635	0.0233101	0.0251447	0.0259698	0.0243389	0.0238989	0.0273808	0.0233372	0.0234228	0.0273447	0.0296121	0.0326828	0.0466452	0.0542867	0.0870835
pour	0.0190299	0.0137692	0.013218	0.013011	0.012932	0.0127091	0.0155365	0.0158215	0.0176298	0.0158127	0.013639	0.0144099	0.0195398	0.00818916	0.010427	0.0149742	0.0254924	0.0345804	0.0378699	0.0283349	0.0408453	0.0332678	0.0372548	0.0444868	0.0597979	0.0705463	0.0606997	0.0665096	0.0478694	0.0490183	0.0419699	0.0425597	0.0482483
tuer	0.0529543	0.026901	0.0227249	0.0215569	0.0195804	0.015079	0.0123033	0.0148672	0.0143849	0.0124635	0.0104436	0.0148466	0.0214705	0.0111375	0.0130476	0.0189645	0.0192022	0.0263149	0.0312564	0.0269999	0.0447068	0.0367399	0.0424767	0.0483866	0.0572234	0.0521023	0.0402131	0.048605	0.0444657	0.0439908	0.0421709	0.0423638	0.0500558
jésus	0.0264161	0.0176928	0.0172342	0.0169211	0.0163493	0.0140294	0.0104965	0.0118556	0.010331	0.0108481	0.00783652	0.00878864	0.00929834	0.00673013	0.00781976	0.0101001	0.0135471	0.0213273	0.02634	0.0390732	0.048352	0.047327	0.044628	0.0497701	0.0439711	0.0422606	0.0429988	0.0491924	0.0555261	0.0565917	0.0664086	0.0667557	0.0831827
</S>	0.0243651	0.0189066	0.0183933	0.0179275	0.0157872	0.0129668	0.00659217	0.00673959	0.00553953	0.00631983	0.00635095	0.00690173	0.0100761	0.00913925	0.0100519	0.0130504	0.0136488	0.0169764	0.0199112	0.0242008	0.0272001	0.0293994	0.0385721	0.0436117	0.0530672	0.056315	0.060103	0.0586912	0.0844919	0.0721192	0.0689936	0.069329	0.0742613
