 	m	w	á	n	a	w	ó	a	d	í	l	i	k	ú	n	y	u	</S>
cet	0.00423526	0.0079421	0.0163959	0.00643389	0.0113999	0.00452003	0.00289885	0.00447231	0.0113203	0.0497539	0.0959193	0.0435365	0.100911	0.0776521	0.137533	0.129363	0.152079	0.143635
enfant	0.0490852	0.0705878	0.0781629	0.12714	0.20963	0.15977	0.12491	0.108654	0.0472507	0.00856196	0.00400825	0.00306798	0.00449588	0.00291742	0.00118495	0.000276987	0.000230729	6.42223e-05
a	0.0470363	0.119821	0.0884687	0.0461977	0.12817	0.151686	0.071391	0.0354135	0.0659272	0.0395505	0.0239572	0.0335071	0.0479037	0.0309046	0.0212113	0.0189138	0.0149348	0.0150056
l'	0.0589128	0.0604841	0.0331592	0.0109968	0.0335977	0.0367418	0.0392523	0.0537959	0.0533923	0.080448	0.0666435	0.0696475	0.133963	0.0525195	0.0492047	0.042373	0.0547145	0.0701533
habitude	0.0357121	0.0528116	0.0481163	0.0304609	0.0331381	0.0298106	0.0178525	0.0142991	0.0194402	0.0265175	0.0801248	0.105195	0.0843767	0.0836986	0.0846735	0.0826781	0.0837889	0.0873055
de	0.118609	0.103806	0.0230718	0.0121581	0.00962215	0.0118189	0.00627938	0.00320636	0.00392425	0.00238792	0.00172578	0.0023063	0.00561824	0.0120111	0.0326355	0.0334688	0.0704531	0.546897
tout	0.0722557	0.0617511	0.0348364	0.0281872	0.0439676	0.0490281	0.059549	0.0565727	0.0838541	0.0815317	0.0350166	0.030752	0.0445662	0.0303398	0.0506636	0.0420232	0.0811842	0.113921
mettre	0.100522	0.0619354	0.0560788	0.0548198	0.0579045	0.0358358	0.0230351	0.0170077	0.0305183	0.0352719	0.0162685	0.0142105	0.0457328	0.0371235	0.0646433	0.0568749	0.112707	0.17951
en	0.265838	0.150948	0.0604066	0.0217745	0.0277108	0.0224882	0.0127731	0.00791271	0.00719552	0.00722825	0.00828925	0.0196147	0.032666	0.0425928	0.0651775	0.069422	0.0621509	0.115811
doute	0.231057	0.137772	0.0722312	0.0397292	0.0606528	0.0212597	0.0058647	0.00324256	0.00406312	0.00436199	0.00865696	0.0137429	0.0168225	0.0217362	0.0583876	0.037929	0.103815	0.158676
</S>	0.182783	0.0646835	0.0215892	0.0165605	0.0159143	0.0140197	0.0134091	0.0148492	0.0149461	0.0152287	0.0164834	0.0272302	0.0370335	0.0643732	0.0756215	0.105896	0.0862338	0.213145
