 	n	g	á	í	b	ó	n	d	i	l	o	b	h	ó	l	á	n	d	z	ω	i	</S>
j'	0.0937422	0.273308	0.188329	0.125171	0.0907322	0.00774006	0.00948622	0.0144861	0.00801157	0.0108217	0.01382	0.0227069	0.0251585	0.0202663	0.0263094	0.0234165	0.0151168	0.0112645	0.00465422	0.00540375	0.00490809	0.00514683
ai	0.209196	0.0488107	0.106753	0.11234	0.0431342	0.0588967	0.0535742	0.0478084	0.0374269	0.0393944	0.0375833	0.0275277	0.0307846	0.027025	0.0181494	0.0110525	0.0141798	0.0113868	0.00482359	0.00524729	0.0115346	0.0433711
entendu	0.0297496	0.0307902	0.0266895	0.0356671	0.030345	0.0350054	0.0399858	0.0359999	0.0277025	0.0408021	0.0512346	0.0456955	0.044198	0.050905	0.0470798	0.0317305	0.0230596	0.0246212	0.0547599	0.0731736	0.109362	0.111443
le	0.0436815	0.0286857	0.0211583	0.0251958	0.0452905	0.0807992	0.0622614	0.0394641	0.0195724	0.0158606	0.0166028	0.0201965	0.019642	0.027056	0.0326119	0.0416251	0.0427163	0.0581047	0.0750803	0.0923103	0.113941	0.0781436
bruit	0.0443554	0.0224585	0.0229939	0.0264623	0.0253423	0.0286942	0.0426272	0.0572095	0.0642199	0.0775874	0.0780776	0.0603341	0.046468	0.0360083	0.0419755	0.0473674	0.0415225	0.038699	0.0353976	0.040302	0.0458963	0.0760011
d'	0.0143733	0.0108203	0.00934798	0.0114181	0.0108848	0.0146694	0.0164919	0.0199918	0.0268082	0.0257265	0.0378005	0.0379146	0.052527	0.0466214	0.0469404	0.0626068	0.0664246	0.063554	0.0796422	0.0891438	0.100262	0.15603
un	0.0436007	0.0142406	0.00921979	0.0107694	0.013887	0.0171014	0.0217752	0.0213113	0.0296448	0.0374484	0.0564659	0.0461073	0.0470421	0.0545133	0.0698106	0.0396431	0.0342541	0.0732313	0.0636642	0.0915179	0.0924041	0.112348
éléphant	0.0389243	0.0517204	0.049757	0.0555244	0.0578707	0.0396099	0.0408389	0.0220585	0.0178958	0.0111634	0.0182291	0.0257368	0.0525153	0.0374923	0.0601872	0.0289457	0.0371231	0.0339503	0.0635404	0.0876465	0.0509507	0.118319
</S>	0.0735741	0.0389496	0.0393931	0.058722	0.0437945	0.0236392	0.0194604	0.014626	0.00903788	0.0101335	0.010401	0.0128992	0.027463	0.0520189	0.0857663	0.0335116	0.0289067	0.0427047	0.0457792	0.0760251	0.08222	0.170974
