 	n	g	á	l	í	i	p	f	o	o	s	á	a	m	b	ó	s	i	s	í	b	h	á	n	g	á	l	á	b	á	a	</S>
je	0.107288	0.316812	0.277885	0.0821709	0.040776	0.0148853	0.00920574	0.0119391	0.00473371	0.00352764	0.00335267	0.00565428	0.00810903	0.00829458	0.00556107	0.00507914	0.00296266	0.00324155	0.00265816	0.00433986	0.00325109	0.00556774	0.00597613	0.00532687	0.00648088	0.00711824	0.00841607	0.00918166	0.00878219	0.00793697	0.00693601	0.0065492
fais	0.0334307	0.0171343	0.02331	0.040772	0.0529411	0.0466806	0.0357331	0.0412602	0.0411228	0.0472347	0.0430356	0.022439	0.0213352	0.0208171	0.0113773	0.0102955	0.00693294	0.0280906	0.0144904	0.0195751	0.020181	0.0149709	0.0111349	0.0333251	0.0568546	0.0349849	0.0482896	0.0415972	0.0302443	0.0254839	0.0514586	0.0534669
sortir	0.0244423	0.018249	0.0196468	0.0283006	0.0152352	0.0445783	0.035268	0.014871	0.0119737	0.0115597	0.0187856	0.0200092	0.0280326	0.0283605	0.0356371	0.0861446	0.0956054	0.108957	0.0571628	0.0488449	0.0429502	0.0295626	0.0249659	0.02135	0.0199093	0.0191263	0.0162505	0.0103416	0.0159386	0.0128854	0.0189959	0.0160592
les	0.0275193	0.0219316	0.0200329	0.0190766	0.010521	0.0117603	0.0142519	0.0110656	0.00877618	0.0208159	0.0200353	0.0131889	0.0166159	0.020889	0.016451	0.0365192	0.037124	0.0782616	0.0512802	0.0565674	0.0596059	0.0568563	0.0830229	0.0561428	0.0436389	0.0415493	0.031754	0.0216611	0.0115973	0.0210376	0.0263469	0.034103
cabris	0.0108906	0.00591768	0.00622132	0.00643227	0.00662566	0.00722617	0.011662	0.0109157	0.0103633	0.0126836	0.0119183	0.0136083	0.0147429	0.0183908	0.0265995	0.0516996	0.0757892	0.0838446	0.0685979	0.0511841	0.0432511	0.0293806	0.041294	0.052463	0.0475247	0.0415945	0.0389464	0.0330552	0.0271559	0.0368936	0.0378278	0.0652997
de	0.00465404	0.00398658	0.00355979	0.00543543	0.00553989	0.0150397	0.0147202	0.0171327	0.0205529	0.0195743	0.0187756	0.021519	0.0226949	0.0237748	0.0271528	0.0352806	0.0680074	0.0745371	0.0727829	0.0678227	0.0613273	0.0492087	0.0277915	0.029675	0.0270546	0.0136236	0.0249504	0.0206977	0.0276685	0.0264721	0.0599797	0.0890078
leur	0.0301329	0.0143001	0.00899897	0.0120645	0.0106854	0.0165859	0.0190444	0.0156823	0.0116772	0.0107039	0.00954712	0.011801	0.0130021	0.0174678	0.0193488	0.0326384	0.065367	0.0894919	0.0635254	0.0628721	0.0646743	0.0343214	0.0142161	0.0231817	0.0244886	0.0168889	0.0239489	0.0245741	0.0347625	0.0273154	0.0701528	0.106538
enclos	0.0177274	0.0189646	0.0200153	0.0154834	0.0108776	0.0105638	0.010058	0.01817	0.024735	0.0363942	0.0324441	0.0468798	0.0452213	0.0573845	0.0682541	0.0922922	0.116503	0.059335	0.0185701	0.0126553	0.0123672	0.00749075	0.00634296	0.00670659	0.00766491	0.00781912	0.013666	0.0148086	0.01946	0.0150495	0.0246978	0.131398
</S>	0.0169578	0.00914998	0.00875909	0.0170699	0.0153836	0.0184526	0.0167998	0.0179465	0.0209108	0.0171573	0.0150246	0.0173494	0.0177736	0.0145304	0.0134625	0.0253631	0.055537	0.0554727	0.0428919	0.0458562	0.0601173	0.0383237	0.0289549	0.0320488	0.0321743	0.0326852	0.0352748	0.0372463	0.0488243	0.0537274	0.0650116	0.0737627
