 	m	w	á	n	a	á	t	í	n	d	i	n	g	ó	o	l	e	b	o	l	o	l	á	s	ε	b	h	έ	</S>
l'	0.00358335	0.00350177	0.00550748	0.00399244	0.00296136	0.00407634	0.00626862	0.0167543	0.0294227	0.0220219	0.0624341	0.0719139	0.0936343	0.0847646	0.123701	0.120306	0.0768469	0.0406536	0.0368336	0.0348504	0.0231382	0.0235724	0.0183836	0.0161362	0.013898	0.0162719	0.0120824	0.0113952	0.0210929
enfant	0.120866	0.0558619	0.0558761	0.0914333	0.277628	0.0991386	0.118414	0.0289762	0.024362	0.00912882	0.01977	0.0204255	0.0122792	0.00725617	0.0043713	0.0047597	0.00359424	0.00318984	0.00488043	0.00290232	0.00485058	0.00717497	0.00359531	0.00604543	0.00179483	0.00520268	0.00366873	0.00145673	0.00109694
a	0.0331568	0.0633112	0.0643985	0.0647254	0.0519585	0.0931965	0.0466613	0.0328505	0.0244427	0.0153162	0.0159379	0.0195128	0.016566	0.0205424	0.0206121	0.029589	0.0335233	0.0205154	0.0332286	0.029921	0.0338423	0.0360114	0.0333693	0.0427538	0.0286326	0.0411737	0.0170571	0.0210644	0.0161292
envoyé	0.0210986	0.011062	0.00888158	0.00734747	0.00900829	0.011364	0.0158433	0.0185349	0.0188775	0.0251865	0.0311643	0.0338594	0.0457208	0.0472019	0.0570997	0.10272	0.076794	0.0814253	0.0631532	0.0492865	0.0702001	0.0619259	0.0351803	0.0289332	0.0138935	0.017991	0.0110433	0.0144051	0.0107986
un	0.0414854	0.0301181	0.0259029	0.0195711	0.0192735	0.0161851	0.0208072	0.0171756	0.0218185	0.0148131	0.0194696	0.0212581	0.0256341	0.0294269	0.0413628	0.0493749	0.0449189	0.0424209	0.0435394	0.0445978	0.0377412	0.0405103	0.0428952	0.0456803	0.0452928	0.0473165	0.0480971	0.0466246	0.0566879
lot	0.0294705	0.0329076	0.0248789	0.0225076	0.0239605	0.0264006	0.0274171	0.0492501	0.0588007	0.0549211	0.0328767	0.0574094	0.039167	0.0337469	0.0315236	0.0299967	0.0227408	0.0243647	0.0418125	0.0350766	0.0341446	0.0312691	0.0251074	0.0171882	0.0249738	0.0215285	0.0458359	0.0484216	0.0523014
de	0.098366	0.0474626	0.0338984	0.0291245	0.031162	0.0187152	0.0232446	0.0222356	0.0215321	0.0293732	0.0210438	0.0374076	0.0246697	0.0198357	0.0262345	0.016999	0.0282133	0.036864	0.0521178	0.0387346	0.0306627	0.0292817	0.0247695	0.0177824	0.019711	0.0201083	0.0342243	0.0477253	0.118501
cuillères	0.06876	0.0611901	0.0382364	0.0364161	0.0475346	0.0203659	0.0292261	0.0224379	0.0215064	0.0291471	0.0242161	0.0267936	0.0263209	0.0316205	0.0456695	0.0402163	0.0491684	0.0374772	0.0300751	0.0212848	0.0176645	0.0143323	0.024049	0.0132718	0.0276812	0.0237814	0.0352596	0.0616175	0.0746796
</S>	0.0998043	0.0938748	0.0687585	0.0588694	0.0503114	0.0306805	0.033911	0.0167203	0.0141517	0.0189031	0.0145234	0.0183952	0.0196206	0.0207981	0.0274133	0.019212	0.0231257	0.0260374	0.0165449	0.0157505	0.0192613	0.0126976	0.0205341	0.0130459	0.0224786	0.0198428	0.0413823	0.0567222	0.106629
